place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용요금,접근로,출입통로,장애인 주차 안내,엘리베이터,휠체어,수유실,유모차,화장실,오디오 가이드,review,판매 품목,점자 홍보물,이용가능시설,주차요금,입장료,지정현황,지체장애 기타 상세,시설이용료,체험가능 연령,대중 교통,규모,개장기간,주차 요금,이용 시기,부대시설,주요시설,대여안내,객실,할인 정보,수용인원,시각장애 기타상세,영업시간,좌석수,대표메뉴,취급메뉴,보유장비,보조견 동반,점자 블록,코스안내,관람석,매표소,안내 요원,입점브랜드,청각 장애 기타상세,입실시간,퇴실시간,객실내 취사 여부,객실수,예약안내,예약안내 홈페이지,식음료장,객실유형,사우나실 여부,캠프파이어 여부,바비큐장여부,세미나실 여부,스포츠 시설 여부,자전거 대여 여부,공용 PC실 여부,유아용보조의자,휘트니스 센터 여부,노래방 여부,청각장애용 객실,뷰티시설여부,유도안내 설비,영유아가족 기타상세,체험
용흥사계곡,"담양 10경인 용흥사계곡은 시원한 물줄기가 흐르는 계곡과 단풍나무, 푸른 송림 사이에 기암괴석이 어우러져 있다. 계곡은 물이 맑고 깨끗하여 물고기의 모습을 볼 수 있다. 여름에는 계곡을 찾는 피서객이, 가을에는 용흥사 계곡 사이로 붉게 물든 기이한 아름다움을 지니고 있는 가을 단풍을 보기 위한 단풍 객들이 많이 온다. 담양읍에서 북쪽으로 가다 바심재 왼쪽으로 용흥리 마을을 지나 올라가면 용흥사 계곡에서 흐르는 물을 담수하는 월산 저수지가 있으며, 계곡을 따라 올라가면 용구산 중턱에 자리를 잡고 있는 용흥사 절이 있다. 용흥사는 현 건물지의 규모로 보아 옛날에는 대규모의 사찰이었던 같으나 임진왜란과 한 말 의병 전쟁, 한국전쟁 당시 모두 소실되었고 근래 대웅전과 요사채를 복원하였다.",,https://www.damyang.go.kr/tour,전라남도 담양군 월산면 용흥리,상시 개방,연중무휴,가능,,,,,,,,,,,"6월에 전남 담양의 용흥사계곡을 다녀왔습니다. 도착하자마자 맑고 투명한 계곡물이 한눈에 들어와 시원함이 절로 느껴졌어요. 커다란 바위들과 주변의 울창한 숲이 어우러져 마치 자연 속에서 제대로 힐링하는 기분이 들었습니다. 아이들과 함께 갔는데, 안전하게 얕은 물에서 신나게 물놀이를 할 수 있었고, 어른들은 계곡 평상에 앉아 발을 담그고 담양 특유의 닭백숙과 도토리묵, 전통음식을 즐기며 여유로운 시간을 보냈어요. 산책로도 잘 정비되어 있어 물놀이 후에는 계곡을 따라 산림욕을 하며 걷기 좋았습니다. 근처 맛집에서 먹는 닭볶음탕과 백숙도 정말 별미였고, 식당마다 친절하게 아이들을 배려해 주는 분위기가 특히 인상 깊었습니다. 복잡한 도심을 벗어나 자연을 제대로 만끽하고 싶을 때 가족 모두가 만족할 만한 계곡 여행지로 강력히 추천합니다.
닫기 물이 정말 깨끗하더라구요. 용흥사계곡에가서 물놀이도하고 백숙도 먹구 힐링하고 왔습니다. 입구에서 보면 식당이 많이 있더라구요. 다 맛있구 공기도 좋구 물도 깨끗하구 정말 좋았습니다. 담양에 볼거리가 많은데 또 하나 늘었어요 넘 아름다워요~ 우와 정자가 있어서 물놀이하고 잠깐 쉬기에도 좋을 것 같아요",,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한재골 계곡,"광주 북구에서 가까운 거리에 위치한 한재골 계곡은 장성과 광주에서 매우 가까워 관광객이 많이 찾는다. 계곡의 물이 매우 맑고 깨끗하며, 수심이 얕고 물살이 약해서 아이들이 놀기에 안성맞춤이다. 한재골 계곡은 상류 쪽에 설치한 사방댐에서 물놀이하기 좋다. 들어서는 입구부터 나무가 그늘을 만들어주어 시원함을 느낄 수 있고, 계곡의 청아한 물소리와 삼나무 아래 상쾌한 바람을 맞으며 가족과 함께하는 시간은 아이들과 어른들 모두에게도 힐링을 준다.",,,전라남도 담양군 대전면 병풍로 483,09:00~18:00,연중무휴,가능,,,,,,,,,,,광주에서 가까운 계곡이고 입장료는 3천원에 주차 3시간 무료입니다. 올라가는 길이 조금 있으나 완만한 편이며 여름에 계곡으로 놀러가는 거 강추합니다 입장료가 생겨서 조금 아쉽긴 하지만 부담이 없는 가격에 주차장도 3시간 무료 캬아 특히 아이들이 좋아할 계곡입니다. 계곡까지 가는 길도 가파르지 않고 여름 더위 피하기엔 최고의 장소입니다.,,,,,"- 일반 2,000원
- 청소년, 군인 1,000원
- 어린이 700원
※ 자세한 사항은 전화문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영산포 등대,"나주 영산포 등대는 1915년 영산강의 가항 종점인 영산포 선창에 건립된 등대이다. 한국의 내륙 하천에 있는 유일한 등대로 해마다 범람하던 영산강의 수위 측정과 등대의 기능을 겸했으며 1989년까지 사용되었다. 영산포 선창은 일제 강점기에는 곡창지대인 호남 지역의 수탈의 거점으로 이용되었으며 1960년대까지 각종 선박이 왕래하면서 많은 수산물이 유통되었다. 영산포 등대는 흰색 원통형의 콘크리트 구조이며, 높이는 다른 등대에 비해 크기가 작은 편에 속하며 본래의 모습을 잘 간직하고 있어 역사적 가치가 높다. 밤이 되면 등대는 불을 밝혀 존재감을 드러낸다. 영산포 등대 바로 앞 선착장에는 영산강 황포돛배 체험장이 있고, 주변에 나주 홍어거리가 있다.",,https://www.naju.go.kr/tour/,전라남도 나주시 영산동,상시 개방,연중무휴,불가능,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나주 복암리 고분군,회진 마을 앞 영산강 북안 강변에 형성된 충적평야에 위치한 복암리 고분군은 다양한 묘제가 복합된 고분이다. 복암리 고분군은 한 가문의 선산으로 고분인 줄 모르고 사용되었기 때문에 도굴을 피할 수 있었으며 원형이 비교적 잘 보존되어 있다. 총 4호 분이 분포해 있으며 봉분의 흙이 다른 곳에서 가져온 것이라서 질이 다르기 때문에 조산이라 부르기도 한다. 나주 복암리 고분군은 중요한 역사적 자료로서 당시 일본과의 관계와 영산강 유역의 토착세력과 백제와의 관계를 연구하는 중요한 자료가 된다. 나주 복암리 고분군 주변은 통일신라시대 무역항이었으나 이제는 흔적조차 없는 풍호나루터와 나루터에 인접하여 천연염색문화관과 백호임제문학관이 직선거리에 위치해 있다.,,http://www.naju.go.kr/tour,전라남도 나주시 다시면 복암리,상시 개방,연중무휴,불가능,,출입구까지 경사로가 설치되어 있음_무장애 편의시설,주출입구는 경사로가 있어 휠체어 접근 가능함,,,,,,장애인 전용 화장실 있음,,전라도의 라가 나주라고 하더라구요. 예전 큰 도시의 위상이 여기저기 있습니다. 고분도 가보니 보존도 잘 되어 있어서 매력적입니다. 맛집도 주변에 많아요!!,,,,,무료,사적 나주 복암리 고분군 (1998.02.20 지정),보행의 연속성 양호함(80%이상 접근 가능함),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나주 이슬촌마을,"금성산과 이어진 병풍산 자락 아래 이슬촌 마을은 노안성당과 넓은 광장이 있다. 매년 크리스마스 시즌에는 마을 불빛 경관을 조성하고 마을 주민이 행복한 산타 축제를 즐기는 마을이다. 친환경 농사로 건강한 먹거리와 농촌 수확 체험을 운영하며, ‘예술농부로 놀기’ 슬로건으로 마을주민 문화 예술 동아리 활동이 활발히 이루어지는 ‘사람이 더 아름다운 마을’이다. 마을로 들어오는 진입로 양편에 우렁이 농법 친환경 농사 단지 논이 펼쳐져 있으며, 감자 캐기, 땅콩 캐기, 벼 베고 탈곡, 인절미 떡메치기, 두부 만들기 등 다양한 체험 활동을 진행하고 있다.",,https://iseulchon.page24.app/,전라남도 나주시 노안면 이슬촌길 119,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,무료,,,※ 체험프로그램에 따라 상이하므로 전화문의 요망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,감자캐키 / 두부만들기 / 떡볶이만들기 등
나주 완사천,"나주 완사천은 원래 작은 옹달샘이었는데 택지 조성으로 현재의 모습을 갖추게 되었다. 이 샘물은 아무리 가뭄이 들어도 물이 마르지 않는다고 하며, 샘과 버들잎, 물긷는 처녀와 나그네가 주제가 되는 전설 가운데 하나로 알려진 곳이기도 하다. 완사천은 고려 태조와 관련된 유적으로 태조 왕건은 고려를 건국하기 전 이곳 나주를 몇 차례 내려오는데 10여 년 동안 네 차례나 된다. 왕건은 이곳 완사천에서 당시 17세의 장화왕후를 만나 인연을 맺고 제2대 혜종을 낳는다. 태종 왕건이 장화왕후를 위해 지어줬다는 흥룡사가 있었는데 최근 그 절터가 발견되었다. '신증동국여지승람'에 의하면 흥룡사는 금강진 북쪽에 있는데, 태조 왕건이 장화왕후와 인연을 맺을 때 장화왕후의 오씨 가문이 대대로 살았던 터로 혜종을 낳은 인연으로 건찰된 것이라 한다. 완사천은 자주시청과 나주역 중간 지역에 위치하고 있으며 나주역 전근린공원과도 인접해 있다.",,http://www.naju.go.kr/tour,전라남도 나주시 송월동,상시 개방,연중무휴,불가능,,,,,,,,,,,정말 아름다운 곳이에요 엄마 고향 근처라 가봤는데 후회안한다니까요 ㅋㅋ 경치가 참 예뻐요~~,,,,,무료,전라남도 기념물 나주완사천 (1986.02.17 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보리암(담양),"보리암은 추월산에 자리한 대한 불교 조계종 18교구 본사 백양사의 말사이다. 보리사라고도 불리며 고려 신종 때 보조국사 지눌(1158~1210)이 창건하였는데 스님이 지리산에 머물 때, 전국의 좋은 땅을 찾기 위해 나무로 세 마리의 매를 만들어 날려 보냈더니 한 마리는 순천 송광사 터에 또 한 마리는 장성 백양사 터에 나머지 한 마리는 추월산 보리암 터에 앉아 이곳에 절을 짓게 되었다는 전설을 간직하고 있는 곳이다.
선조 40년(1607) 승려 신찬이 중수하였고 그 후 효정 1년(1650) 스님들이 힘을 모아 다시 중수하였다. 보리암은 추월산 등반코스 중 하나로 이곳에서 추월산 정상까지 1.6km 1시간 30분 등반 코스이며 대운전 앞마당에서 바라보는 전경이, 위로는 기암절벽이 장관을 이루고 아래로는 시원하게 펼쳐지는 담양호가 한데 어우러져 절경을 이룬다.
보리암 바로 아래는 조선 선조 때 김덕령 장군의 부인 흥양 이 씨의 순절처로 유명하다. 임진왜란 때 흥양 이 씨는 왜적에게 쫓기자 이곳 절벽에서 몸을 던져 순절하고 현종 6년(1840) 담양 부사 조철영이 흥양 이 씨의 순절을 기리는 비문을 바위에 새겨놓았다.
담양호국민관광 주차장에서 보리암까지는 약 1.9km 거리이다.",,,전라남도 담양군 용면 월계길 37-17,일출~일몰 2시간 전,연중무휴,"담양호 국민관광지 주차장, 추월산 주차장 주차 가능",,,,,,,,,있음,, ,,,대웅전,,무료,전라남도 유형문화유산 담양 보리암 목조아미타여래삼존상 (2023.08.10. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
석관정 나루터,"나주에 위치한 석관정은 1530년 세운 정자로, 정유재란 때 소실되었다가 이후 후손들이 중건을 거듭한 곳으로 알려졌다. 영산강의 비경을 발아래 두고 있으며, 탐스러운 동백나무와 100년 이상 된 멋스러움을 간직한 고목들이 그 주위를 감싸고 있다. 석관정 아래에는 황포돛배가 오가던 옛 나루터를 복원한 나무 데크가 여럿 줄지어 마련되어 있다. 잔잔하게 흐르는 영산강의 물결을 바로 앞에서 바라볼 수 있어 피크닉을 즐기는 관광객들이 자주 찾는 곳이다.",,,전라남도 나주시 다시면 동당리 845,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다보사(나주),"다보사(多寶寺)는 금성산 남쪽 기슭의 깊숙한 골짜기에 자리 잡고 있다. 아담하지만 여러 전각을 두루 갖추고 있는 천년고찰로, 좁은 골짜기의 지형 속에 적절히 배치된 건물의 단정한 모습이 매우 인상적인 사찰이다.다보사는 661년에 원효대사가 창건했다고 전해지고 있다. 금성산에서 초옥을 짓고 수행하던 스님이 땅에서 솟아난 칠보로 장식된 큰 탑 속에서 다보여래(多寶如來)가 출현하는 꿈을 꾼 뒤 사찰을 창건했다 하여 사명을 다보사(多寶寺)라 했다는 전설이 내려온다. 다보사는 대웅전·명부전·영산전·천불보전·칠성각·요사 및 선원·범종각·금강문 등의 건물로 이루어져 있다. 내부에는 석가여래불을 주불로 하여 약사여래불과 아미타여래불이 협시되어 있는 목조삼존불이 모셔져 있고, 1901년에 제작된 아미타후불탱과 신중탱 등이 걸려 있다.",,https://www.naju.go.kr/tour,전라남도 나주시 금성산길 83,"상시 개방
※ 자세한 사항은 전화문의 요망",연중무휴,가능,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금성산생태숲,"금성산 생태숲은 나주시 금성산 일대 넓은 삼림에 탐방길과 전시, 교육관 등을 갖춘 생태숲 체험장이다. 금성산 숲의 모습을 그대로 살려놓은 아름다운 탐방길이 있고 멋스러운 정자모양의 쉼터, 생태 숲 곳곳에 굴참나무와 편백나무를 심과 황톳길을 만들어 이곳을 찾는 모든 분들이 산과 나무가 주는 기운을 느낄 수 있도록 계획하여 숲을 만들었다고 한다. 숲 속교실, 숲속쉼터, 잔디광장, 숲놀이터, 생태습지정원 등 다양한 공간으로 체험학습과 더불어 몸과 마음이 건강해지고 놀이가 가능한 푸른 자연공간이다.",,https://www.naju.go.kr/tour/,전라남도 나주시 노안면 금안2길 207-161,09:00~17:00,1월1일 / 설·추석 연휴 / 국경일,가능,,,,,,,,,,,길 중간중간 농로처럼 차 1대만 다닐 수 있는 좁은 도로가 두 어 곳 있습니다. 차 마주하면 난감하겠더라구요.,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나주 영모정,"나주 영모정은 중종 15년, 귀래정 임붕이 건립한 정자로 이 지방 출신의 명문장가 백호(白湖) 임제(林悌)가 글을 배우고 시작(詩作)을 즐기던 유서 깊은 건물이다. 초기에는 붐의 호를 따 ‘귀래정’이라 불렀으나 명종 10년, 임붕의 두 아들 임복과 임진이 아버지를 추모하기 위해 재건하면서 ‘영모정’이라 이름을 바꾸었다고 한다. 현재의 건물은 1982년과 1991년에 다시 중건한 것으로 정면 3칸, 측면 2칸에 팔작지붕을 한 무고 주 5량 가이다. 세부양식은 두벌대의 다듬돌 바른 층 쌓기의 기단 위에 덤벙 주춧돌을 놓고, 최근에 다시 그 위에 원형 장대석 주춧돌을 세웠다. 그 위에는 아랫부분을 잘라버린 원형기둥을 세웠으며, 기둥 위에는 보와 장혀, 도리를 결구하였다. 굵은 보를 걸치고 동자주를 세워 마룻보를 걸치고 판대공과 파련 대공을 섞어 대공을 놓고 종도리를 설치하였다.",,https://www.naju.go.kr/tour,전라남도 나주시 다시면 회진길 14-22,상시 개방,연중무휴,불가능,,,,,,,,,,,,,,,,무료,전라남도 기념물 나주영모정 (1987.06.01 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광양 형제 의병장마을,"광양 형제의병장마을은 임진왜란 당시 의병을 일으켜 큰 전공을 세우고 전사한 강희보, 강희열 형제 의병장이 태어난 마을이다. 두 형제는 임진왜란 당시 위기에 처한 진주성에서 김천일 장군과 함께 10만 왜군에 맞서 전투를 벌이다 1593년 6월 27일과 29일 각각 장렬히 전사했다. 뒷날 선조는 강희보, 강희열 형제의 충절을 높이 사 진주 창렬사에 배향했고, 1970년에 이르러 고향인 봉강면 신룡리에 묘소와 묘비를 보수하고 사당을 건립했다. 현재 형제의병장마을에 남아 있는 사당은 1998년에서 2003년에 걸쳐 광양시에서 건립하였고, 이곳 쌍의사에서 매년 형제 의병장의 충의정신을 기리고 있다. 강희보, 강희열 두 형제 의병장의 묘소는 바구산 등산로 중턱에 나란히 위치해 있다. 묘소까지는 생태탐방로를 따라 완만한 산책로가 이어져 가벼운 마음으로 다녀오기에 좋다. 주위로 백운산 자연휴양림과 성불계곡, 질매제 계곡이 있어 여름이면 피서객들이 모이고 있다.",,,전라남도 광양시 봉강면 신촌길 21-6,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도선국사마을,"백운산 자락에 위치한 도선국사마을은 백운산이 눈앞에 펼쳐 보이는 마을로 백운산 아래로 옥룡사지, 운암사와 함께 동백 숲이 군락지를 이루고 있으며, 마을 위쪽에는 맑고, 물맛이 좋아 원님들의 식수로 사용되었다는 사또 약수터가 있어 지금도 많은 사람들이 찾고 있다. 도선국사가 선덕을 베풀기 위해 집집마다 심어주었다는 참배나무 한 그루가 현재까지 유일하게 살아있으며, 마을 곳곳에 도선국사의 흔적을 찾아볼 수 있는 곳이다. 이 지역에서 활동하는 화가들이 그린 벽화와 돌담을 따라 마을을 둘러볼 수 있고, 마을에서 진행하는 다양한 체험 프로그램을 경험할 수 있다. 인절미 만들기, 전통 손두부 만들기, 부채 한국화 그리기 등 다양한 체험과 시기에 따라 여름에는 감자, 가을에는 고구마, 감 등 농산물을 수확하는 체험이 가능한 체험형 농촌마을이다. 도선국사의 얼이 스며있는 옥룡사지를 비롯하여 백운산자연휴양림이 가까이에 있다.",,http://dosungooksa.co.kr/,전라남도 광양시 옥룡면 상산길 48,09:00~18:00,설·추석 연휴,가능,,,,,,,,,있음,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
운암사(광양),"광양 운암사는 전라남도 광양시 광양읍 운암리에 위치한 절이다. 고려 시대에 창건되었으나 그 정확한 창건 시기는 알려져 있지 않으며 현재는 대한 불교 조계종 제 19교구 본사인 화엄사의 말사이다. 도선국사가 옥룡사와 함께 창건하였다고 알려져 있다. 조선 시대에는 태종의 명으로 중창되었으며, 임진왜란과 병자호란 때에도 피해를 입지 않았다. 운암사는 천년의 동백나무 숲으로 유명하며, 우리나라 최대의 약사여래상이 있다. 풍수지리 사상으로 유명한 도선국사의 조언에 따라 불의 기운을 누르기 위해 만든 연못도 옆에 조성되어 있다. 조사전 옆으로 백계산 동백나무숲이 이어져 약 7,000그루의 동백림 장관을 볼 수 있다.",,https://gwangyang.go.kr/tour/,전라남도 광양시 옥룡면 운암길 83,상시 개방,연중무휴,가능,,,,,,,,,,,"석가탄신일을 맞이하여 광양에 운암사에 왔습니다. 절이 웅장하고, 정결하게 잘 꾸려져 있습니다. 또한 대단하고 웅장한 불상이 외부에 있어서 절을 더 웅장하게 절을 이끌어 주고 있어요. 자연경관과 함께 어울려져 더욱 아름다운 절입니다.",,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
곡성 하늘나리마을,"여름철 높은 산지에서 피는 하늘나리가 자생해 하늘나리마을이라고 불리는 이곳은 전형적인 시골 마을이다. 산길을 따라 봉두산쪽으로 들어가면 사방이 산으로 빼곡하게 둘러싸인 마을이 나온다. 이곳 가구 60여 명의 주민이 다랑논에서 벼농사를 짓고 집집마다 토종벌을 키우며 오순도순 정을 나누며 살고 있다. 마을에서 나는 이런 특산물은 무공해라 도시민들의 주문이 쇄도하는 품목이기도 하다. 마을의 주요 소득원은 꿀이다. 주변의 히어리꽃, 아까시꽃, 밤꽃 등에서 벌들이 채취한 꿀로 벌통이 없는 집이 없을 정도로 토종벌을 치는 집이 많다. 하늘나리마을의 최대 자원은 순수함, 농촌다움이다.",,https://www.gokseong.go.kr/,전라남도 곡성군 죽곡면 상한길 264,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"진도장·진도조금시장 (2, 7일)","진도 조금시장은 예로부터 지역의 상권을 선도했던 중심 시장으로 오일장이 서면 상설인 진도조금시장에서 보기 힘든 풍성한 난전이 열린다. 조금리에 있는 건널목을 조수가 가장 낮을 때는 나룻배를 타지 않고도 건널 수 있다 해서 조금리라 하였고 조금시장의 이름의 유래가 되었다. 가장 큰 장은 어물전으로 메인 광장에서 열리는데 활어와 건어물 등을 파는 좌판이 펼쳐진다. 진도장에서는 대파, 돌미역, 마늘, 고추, 돌김, 검정약쌀이 주를 이룬다. 또한, 지리적 특성에 맞게 간자미 등 여러 가지 해산물들이 거래되고 있다. 텃밭에서 직접 재배한 싱싱한 농산물을 넉넉하게 구입할 수 있는 오일장의 정취를 느낄 수 있다. 지역의 상권을 선도했던 옛 전통시장으로 진도군 지역의 특색이 고스란히 살아있는 시장이다.",,,전라남도 진도군 진도읍 조금시장길 25,점포 별로 상이함,점포 별로 상이함,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,,,,,어물 / 구기자 / 대파 / 전복 / 울금 / 각종 토산품 / 곡물 / 과일 / 채소 / 해산물,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
