place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용가능시설,시설이용료,접근로,출입통로,review,체험가능 연령,화장실,입장료,장애인 주차 안내,엘리베이터,유모차,수유실,휠체어,지정현황,주차요금,이용요금,주요시설,대중 교통,지체장애 기타 상세,판매 품목,관람석,점자 홍보물,오디오 가이드,주차 요금,객실수,예약안내,예약안내 홈페이지,청각 장애 기타상세,시각장애 기타상세,개장기간,규모,이용 시기,수용인원,영업시간,대표메뉴,취급메뉴,대여안내,보유장비,부대시설,보조견 동반,점자 블록,안내 요원,코스안내,할인 정보,수화 안내,자막 비디오 가이드,입실시간,퇴실시간,객실내 취사 여부,바비큐장여부,세미나실 여부,객실유형,입점브랜드,식음료장,객실,유도안내 설비,영유아가족 기타상세,체험
인천학생과학관,"인천 영종도에 위치한 인천학생과학관은 직접 보고 느끼는 체험형 과학관이다. 1층에는 과학 원리를 놀이로 체험하는 공간과 함께 생명의 신비를 느낄 수 있는 수족관 및 수학 체험실이 있는 꿈돌이관을 시작으로 2층에는 지구와 생명의 역사, 해양 및 육상 생태계를 체험할 수 있는 자연사탐구관, 3층에는 역학적 에너지 보존과 진자의 운동을 이해할 수 있는 기초과학관, 4층에는 음악에 맞춰 춤추는 미니 로봇과 다양한 에너지 등 미래기술을 체험을 할 수 있는 미래과학관, 5층에는 우주 체중계와 사람의 감각과 센서 등을 흥미롭게 체험할 수 있는 과학체험관이 있다. 이 밖에도 돔 스크린에 각종 천체와 천문 현상을 구현하는 천체 투영실과 각종 과학 관련 체험, 교육 프로그램을 운영한다. 야외에는 측우기, 측우대 등을 전시하는 전통 과학학습원, 각종 암석을 소개하는 암석학습원, 흙, 물, 풀, 나무 등 다양한 자연 재료를 활용한 놀이터 및 전통 놀이 체험장이 있다.",,http://science.ice.go.kr,인천광역시 중구 영종대로277번길 74-10,10:00~17:00,매주 월요일 / 법정 공휴일,있음,,,주차장에서 출입구까지 계단 없이 평지로 연결됨,주출입구에 단차가 없어 휠체어 접근 가능함,"영종도 간 김에 우연히 방문하게 되었는데 완전 기대 이상이었습니다. 충마다 소박하지만 다양한 볼거리와 체험도 있어요. 체험 콘텐츠도 괜찮습니다. 방문 추천! 아이들하고 가서 거의 1시간넘게 있다왔어요 무료인데 볼거리도있구 체험도 많고 초딩도 좋아합니다 생각보다 규모가 커서 엄청 놀랐습니다. 키오스크에 입장 인원 수만 등록하면 입장료가 무료라서 좋았습니다,지구의 생태계부터 물고기가 있는 아쿠아리움 수족관과 과학 놀이 체험관 등등 볼거리 놀거리가 층마다 테마와 함께 잘 구성되어 있어 아이들이 좋아했습니다. 다 둘러보려면 시간이 오래 걸려서 다음에 오기로 약속할 정도이니 오실때는 시간을 넉넉하게 잡고 오시는 게 좋을 것 같습니다. 아이들이 좋아하는곳이예요 물고기도 볼수있고 체험도 가능하고 신기한 과학의 세계를 엿볼 수 있어서 좋아요 근처 칼국수도 맛있고 자주갑니다",,장애인 전용 화장실 있음,,장애인 전용 주차구역 있음(장애인표지판)_무장애 편의시설,엘리베이터 있음(1대),유모차 대여 가능,수유실 이용 가능,휠체어 무료 대여(1대),,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테이블에이 앤 로우캣,테이블에이는 인천광역시청에 등록된 정식 동물원으로 송도에 위치한 실내 체험동물원이다. 멀리서 보기만 했던 동물들을 직접 눈앞에서 보고 만지며 교감할 수 있고 동물들의 컨디션을 적극적으로 관리하며 케어하는 전문가와 숙련된 직원들을 배치하여 체험자들이 좀 더 안전하게 동물들을 만날 수 있다. 트리플스트리트라는 대형 상가에 입점되어 접근성이 좋으며 주변의 편의시설을 함께 이용할 수 있어서 가족 중심의 복합 문화공간으로서 많은 사람들이 찾고 있다.,,,인천광역시 연수구 송도과학로16번길 33-4 송도 트리플스트리트 D동 1층,10:30~22:00,연중무휴,가능,,,,,,,있음,"- 1인 18,000원
- 10회 이용권 110,000원
- 모둠간식 10,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해돋이도서관,"해돋이도서관은 인천광역시 연수구 송도동에 위치한 현대적인 도서관으로, 학문과 문화가 어우러지는 공간이다. 해돋이도서관은 인천광역시 연수구 송도동 주택단지 옆에 조성된 송도해돋이공원 내에 위치해 있다. 2016년에 개관했으며, 영유아부터 노인까지 모두를 만족시키는 종합도서관으로, 문화도시 확립을 위해 노력하고 있다. 송도해돋이도서관은 책을 사랑하는 사람들에게는 물론, 휴식과 여유를 찾는 이들에게도 매력적인 공간이다.",,www.yspubliclib.go.kr,인천광역시 연수구 해돋이로 7,"[어린이 자료실]
- 09:00~18:00
[종합자료실]
- 평일 09:00~22:00
- 주말 09:00~18:00
※ 자세한 사항은 전화문의 요망",매주 월요일 / 법정공휴일,가능,,,"문화시설 부지 넓음. 이동경로 폭 넓음
문화시설 특성상 휠체어, 전동 스쿠터 사용자 이용 쉬움.
내부 턱 없음.","출입통로 형태 : 여닫이문.
출입통로가 넓어 휠체어, 전동 스쿠터 사용자 진입 쉬움.
경사로 있음.","현대 아울렛몰에서 멀지 않아서 거리도 좋은 곳이에요 해돋이공원에 있어서 이름도 같은 것 같아요 자연과 책이 공존하는 국제도시 송도의 최초의 도서관이라고 하니 역사적으로도 의미가 좋죠 인근이 다 잘 되어있고 주거지도 깔끔하게 신축된 도시라 젊은 부부도 많이 오고 아이들도 많이 보여요 주민이 주로 이용하겠지만 인천에 지인이 있거나 놀러가서 들려봐도 좋은 곳이라 추천합니다 저는 지인집 놀러왔다가 ...
더보기",,장애인 화장실 있음(자동문),,,장애인용 엘리베이터 있음,,,,,,무료,,"대중교통 이용 가능 : 해돋이도서관 정류장.
저상버스 없음.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유아휴게실 있음,
난정리 해바라기마을 정원,"인천 강화군 교동면 난정저수지 일원 약 3만 3천m² 부지에 조성된 해바라기 정원이다. 난정리 해바라기 마을 정원은 이곳 난정리 100여 명의 주민이 마을공동체를 만들어 농사를 짓지 못하는 공유수면에 약 10만 그루나 되는 해바라기밭을 조성한 것으로, 인근 난정저수지와 수정산과 어우러진 해바라기들이 장관을 이루어 가을 해바라기가 피는 시기에는 많은 관광객이 찾아온다.
해바라기 상태가 안 좋은 날에는 무료로 개방하고 있다.",,https://itour.incheon.go.kr/,인천광역시 강화군 교동면 난정리 741-3,상시 개방,연중무휴,가능,,,,,25년도 입장료 5000원 이예요 아이들과 예쁜 해바라기 보고 사진도 찍었습니다. 산책 하기 좋고 아이들과 시간 보내기 좋아요. 매년 해바라기 보러 가야겠어요^^ 해바라기축제가 조기종료되었지만 작은 기대로 갔었더니 섬쪽 방향으로 조금 남아있는 해바라기를 구경하고 왔습니다. 작은 규모의 해바라기가 남아서 사진으로나마 예쁘게 담아보았습니다.내년이 기대가 되는데요. 내년에는 또 가보려구요,,있음,"5,000원
※ 이용요금은 변동될 수 있으므로 전화문의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소래바다낚시터,"소래바다낚시터는 소래포구 인근 소래습지 생태공원 옆에 있는 바다낚시터이다. 만조시간에 가장 맑은 소래바닷물을 그대로 사용하여 바다낚시의 느낌을 그대로 느낄 수 있다. 이곳은 가두리 양식장 스타일의 노지 낚시터와 하우스로 된 실내 낚시터 두 곳이 있으며, 노지터는 좌대 낚시터로 일반 활어 중심이고 하우스 낚시터는 랍스터 낚시로 유명하다. 우럭, 광어, 자바리, 돗돔, 다금바리 등을 잡을 수 있으며 랍스터 낚시는 겨울 시즌에만 운영하며 초등학생을 동반한 가족단위 낚시인들이 많이 찾는다.",,http://cafe.naver.com/purples77nw,인천광역시 남동구 소래로154번길 25-40,07:30~18:00,연중무휴,,,,,,,,있음,,,,,,,,,"- 입어료 40,000원
- 낚시대 대여료 10,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기차왕국박물관카페,인천대공원 남문 인근에 위치한 기차 왕국 박물관 카페는 40여 년간 모형기차를 만들어온 이현만씨가 만든 작품들이 전시되어 있는 사설 기차 박물관 겸 카페이다. 2017년 영업을 시작한 박물관 카페는 그동안 만들어온 기차 모형 260여 점이 전시되어 있다. 황동을 재료로 30년간 정교한 기차 모형을 만들면서 마니아들에게 소문나기 시작했다. 카페라고 이름 붙여져 있으나 내부 공간은 기차 및 세계 유명 건축물 등 모형 전시 위주의 공간이며 음료는 머신을 통해 셀프로 주문해서 마실 수 있다. 아이들은 물론이고 어른들도 볼거리가 가득한 신기한 기차 박물관이다.,,,인천광역시 남동구 장자로6번길 112-7 (장수동),10:00~18:00,매주 월요일,가능,,,,,,,,,,,,,,,,"- 성인 5,000원
- 어린이 4,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청년미디어타워,"청년미디어타워는 지난 2007년, 지역난방 발전 시 나오는 연기를 배출한 굴뚝으로 사용하기 위해 만들어졌다. 이후 남동구에 기부채납되면서 2009년부터 남동타워로 개방하고 보다 더 많은 이들에게 쓰이기 위해 2020년 청년미디어타워로 재탄생했다. 미디어 콘텐츠 제작에 관심이 있는 사람들을 위해 녹음·영상 스튜디오 대관 및 전자드럼, 디제잉장비, 턴테이블과 같은 다양한 미디어장비를 체험할 수 있는 기회를 제공하고 있으며, 탁 트인 남동구 전경을 보실 수 있는 전망대와 휴식공간도 마련되어 있다.",,https://www.mediatower.co.kr/,인천광역시 남동구 논현고잔로 173 (고잔동),10:00~18:00 (준비시간 12:00~13:00),매주 일요일 / 법정공휴일,가능,,,,,,,,,,,,,,,,※ 공간마다 상이하므로 전화문의 요망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계양문화회관,"인천광역시 계양구 계양산로에 자리하고 있는 계양문화회관은 총 795석을 갖춘 공연장, 무대시설, 연습실, 생활문화센터 등으로 구성되어 있다. 외부 유수의 교향악단이 참여하는 클래식 공연부터 뮤지컬, 연극, 아트 공연까지 다양한 장르의 공연을 볼 수 있으며, 계양문화회관 소속의 악단 등 구민들이 참여하는 공연도 가까운 곳에서 관람할 수 있는 다양한 공간으로 활용되고 있다. 이 밖에도 댄스스포츠, 웰빙댄스, 한국무용, 서예 교실, 바리스타 등 다양한 강좌도 함께 운영하고 있어 남녀노소 누구나 참여할 수 있다.",,http://gysiseol.or.kr/culturebuilding/,인천광역시 계양구 계양산로35번길 11,"- 공연장 09:00~22:00
- 생활문화센터 10:00~17:00
※ 자세한 사항은 홈페이지 참조",※ 공연에 따라 상이하므로 홈페이지 참조,가능,,,출입구까지 경사로가 설치되어 있음(수동문),주출입구는 경사로가 설치되어 있어 휠체어 접근 가능함,,,장애인 전용 화장실 있음,,장애인 전용 주차구역 있음(5대)_무장애 편의시설,,,,,,,※ 공연에 따라 상이하므로 홈페이지 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갑곶순교성지,"1866년 프랑스인 성직자 9명을 처형한 책임을 물어 프랑스 함대가 갑곶 돈대로 상륙했다. 이로 인해 강화 지방에서는 혹독한 박해가 시작됐고 갑곶 성지가 보이는 백사장에서 많은 신자가 순교했다. 또 1871년에는 미국 군함에 다녀왔다는 죄로 우윤집, 최순복, 박상손 등이 갑곶 진두에서 순교했다. 후에 천주교 인천 교구는 갑곶 진두의 정확한 위치를 찾아 지금의 갑곶 순교성지를 조성하고 2004년 2월 10일 갑곶 순교성지 첫 미사를 드렸다. 강화도 성지로 일만 위 순교자 현양 동산, 진무영(鎭武營) 순교성지, 관청리 형방이 있으며, 십자가의 길, 순교자 삼위비, 박순집 베드로 묘 등을 순례할 수 있다.",,http://gabgot.com/,인천광역시 강화군 강화읍 해안동로1366번길 35,※ 자세한 사항은 홈페이지 참조,연중무휴,가능,,,,," 강화대교에서 바로 전쟁 박물관 근처여서 방문했습니다. 강화도에서 가본 곳 중에 역사적으로 의미가 있어서 좋았어요. 순교자분들을 기리고 기념할 수 있는 장소라 뜻 깊었습니다 여행을 가면 그 지역의 가톨릭 성지를 한번씩 다녀오곤 합니다. 이번 강화여행에선 갑곶순교성지를 다녀왔는데 규모도 크고, 숲길을 따라 십자가의 길을 바치고 와서 뜻깊은 여행이었습니다. 순교성지 뒤편 숲길을 걷다보면 만나는 전망대에서의 강화바다 전망도 이쁘니 꼭 전망대까지 다녀와보세요~",,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무의도,"무의도는 인천광역시 중구에 위치한 섬이다. 과거에는 배를 타야만 갈 수 있었으나, 2019년 무의대교가 개통되면서 차량 접근이 가능해졌다. 다만 다리 개통 이후 교통량이 10배 가까이 늘면서 2019년 7월 29일까지 주말과 공휴일 무의도 입도 차량을 900대로 제한한다. 무의도 주변에는 실미도, 소무의도 등의 섬이 있는데 연륙교가 연결되어 있어(광명항선착장에서 소무의도) 도보로 10분~15분이면 소무의도에 갈 수 있다. 큰무리선착장에서 광명항까지는 무의도 마을버스로 이동할 수 있다. 소무의도의 아름다운 풍경을 제대로 감상하기 위해서는 무의바다누리길 8코스를 걸어야 한다. 1시간 정도 소요되며 ‘소무의 인도교길’과 ‘명사의 해변길’을 따라 서해바다의 아름다운 경치를 감상할 수 있다. 인기몰이를 하고 있는 장소로는 무의도 세렝게티라고 불리는 곳이 있다. 무의도 백패킹 장소로 세렝게티가 떠오를 만큼 이국적인 느낌을 받을 수 있다. 소무의도 앞에 위치한 광명항에 주차를 하고 갈 수 있다. 광명항에서 호룡곡산으로 가는 등산로 표지가 나오면 좌측으로 길을 따라가면 해안가가 나온다. 해안가에서 갯바위들을 지나가다 보면 온라인상 유명한 포토존이 나오고 이 구역을 관통하면 무의도의 세렝게티에 도착하게 된다. 또한 무의도에는 두 개의 해수욕장이 유명하다. 하나개 해수욕장과 사유지인 실미해수욕장이다. 특히 실미해수욕장에서는 썰물 때 바닷길이 열려 실미도까지 걸어갈 수 있다. 또 하나개해수욕장에서는 호룡곡산, 국사봉 등의 등산까지 즐길 수 있도록 되어 있다.

* 실미해수욕장
실미 해수욕장은 2㎞에 달하는 초승달 모양의 해변 모래사장과 100여 년씩 된 아름드리 소나무가 군락을 이루고 있다. 또한 썰물 때에는 실미해수욕장과 실미도 사이의 갯벌에는 아직도 낙지가 집을 짓고 민챙이와 칠게, 고동이 살아 숨 쉬는 등 갯벌이 살아있는 곳이기도 하다. 또한 울창한 노송숲을 사이에 두고 산림욕장과 텐트야영장 등이 있다.

* 하나개 해수욕장
섬에서 가장 큰 갯벌이라는 뜻의 하나개해수욕장은 선착장에서 차로는 10분 정도면 도착한다. 밀가루처럼 입자가 고운 모래가 깔린 갯벌 앞으로는 시원한 바다가 펼쳐진다. 날씨가 맑은 날이면 멀리 황해도 장산곶까지 보일 정도로 경관이 좋다. 바닷가에 원두막식으로 지은 방갈로에 숙소를 정하면 색다른 경험을 할 수 있으며, 과거 이 곳에서 촬영되어 인기리에 방영된 ‘천국의 계단’ 세트장을 방문하는 사람들의 발길이 끊이지 않고 있다.",,https://isum.incheon.go.kr,인천광역시 중구 대무의로 310-11,,연중무휴,가능,숙박시설 / 음식점 / 해수욕장 등,,,,"바닷가의 기암괴석이 이렇게 있는곳은 여기뿐인거 같습니다. 단연 최고라 할수 있습니다. 서울에서 당일치기로 다녀올수 있어서 접근성이 좋구 해안절벽과 바다경치도 진짜 멋있고 좋아요 오션뷰 카페에서 잠시 여유를 즐기는것도 추천해요 지난주 3월16일(일)에 무의도를 방문 했어요 날씨가 추워 해안가라 바람이 많이 불었지만, 그래도 해안가 다리를 거쳐 여러 암석구경을 하며 그다지 힘들지 않게 정상에 오를수 있었고, 그곳에서 저 멀리 넓은 바다와 주변 경관을 보며 힐링 할수 있어 좋았습니다.^^ 무의도는 처응에 갈때는 인천공항에서 자기 부상열차를 타고 가서 배를타고 건너서 마을버스타고 여생을했는데 지금은 그런 낭만이 없어졌고 길도 넓어지고 다리를 통해 많은 사랑들이 오갈수 있어서 좋긴히다,그리고 소무의도까지 갈수있어 좋디 하나개해수욕장에서부터 해상데크길까지 걷는동안 여러모양의 절벽들을 구경하다보니 신나게 보내고왔습니다 거리도 딱 운동하기 적당했어요 평일 연차내고 다녀왔어요.하나개해수욕장 중심으로 한바퀴 돌고 해물 칼국수 먹고왔어요. 가까워서 하루코스로 무리없이 다니 딱 좋아요 해안절벽과 기암괴석 등의 자연경관들이 매우 아름다워서 좋아요!!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강화전쟁박물관,"강화전쟁박물관은 강화에서 일어난 전쟁과 관련한 유물을 전시하고 있다. 강화도는 지정학적 위치 때문에 항쟁의 역사가 많은 곳이다. 선사시대부터 근현대에 이르기까지 강화에서 일어난 각종 전쟁 유물 120점을 전시하고 있다. 총 네 개의 주제로 구성된 전시관에서 제1전시실은 선사시대부터 삼국시대 주제관으로, 돌화살촉, 고리자루칼 등을 전시하고 있고, 제2전시실은 고려시대의 철제은입사투구, 철투구, 철도자 등을 전시하고 있다. 제3전시실에서는 신미양요 때 어재연 장군이 광성보에 걸고 싸웠던 깃발인 수자기와 면제갑옷 등을 볼 수 있다. 제4전시실에는 조선시대 주력 화포인 불랑기포, 항일 의병들이 사용한 화승총 등 근현대 유물이 전시돼 있다. 이 밖에도 항일 의병을 체험하는 코너와 포토존도 있다.",,http://www.ganghwa.go.kr/,인천광역시 강화군 강화읍 해안동로1366번길 18,09:00~18:00 (입장 마감 17:00),매주 월요일 / 1월 1일 / 설·추석 당일,가능,,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함(수동문)," 주차장이 넓어 주차하기 편해서 좋았습니다.영상을 통해 우리나라 전쟁 역사를 관람했고요, 과거의 전쟁 유물들을 생생하게 눈으로 볼 수 있었습니다.강화도에서 일어난 전쟁 역사 배경과 다양한 무기들도 보고 몽골 장수와 고려 장수의 실물 크기 모형도 인상적이었습니다. 현충일을 맞아 강화전쟁박물관에 다녀왔어요. 강화전쟁영웅을 알아보고 강화에서 일어난 전쟁 사건을 이해할 수 있어요. 갑곶돈대가 옆에 있어서 함께 둘러보기 좋았어요^^ 여기는 특이하게 한겨울 외딴곳인데도 찾는사람이 꽤 많네요.",,,,장애인 주차장 있음_무장애 편의시설,,,,,,,"- 성인 1,200원
- 청소년, 어린이 900원
※ 자세한 사항은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
