place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,접근로,출입통로,장애인 주차 안내,화장실,엘리베이터,오디오 가이드,review,이용요금,휠체어,수유실,관람석,판매 품목,지정현황,이용가능시설,점자 홍보물,이용 시기,유모차,체험가능 연령,시각장애 기타상세,지체장애 기타 상세,주요시설,시설이용료,대중 교통,개장기간,부대시설,주차요금,규모,주차 요금,수용인원,입점브랜드,유아용보조의자,보조견 동반,점자 블록,안내 요원,보유장비,유도안내 설비,코스안내,자막 비디오 가이드,할인 정보,강습안내,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,객실,매표소,대여안내,영유아가족 기타상세,체험
대변시장,"부산 기장 대변시장은 전국 유자망 멸치 어획고의 60%를 차지하는 멸치 대표 산지인 대변항에 있다. 봄 멸치와 가을 멸치가 잡히는 시기가 되면 대변시장에 길게 늘어선 좌판에 생멸치나 멸치젓, 해산물 등을 사러 오는 사람들로 붐빈다. 멸치뿐 아니라 미역, 다시마, 건어물 등 기장의 특산품도 함께 판매하고 있다. 바닷가 앞에 위치한 대변시장에서는 어부들의 멸치 털이 하는 모습도 구경할 수 있다.",,,부산광역시 기장군 기장읍 대변리 444-72,점포별 상이,점포별 상이,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,수산물 / 공산품 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국립일제강제동원역사관,"국립일제강제동원역사관은 일제 강점기 강제동원의 실상을 규명함으로써 성숙한 역사의식을 고취하고, 인권과 세계평화에 대한 국민 교육의 장을 제공하는 것을 목적으로 건립되었다. 일제 강점기 때 부산항이 대부분의 강제동원 출발지였고, 강제동원자의 일부가 경상도 출신이었다는 역사성과 접근성 등을 감안하여, 2008년 9월 부산에 건립 방침을 확정했다. 역사관 내부에는 정부에서 수집한 강제동원 수기, 사진, 박물류 등을 전시하고 있다. 그리고 일제 강제동원 희생자를 추모할 수 있는 추모탑과 기억의 터(위패관)가 마련되어 있고, 미래세대에게 평화의 소중함을 알리기 위한 어린이체험관과 어린이 도서관 다독다독이 있어 '유족을 위한 추도, 기념시설'로서의 역할은 물론 '일제강제동원 역사 교육 공간'으로서의 역할을 수행하고 있다.",,https://www.fomo.or.kr/museum,부산광역시 남구 홍곡로320번길 100,09:30~17:30,"매주 월요일 (단, 월요일이 공휴일인 경우 그 다음 날) / 1월 1일 / 설·추석 당일",가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,"장애인 주차장 있음(8대,2층,건물우측)_무장애 편의시설","장애인 화장실 있음(4층,남녀분리)","장애인용 엘리베이터 있음
추모공원 휠체어리프트 있음",전시음성안내 제공,"아이들과 가족여행으로 한번 가봐야겠어요^^ 부산 남구에 위치한 3대 역사명소의 한 곳으로, 한일관계에 있어 꼭 짚고 넘어가야할 강제동원의 역사를 근거에 기초한 객관적인 시선으로 바라볼 수 있는 장소입니다. 학생들에게도 어른들에게도 꼭 추천하고 싶은 교육의 장입니다 무료입장이고 자차이용시 주차편리합니다~ 다목적공간.체험.전시실등 잘구분되어있어요 아이.어른 모두 한번쯤은 꼭 와보시는걸 추천해요 일제에 의해 자행된 강제동원의 참상을 알리고 올바른역사, 인권 ,평화에 대한 인식을 알리고자 건립된곳이래요 의미있는곳이니 꼭 방문해보세요 휠체어에 정말 친화적인 곳이고 야외 공간도 잘 되어 있습니다 버튼을 누르며 참여하는 전시구간이 특히 좋습니다 역사관 내부 공간이 넓어서 여유롭게 관람하기 좋습니다 역사관 한적한 꼭대기에 있어 차량을 타고 가는 것이 좋아요 주차장도 널직하고 내부도 깔끔하고 일제강제동원 역사에 대한 설명도 잘 되어 있습니다. 긴 시간이 아닌 짧게 관람가능한 코스입니다. 가족이 함께 역사에 대해 알아보는 시간을 가지기에 좋고 아이들 교육에도 좋아요. 위안부와 강제징용에 대한 설명이 잘 되어 있는거 같아요.",무료,휠체어 무료 대여(2대/신분증 지참/안내데스크에서 대여),수유실 있음(4층),,,,,,,유모차 무료 대여(2대/신분증 지참/안내데스크에서 대여),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,역사관 교육프로그램
초원숲속캠핑장,"부산 근교에 있는 숲속 야영장이다. 해운대 해수욕장이 차량으로 25분 거리에 있다. 장비 하나 없이 빈손으로 가서 즐길 수 있는 글램핑장으로 족구장, 트램펄린, 수영장, 동물농장 등 아이들과 즐길 거리도 다양하게 마련되어 있다. 추가 비용을 지불하면 조식과 석식도 제공받을 수 있어 편하게 휴식 가능하다.",,http://초원숲속글램핑.com,부산광역시 기장군 정관읍 병산1길 18,"- 입실 15:00
- 퇴실11:00",,,,,,,있음,,,,"- 펜션 200,000원~300,000원
- 글램핑 190,000원~280,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주식회사 놀핏,"주식회사 놀핏은 ‘놀면서 피트니스, 노르딕워킹과 로컬 도보투어의 콜라보’를 지향하며, 사하구의 아름다운 자연 자원을 기반으로 노르딕워킹, 요가, 어싱, 아로마테라피 등 풍부한 웰니스 콘텐츠를 활용한 체험형 관광 프로그램을 운영하고 있다. 다양한 웰니스 콘텐츠로 관광객에게 즐겁고 건강한 순간을 선사한다.",,"https://norfit.imweb.me
https://blog.naver.com/norfit
https://www.instagram.com/norfit.korea",부산광역시 사하구 장림로93번길 74 (장림동) 맛술촌 11호,월요일~금요일 09:00~18:00(사전 문의 및 예약 필수),,인근 공영주차장 이용 필요,,,,,,,,,,,,,,,,,,,15세 이상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- 액티브 힐링 워킹(원데이) : 노르딕워킹에 대한 교육과 지역 관광지를 투어하는 콘텐츠 / 30,000원
- 액티브 힐링 워킹(워크숍) : 노르딕워킹, 요가, 아로마테라피, 어싱 등 다양한 웰니스 체험 콘텐츠 / 60.000원"
주식회사감천아울,"주식회사감천아울은 감천문화마을을 배경으로, 환경을 생각하는 업사이클링 굿즈를 제작·판매하는 관광두레 주민사업체다. 주민의 손으로 만들어지는 제품들은 폐현수막과 자투리 천 등을 활용해 감천문화마을의 이야기를 담아낸다. 대표 상품인 '업사이클링 에코백’은 지역 내에서 수거한 소재를 활용해 제작되며, 감천의 감성을 담은 실용적인 친환경 아이템이다.",,,"부산광역시 사하구 옥천로75번안길 10 (감천동, 제일아파트) 지하층",월요일~금요일 10:00~19:00,"주말, 공휴일",인근 공영주차장 이용 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주식회사뷰티홀릭,"주식회사 뷰티홀릭은 부산 광안리를 중심으로, K-뷰티와 해양 웰니스를 결합한 이색적인 뷰티 체험 프로그램을 운영하고 있다. ‘뷰티 놀이터’에서의 체험형 K-뷰티 콘텐츠와 함께, 해양 뷰티 테라피를 통해 일상에 지친 몸과 마음을 힐링할 수 있는 시간을 제공한다.

<체험 안내>
1.해양 힐링 뷰티 DIY 체험
-내용: 해초비누, 입욕제, 립밤 만들기 등 해양 원료를 활용한 뷰티 키트 체험
-체험가능연령: 만 8세 이상 (보호자 동반시)
-체험 소요시간: 약 60~90분
-수용인원: 1회당 4~6명

2.광안리 감성 K-네일 체험
-내용: 바다·파도·조개 등을 모티브로 한 광안리 전용 아트 네일 디자인 제공. 젤네일 또는 네일팁 시술 선택 가능. 여행 기념으로 ‘부산 감성 네일’ 완성!
체험 후 광안리 바다 배경의 네일 포토존 제공
-체험가능연령: 만 15세 이상
-체험 소요시간: 약 40~60분
-수용인원: 1회당 3~4명 (예약제)

3.키즈 K-네일 체험 (놀이형 프로그램)
-내용: 만 6세 이상 어린이를 위한 놀이형 광안리네일 체험. 무독성 바다네일컬러, 캐릭터 네일 스티커, 모래반짝이,조개 아트 등으로 아이들이 직접 고르고 꾸미는 네일 놀이
체험 후 ‘키즈 네일 디자이너 인증서’ 증정,네일 아트 놀이 네일팁 키트 제공
키즈 포토존 인증샷 이벤트 진행",,,"부산광역시 수영구 광안로7번길 17 (광안동, 세종 엠스테이3차) 제1층 107호",10:00-20:00,,가능,,,,,,,,,,,,,,,,,,,체험마다 상이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. 해양 힐링 뷰티 DIY 체험
2. 광안리 감성 K-네일 체험
3. 키즈 K-네일 체험 (놀이형 프로그램)
4. 패밀리 힐링 뷰티 패키지 (가족 단위)"
주식회사아래모래,"주식회사 아래모래는 감천문화마을을 배경으로 한 캐릭터 ‘감양이’와 ‘대롱이’를 활용해, 부산을 소개하는 다양한 관광 굿즈를 제작하고 있다. 그립톡, 키링, 봉제인형 등으로 구성된 캐릭터 상품은 특히 외국인 관광객에게 한국의 감성과 지역 문화를 전하는 기념품으로 인기를 끌고 있다.",,,부산광역시 사하구 감내2로 100 (감천동),월요일~일요일 10:00~19:00,,인근 공영주차장 이용 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주식회사어반힐링,"주식회사어반힐링은 ‘컬러를 찾아 떠나는 로컬 여행사’를 콘셉트로, K-뷰티와 퍼스널컬러 체험을 결합한 지역 관광 상품을 운영하고 있다. 대표 상품인 ‘Make up my trip’은 퍼스널컬러 진단과 메이크업 체험, 로컬 투어가 결합된 여행 상품으로, 컬러풀한 하루를 제공한다. 부산을 찾는 외국인 관광객을 대상으로 운영되며, 웰니스 체험과 야간 투어 등 다양한 수요에 맞춘 프로그램도 함께 제공한다.",,,부산광역시 사하구 낙동대로 534 (하단동),월요일~금요일 10:00-18:00,공휴일 및 일요일 상담 휴무,인근 공영주차장 이용 필요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"- Make up my trip : 퍼스널컬러, 메이크업 등 K뷰티 체험과 로컬투어를 즐길 수 있는 여행상품 / 100,000원(1인)"
주식회사피알아이피,"The, PRIP은 부산 수영구의 독립책방 ‘The, PLACE’를 거점으로, 여행을 주제로 한 체험형 프로그램을 운영하고 있다. 같은 여행이라도 각자의 방식으로 더 깊고 특별한 추억을 남길 수 있도록, 여행의 기억을 직접 담아내는 기념품 만들기 체험을 제공한다. 일반적인 관광 기념품이 아닌, 나만의 손으로 완성한 결과물을 통해 여행의 의미를 오래도록 간직할 수 있다.",,https://www.instagram.com/theplace.busan/,부산광역시 수영구 수영로 409 (남천동) 4층,"평일 13:00~20:00, 주말 11:00~18:00",월요일,없음(옆 건물 타워주차 이용),,,,,,,,,,,,,,,,,,,만 13세 이상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"디카시 체험(나만의 시 엽서북 만들기) : 평소에 접하기 힘든 디지털카메라의 조작법을 사진작가에게 배우고,(투어 기간 동안 대여 가능) 투어 동안 촬영한 사진에 대해 5행 이내의 디카시를 써보는 체험을 제공하고, 관광객이 직접 찍은 사진과 직접 쓴 디카시를 엮은 ‘여행의 기억’을 출판하여 관광객에게 택배로 제공"
송도해안볼레길,"송도해안볼레길은 부산 갈맷길 4코스 1구간 중 송도해수욕장에서 암남공원 일주로를 거쳐 암남공원 입구까지의 구간으로 특히 해안선을 따라 펼쳐지는 해변, 항구, 바다와 기암, 숲길을 한꺼번에 즐길 수 있는 해안산책로이다. 우리나라 최초의 해수욕장인 송도해수욕장에서 시작해 국내 최초의 해상 조각품인 고래조형등대, 가수 현인 선생의 동상을 지나, 해변 끝에 위치한 송도포구에 다다른다. 포구와 작은 공원을 지나면 국가지질공원 안내소가 나오고 송도해안 볼레길의 백미인 붉은 계단으로 이어지는 송도 해안산책로가 시작된다. 송도 해안산책로는 붉은 계단과 다리가 기암절벽 위로 끊어질 듯 이어진다. 이 산책로는 구름다리처럼 금방이라도 끊어질 듯 아슬아슬한 느낌을 주는 것이 특징이다. 산책로와 다리 위에서 바라보는 푸르고 시원한 바다와 바닷바람에 몸을 맡기고 있으면, 마치 내가 바다의 어느 일부분이 된 것 같은 찌릿한 착각마저 느끼게 해 준다. 해안산책로 끝에는 국가지질공원이 위치해 있다. 이곳은 유네스코가 지정하는 3대 자연환경 보전제도 중 하나로, 눈이 아리도록 붉게 펼쳐진 암반은 붉은 계단, 다리와 처음부터 하나였던 것처럼 자연스럽게 조화를 이룬다. 송도해수욕장을 비롯해 조각품, 전망대, 산책로 등과 울창한 삼림을 자랑하는 산과 푸르고 광활하게 펼쳐진 바다가 조화를 이루는 송도해안 볼레길은 해안선을 따라 바다를 바라보며 오염되지 않는 청정한 삼림욕을 즐길 수 있으며, 원시자연공원이라는 호평을 받고 있다.",,,부산광역시 서구 암남동 산123-18,상시 개방,연중무휴,,,,,,있음,,,송도해안볼레길 다녀왔는데 해안길을 즐겁게 산책하고 올수있어서 너무 좋았어요 바다바람 도좋고 경치도 좋고 시원하게 잘 다녀왔어요 현재 공사 중...,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"광안리회센터(민락어민활어직판장,씨랜드회센터)","해양 수산 도시 부산을 대표하는 회센터이다. 횟감용 어종이 다양하고 인근 해역의 신선한 자연산 생선을 즉석에서 조리해 맛볼 수 있는 생선회는 꼬들꼬들 씹히는 맛이 일품이다. 회 타운은 민락동 회센터, 씨랜드 회센터, 민락 어민 활어 직판장 등의 대형 회센터 등이 있다. 사시사철 신선한 회를 즐길 수 있으며 각각의 회센터에는 회를 떠서 안내하는 초장집에서 즐길 수 있는데 저렴하며 신선함을 기본으로 한다. 근처에는 광안리 해수욕장과 바다 위를 가로지르는 광안대교 또한 광안리의 회센터에서만 즐길 수 있는 묘미이기도 하다.",,,부산광역시 수영구 광안해변로312번길 60 (민락동),점포별 상이,점포별 상이,가능,,,,,,,,,,,,,활어회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전포 삼거리,"영화 <브로커> 예고편에서 가수 겸 배우 아이유가 우울한 모습으로 서 있던 버스정류장은 전포 삼거리 정류장이다. 바로 옆에는 그녀가 경찰에게 신고 전화를 걸려 하던 공중전화 부스 두 개가 나란히 서 있다. 현재는 공중전화 부스가 1대만 설치되어 있다. 붉은 벽돌, 색이 바래진 벽화와 기울어진 전봇대, 폭 좁은 인도 등 꾸며지지 않은 모습 그대로의 모습은 부산의 90년대 모습을 떠오르게 한다. 이곳은 영화 팬들의 포토 스폿으로 영화 주인공처럼 사진 찍기 위해 방문을 한다. 이 근처 전포 카페거리가 있어 연계관광으로 방문해 보는 것을 추천한다.",,,부산광역시 부산진구 진남로 320 (전포동),상시 개방,연중무휴,불가능,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
키자니아 부산,"직업 체험 테마파크인 키자니아는 국내외 다양한 기업과 파트너십을 맺어 어린이들에게 수준 높은 직업 체험 기회를 제공하고 있다. 2016년 4월 8일 개장한 키자니아 부산은 전 세계 22번째이자 국내 2호 키자니아다. 영남권 아이들에게 60여 가지 전문적인 직업 체험활동을 제공하는 키자니아 부산은 신세계 센텀시티몰 4~6층에 위치하고 있다. 오픈 1년 만에 50만 방문객을 돌파하고 2025년까지 약 300만명의 고객이 키자니아 부산을 찾고 있다. 키자니아 부산은 게임 개발 센터, 스포츠 방송 센터, 피라미드 탐험대, 보트 조종 스쿨 등 키자니아 서울과 차별적인 체험시설도 마련되어 있어 다른 성격과 느낌을 전달한다. ‘승무원교육센터’는 비상탈출훈련이 보강되고, 보트 조종 스쿨이 있는 등 도시의 특색을 반영한 체험 활동을 제공한다. MBC, 오뚜기, 진에어, 삼성전자, HD현대, 함소아한의원, 하이원리조트, 부산일보 등 국내 기업과 공공기관과의 파트너십을 통해 전문적이고 리얼한 체험 콘텐츠를 선보이고 있다.",,https://www.kidzania.co.kr/,부산광역시 해운대구 센텀4로 15 센텀시티 몰,10:00~19:30,연중무휴,가능,"[어린이]
- 5시간권 52,000원
- 오후권 39,000원
[성인]
- 5시간권 20,000원
- 오후권 16,000원
※ 자세한 사항은 홈페이지 참조",출입구까지 턱이 없어 휠체어 접근 가능함(수동문),주출입구는 턱이 없어 휠체어 접근 가능함,"장애인 주차장 있음(지하3층,4층,5층)_무장애 편의시설","장애인 화장실 있음(지하2층,1층)","엘리베이터 있음(점자번호판,점자블록)",,아이와 다녀왔는데 5세에겐 조금 어렵긴했지만 엄청좋아했어요 스스로 뭔가를 해내고하는거에 엄청 좋아하더라구요 그것만으로도 어린아이들도 가볼만한 곳이어서 다음에 또가보려합니다 여러가지 직업 체험을 할수 있는곳 아이들이 체험을 함으로써 어떤 일을 하는지 알게되고 음식도 만들어보고 치과체험도 하고 너무 좋은 곳이에요 치과체험 한 후로 양치도 아주 깨끗이 잘 하고 있어요 아이들의 꿈을 잠시나마 체험 해볼수 있는곳 정말 좋아요 키자니아 직업체험 테마파크에서 여러가지 직업체험도 하고 맛있는 요리체험으로 오감만족을 느낄수 있고 .아이들에게 많은것을 경험할수 있고 차례지켜서 기다리는 규칙도 배울수 있는것 같아요 시간이 딱 정해져 있어서 효율적으로 동선을 짜야지 많은체험을 할수 있어요 다가오는 방학때에는 종일권을 끊어서 신나게 놀아야 겠어요 아이들이 너무 좋아해서 또가기로 약속 했어요 부산 신세계 키자니아입니다^^ 오후권끊고 들어가 부지런히 움직이면 9~10개정도 직업체험 할수 있더라구요 그만큼 아이들의 협조가 필요하긴해요! 6살부터 체험하면 좋을것 같더라구요^^ 신세계 센텀시티몰 안에 위치해있어 찾아가기도 쉽고 아이들이 다양하게 직업체험해볼 수 있어 좋아요 활동이 다양해서 오랫동안 재미있게 놀 수 있어 아이들이 재밌어해요 아이들을 가진 부모님들 필수코스입니다 아이를 데리고 꼭 방문해보고 싶어요.,,대여가능(1대_키자니아 안내데스크),,,,,,,,"대여가능(15대,키자니아 안내데스크)",,점자안내판 있음(1층 출입구 앞),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유아휴게실 있음(6층),직업 체험 프로그램
청학시장,"청학시장은 부산광역시 영도구 청학동에 위치한 전통시장으로, 영도구 청학동 현 시장 위치에 도로를 중심으로 주변에 자연스럽게 형성된 시장이다. 1971년 천막 시장이 자리하고 있었으나 1980년대에 도시화 계획에 따라 사라지면서 차츰 건물형과 골목형이 결합되었고 인근 지역 주민들이 이용하는 상가 주택 복합형 시장으로 활성화되었다. 2007년 7월 전통 시장으로 인정받았고, 대지면적은 3,996㎡, 매장 면적은 2,424㎡의 크기에, 총 점포 수는 100여 개이다. 주요 취급 품목은 채소, 과일, 생선 위주의 농수산물과 축산물이며 의류, 잡화 등도 판매하고 있다. 고객 편의 시설로 공중 화장실과 아케이드가 있다.",,https://www.yeongdo.go.kr,부산광역시 영도구 태종로316번길 1 (청학동),점포별 상이,점포별 상이,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,농산물 / 수산물 / 축산물 / 공산품 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미포정거장,"2013년 12월 2일 해운대 도심을 지나는 우동-기장 구간의 복선화가 완료되어 해안 절경을 관람할 수 있는 동해남부선 해안 철길은 역사 속으로 사라지고 관광시설로 조성된 미포정거장은 부산 관광명소로 자리 잡고 있다. 현재 해운대 미포, 청사포, 구역포 등 해안 절경을 끼고 있는 철로 부지는 미포와 송정역을 잇는 해변 열차와 스카이 캡슐이 운행되고 있다. 미포정거장 옆으로 나무 데크로 만든 해안 산책로가 조성되어 있어 걷다 보면 해안 절경과, 동백섬, 광안대교, 이기대, 청사포 다릿돌 전망대를 볼 수 있다. 미포정거장은 다수의 영화 촬영지로도 알려져 이곳에 와서 영화의 장면을 떠올려 보며 추억할 수 있다.",,https://www.bluelinepark.com,부산광역시 해운대구 달맞이길62번길 13 (중동),상시 개방,연중무휴,,,,,,있음,,,"바다는 사계절이 달라서 언제 방문해도 정말 좋지만, 특히 겨울바다만의 깨끗하고 쓸쓸함이 있어 매력 터집니다. 요즘 날이 추우니 스카이캡슐 타면서 부산 바다 즐기는거 정말 낭만적이에요^^ 강추합니다!! 또 가고 싶네요~","- 해변열차 8,000원~
- 스카이캡슐 40,000원~
※ 상세 내용은 홈페이지 참조 및 유선 문의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반송공원,"부산 해운대구에 있는 반송공원은 경찰특공대 부지 89,840㎡에 조성되었다. 광장과 쉼터가 있는 진입 공간, 풋살장 같은 운동 공간, 가족 단위로 이용하기 좋은 피크닉 마당, 숲속 놀이터까지 누구나 즐기기에 좋은 다양한 공간으로 구성되어 있다. 접근성이 좋으며 공원에서 살짝만 더 올라가면 울창한 숲과 연결되는 장산 등산로 진입로가 있어 가벼운 등산을 하기도 좋다. 해운대 집라인 놀이터로도 유명한 반송공원은 아이들이 좋아하는 미끄럼틀, 해먹, 시소 등 다양한 놀이시설이 통나무로 만들어져 있다. 반려동물과 동행 시 목줄과 배변 봉투를 지참해야 하고 반송휴산림공원도 가까이 있어 함께 방문하기 좋다.",,,부산광역시 해운대구 반송순환로 100-53 (반송동),상시 개방,연중무휴,가능,무료,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산새벽시장,"부산 사상구 감전동에 위치한 부산의 대표적인 전통시장으로 1982년 부전시장과 충무동 새벽시장 상인들이 옮겨오면서 형성된 부산새벽시장은 농산물 특화 전문시장이다. 2004년부터 현대화 작업을 통해 시설을 정비하고, 주차장을 설치하는 등 시설 현대화 사업을 진행해왔고, 12개의 2층 건물과 1개의 주차장 건물이 모여있는 상가 건물형 시장으로 대지면적 12,590㎡, 건물 연면적이 14,421㎡, 매장 면적이 8,003㎡에 점포 수는 320여 개다. 주요 취급 품목으로는 채소, 과일, 건어물, 식료품, 잡화까지 다양하게 취급하는 종합 시장이다.",,,부산광역시 사상구 새벽로 141 (감전동),03:00~17:00,점포별 상이,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,농산물 / 수산물 / 축산물 / 공산품 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산청과,"부산청과는 1993년 부산 서부권 4개의 도매시장을 통합하여 발족한 농산물 수탁 상장 전문 도매 시장이다. 마늘 등 양념류와 우엉, 마 등의 각종 채소류와 사과, 배, 계절과일 등 과실류, 친환경 농산물을 전문적으로 수급하고 있다. 공정한 경매 절차를 통해 농산물의 원활한 유통과 적정한 가격을 유지하여 생산자와 소비자 모두에게 합리적인 가격의 상품을 제공한다. 농민의 꿈을 소중히 키우고 군내 농산물을 보호하여 농촌 발전과 생산자의 이익에 기여하는 도매시장 법인이다.",,,부산광역시 사상구 농산물시장로 17 (엄궁동),점포별 상이,점포별 상이,가능,,,,,,,,,,,,,과실류 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕포시장,"부산시 사상구에 있는 덕포시장은 언덕을 의미하는 ‘덕’과 포구를 의미하는 ‘포’를 써서 언덕에 있는 시장이라는 뜻이다. 오래전 이곳에 커다란 포구가 있었고 포구를 중심으로 유동인구가 많이 몰리면서 자연스럽게 시장이 형성되었기 때문에 붙은 이름이다. 하지만 2007년 덕포시장은 전통시장에 이름을 올리면서 '언덕에 있는 시장'이 아닌 '복이 있는 시장'으로 뜻을 변경하였다. 풍성한 먹거리와 볼거리를 구비해 방문하는 사람들에게 행복이라는 복을 전해주는 시장으로 거듭나겠다는 의지 표명이라고 한다. 부산도시철도 2호선 덕포역에서 가까워 접근성이 좋은 시장으로 건어물, 과일, 채소, 반찬 등 다양한 먹거리가 있고, 떡볶이, 옛날 과자, 강정 같은 간식거리가 있으며 식당, 고객쉼터 같은 편의시설을 갖추고 있다.",,,"부산광역시 사상구 사상로285번길 8-5 (덕포동,덕포시장상가)",점포별 상이,점포별 상이,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,"건어물, 과일, 채소, 반찬 등 다양한 먹거리가 있고, 덕포역에서 가까워 좋아요",,,,,농산물 / 수산물 / 축산물 / 공산품 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다대씨파크,"다대씨파크는 다대포항에 위치해 각종 활어와 어패류, 해산물 등 저렴하게 판매해 신선한 회를 배불리 맛볼 수 있는 활어 전문 수산시장이다. 1층 회 센터에 여러 상점들이 있는데 전국에서 생산되는 각종 활어와 어패류, 수산물 등을 판매한다. 수조마다 광어, 도다리, 붕장어, 참돔, 전어, 숭어 등의 바닷고기가 가득하다. 1층에서 구매한 해산물은 2층 일명 초장집이라는 곳에서 상차림비를 내면 바로 먹을 수 있다. 1층에서 구매하지 않아도 2층에 있는 초장집에서도 회나 해산물을 바로 구매해서 즐길 수 있다. 다대포항을 바라보며 운치 있게 신선한 회를 먹을 수 있어 이곳을 찾는 사람들도 있고 포장을 해서 음악 분수를 구경하며 먹는 사람들도 많다.",,,부산광역시 사하구 다대동로 20 (다대동),11:00~21:00 (점포별 상이),점포별 상이,가능,,,,,,,,,,,,,수산물 / 식품 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정서핑학교,"송정서핑학교는 1995년 부산 송정해수욕장에 최초로 설립된 서핑 전문학교이다. 전통을 자랑하는 송정서핑학교에서는 훌륭한 지도자와 선수들, 유소년을 배출하고 있으며 서핑 동호인은 물론 국내 서핑 문화의 활성화에 최선을 다하고 있다. 강습 후 헤매다 끝나는 서핑이 아닌 강사 도움 없이 혼자 스스로 파도를 잡는 서핑을 추구한다.",,surfschool.co.kr,부산광역시 해운대구 송정해변로 34-8 (송정동),09:00~20:00,연중무휴,,,,,,있음,,,,"체험 강습 50,000원~
카버 스케이트보드 교육 30,000원~
장비 대여 10,000원~
※ 상세 내용은 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
