place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,주차 요금,이용요금,규모,할인 정보,접근로,출입통로,장애인 주차 안내,엘리베이터,화장실,지체장애 기타 상세,review,이용가능시설,입장료,지정현황,체험가능 연령,수유실,휠체어,점자 홍보물,시설이용료,주차요금,대중 교통,유모차,판매 품목,객실,주요시설,부대시설,강습안내,오디오 가이드,영업시간,대표메뉴,취급메뉴,관람석,개장기간,수용인원,대여안내,보유장비,시각장애 기타상세,점자 블록,보조견 동반,유도안내 설비,입점브랜드,코스안내,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,세미나실 여부,예약안내,예약안내 홈페이지,안내 요원,식음료장,홍보물,이용 시기,유아용보조의자,영유아가족 기타상세,체험
구인사(단양),"구인사는 대한불교 천태종의 총본산 사찰로서, 전국에 140개나 되는 절을 관장하고 있다. 1945년에 건립되었으며, 1966년 현대식 콘크리트조로 지은 이색적인 건물이다. 소백산 국망봉을 중심으로 장엄하게 늘어선 봉우리 가운데 하나인 연화봉 아래에 자리 잡고 있으며, 상월원각 스님이 1945년에 이곳에 손수 칡덩굴을 얽어 삼간초암을 짓고 정진 끝에 대도를 성취하여 구인사를 창건하게 되었다.
구인사는 현대식 건물의 대가람 (총 건축면적 15,014㎡)으로 절 안에는 5층 대법당을 비롯하여 삼보당, 설선당, 총무원, 인광당, 장문실, 향적당, 도향당 등 50여 동의 건물들이 경내를 꽉 메우고 있으며 만여 명이 취사할 수 있는 현대식 시설도 갖추어져 있다. 구인사를 방문할 때 두 가지 볼거리를 빼놓으면 안 되는데, 이는 바로 국내 최대 규모의 대법당과 법어비이다. 대법당은 1980년 4월 29일 준공된 5층 건물로 국내 최대 규모의 법당이다. 5층의 대법당은 상월원각 대조사가 삼간초암을 얽어 처음 구인사를 창건하고 수행하 시던 그 자리에 세워져 있다. 이는 남대충 대종사께서 대조사님의 생전 유지를 받들어 전통양식과 현대적 공법으로 5천여 명을 수용할 수 있는 초대형 대법당을 지은 것이다. 상월원각 대조사 법어비는 상월원각 대조사님께서 일생동안 종도들에게 가르쳐 오신 모든 법문을 총 집약시켜 간략하고 명료하게 요약하여 설법하신 법어를 새겨놓은 비석이다. 이 법어 안에는 부처님 팔만대장경의 모든 진리가 다 포함되어 있으며 넓고 미묘한 불법의 이치를 담고 있다. 구인사에서는 나를 들여다보는 재미있는 체험, 단주, 연등 만들기 체험, 당일형부터 숙박형까지 다양한 프로그램의 템플스테이도 진행하고 있다.",,https://guinsa.templestay.com/,충청북도 단양군 영춘면 구인사길 73,상시 개방,연중무휴,가능,,,,,,,,,장애인용화장실 있음_무장애 편의시설,,"단풍도 좋지만 여름이 끝나기 전 푸른 녹음과 어우러진 구인사에 다녀왔습니다. 숨은듯 하지만 웅장한 자태가 경이롭고 멋있었어요. 꼭대기까지 다녀 오느라 힘은 좀 들었지만 그곳에서 본 풍경은 잊지 못할것 같습니다. 단풍 들면 다시 가보고 싶습니다. 규모가 제법 큰 천태종인 구인사는 들어서자마자 꼭 해외사찰을 둘러보는 느낌이었어요~ 우거진 나무들 속 길이 탁 트여 있어 단양여행시 함께 들러보면 여행을 정리하며 복귀하는 느낌이 참 좋답니다. 이번에 가족들과 구인사를 다녀왔는데 절이 이렇게 크고 넓은 곳은 처음봤습니다. 걸어가는 곳곳이 모두 멋있어서 너무 좋았습니다. 이번에는 여름이라 푸르른 느낌의 구인사였는데 가을에 오면 단풍으로 가득한 구인사라서 다른 느낌으로 멋있을 것 같습니다! 구인사는 웅장한 규모와 아름다운 절입니다. 가파른 오르막길은 힘들지만 꼭대기에서의 경치는 좋아요😄. 가을 단풍철에 방문하면 더욱 아름다운 풍경을 즐길 수 있어요. 구인사가 천태종 총본산이라 그런지 사찰 규모가 정말 컸어요. 입구에 성벽같은 천왕문이 있는것도 특이했구요. 사찰 건물들이 많기도 하고 단층이 아닌 3층, 5층 이런식의 복층 구조라 많이 색다르더라구요. 건물들 규모도 엄청나고 단청의 색깔도 화려한 느낌이라 기존에 봐왔던 사찰들보다 많이 강렬하고 웅장했어요. 우리나라 가장 큰 절. 천태종의 시작이라고 하여 가봤음. 주차장과 거리가 꽤 있고 가파르고 계단이 많아 힘들수 있음. 가을에 다시 한번 가볼 예정. 절의 규모가 크고 전망이 좋습니다 방문객들도 공양이 가능해서 좋아요",홍보관 / 진신사리탑 / 범종루 / 대웅전 / 관음전 / 광명전 / 대조사전 / 역대조사전,무료,,,,,,,"대형버스 5,000원 / 중형버스 4,000원 / 승용차 3,000원 / 경차 및 장애인 차량 1,500원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"템플스테이
※ 자세한 사항은 홈페이지 참조 요망"
도예공방 필,"도예공방 필은 1995년 3월 오픈한 충주시내에서는 유일한 도자기 전문공방이다. 도자기 인형을 전문으로 제작하고, 택견도자기 인형을 비롯한 다양한 인형을 제작하여 납품 및 판매한다. 또한 이곳은 원데이클래스와 연령별 교육을 수강받을 수 있으며 대학 도예과 진학을 위한 입시반 교육도 준비되어 있다.",,http://www.philgongbang.co.kr,충청북도 충주시 연원5길 26 (연수동),10:00~21:00,매주 일요일,불가능,,,,,,,,,,,,,,,,,,,,,,,도자기 인형 / 나전칠기 악세사리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단양 보발재,"굽이굽이 단풍길로 유명한 보발재는 해발 540m로 가곡면 보발리와 영춘면 백자리를 잇는 고갯길에 위치한 드라이브 명소다. 소백산 자락길 6 코스이기도 한 보발재는 '고드너미재'로도 불리는데 봄에는 형형색색의 야생화가 가을에는 화려한 단풍길이 펼쳐진다.
특히, 약 3㎞ 도로변을 따라 아름답게 펼쳐진 단풍은 소백산 산세와 조화를 이루어 찾는 이들의 감성을 자극한다. 정상에 위치한 전망대에서 한눈에 담을 수 있는 보발재의 단풍과 경치는 관광객뿐만 아니라 많은 사진작가들도 찾게 하며 단풍과 함께 인생 샷을 남길 수 있는 최고의 가을 단풍 명소이다.
또한, 단양군에서 2020년 가곡면 향산 삼거리부터 보발재, 구인사로 연결되는 도로변에 500여 주의 단풍나무를 추가 식재해 가을 풍미를 더하고 있다. 주차공간이 별도로 없어 보발재 200m 뒤편 공터를 이용하거나 길가에 주차해야 한다. 가까운 거리에는 천태종 총본산인 구인사와 온달관광지가 있으니 함께 둘러보아도 좋다.",,,충청북도 단양군 가곡면,상시 개방,연중무휴,불가능,,,,,,,,,,,"예전보다 더좋아졌네요 .다시방문하고싶어요 전망대에서 내려다보는 굽이굽이 굽은 길의 매력이 좋은것 같다 길의 아름다움이 주변의 산세의 아름다움과 봄의시작의 푸릇함 소나무의 멋짐이 좋았다 이 좋은모습을 사진으로 담아지지 않은 안타까움을 느끼니 조금더 머물며 눈에 마음에. 담아본다 2월의 끝자락에 고등학교 아이와 함께 한 여행에서 보발재 전망대에서 바라 본 풍경은 너무 멋있있어요 겨울이라 아직 꽃은 피지 않았지만 겨울은 겨울 나름대로의 고요한 풍경이 좋았어요. 다른 계절에 다시 또 가고 싶어요 드라이브하기 좋아요 봄에 너무 좋을거 같아서 계획 중인데 가을은 또 어떨지 단풍이 기다려 지는 곳이였어요 시기를 정말 잘 맞춰가야 예쁜 단풍을 볼 수 있습니다. 23년도에는 단풍이 아주 빨갛지는 않아서 살짝 아쉬웠습니다. 가장 윗부분에서 사진 찍는것보다 아랫쪽에서 찍는게 더 사진 잘 나올 수 있으니 가장 위에서 자리나기만을 기다리지 않으셔도 됩니다. 주차장 널찍하니까 전망대 앞쪽에 불법 주차 하지 마시고, 주차장과 거리가 멀지도 않으니 사람 많은데 정차해서 미리 내리지 않았으면 좋겠어요 겨울에 방문해도 탁트인 뷰는 정말 멋졌어요~~! 전망대에서 예쁜 사진 남기기 좋아요 다만 해가 져서 산에 그늘이 지면 색이 예쁘게 안나오니 이른 시간에 방문하시면 좋고, 단풍시기 잘 맞춰가야 예쁜 사진 건질 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진천 농다리,"진천 농다리는 사력 암질의 붉은 돌을 쌓아서 만들어진 다리로, 28칸의 교각이다. 지방유형문화재로서 길이는 93.6m, 폭 3.6m, 교각 1.2m 정도이며, 교각 사이의 내폭은 80cm 내외이다. 석회 등을 바르지 않고 그대로 쌓았는데도 견고하며 장마가 져도 유실됨이 없이 원형을 유지하고 있다. 이 다리는 고려 초엽 시대의 권신, 임 장군이 놓았다는 돌다리로 규모도 크고 축조술도 특이하다. 정자, 산책로, 초평저수지까지 연결된 수변데크 등이 조성되어 새로운 관광명소로 자리 잡았으며, 신비로운 다리 모양과 주변 풍경이 잘 어우러져 드라마 촬영지로도 등장한다.",,http://www.heritage.go.kr,충청북도 진천군 문백면 구산동리 601-32,상시 개방,연중무휴,,,,,,,주출입구경사로 있음,장애인전용주차구역 있음_무장애 편의시설,,장애인용 화장실 있음,,"농다리 건너는것도 운치있고, 인공폭포에, 흔들다리까지 초평저수지 한바퀴는 아니지만 하늘다리까지 걷는 원형 루트가 완성되어서 가족들 남녀노소 모두 즐긴 나들이 코스였어요. 진천 농다리에 다녀왔어요 우리나라에서 제일 오래된 돌다리라고 하던데 농다리를 걷다보면 자연 속에 놓인 돌다리가 마치 옛날로 시간 여행을 시켜주는 기분이에요. 주변이 전부 초록초록해서 눈도 편하고, 강바람도 시원해서 산책하기 좋았어요. 청주 방문 후 가까워서 방문한 진천 농다리. 그냥 편한 마음으로 갔는데 도착하자 마자 너무 좋네요. 완전 관광지. 하루 종일 걸어도 좋은 곳 그늘이 많아서 여름에 걷기도 좋은 곳 같아요. 흔들 다리도 재미있고 주변 경관도 산으로 이루어져 아름답네요. 다음에 또 방문 할거에요. 완전 만족만족만족 진천 농다리는 평소 볼 수 없었던 돌다리의 모습을 가지고 있었는데 전시관도 한번 가서 보니 관광지를 이해하는데 도움이 되었습니다 다음엔 황톳길을 걸어보러 가고 싶습니다 농다리는 우리나라의 가장 오래된 긴 돌다리 라고하네요. 지인들과 다녀왔는데 더운날씨임에도 주변에 숲이 많아 시원하고 미르309출렁다리, 하늘다리, 주변 둘레길 모두 너무너무 좋았어요. 한바퀴 도는 시간도 적당하고 경치도 아름다워서 다니는 내내 정말 즐거웠어요. 많은분들도 꼭 가보시길 추천합니다 ^^ https://youtu.be/MmxnYSRZh4M?si=T-4jcSx3jnRKH74N 제25회 생거진천 농다리 축제 응원의 한마디 ""진천시 도약사업"" 진천농다리는 붉은 돌을 쌓아서 만들어진 우리나라에서 가장 오래되고 긴 돌다리라고 합니다. 95미터의 길이에 28칸의 교각으로 이루어져 있는데 석회나 시멘트 등을 사용하지 않고 만들었지만 튼튼하다고 하지요. 진천농다리와 인공폭포 그리고 농암정에 올라거 주변 풍경을 보면 멋져요. 요즘 초평호 미르309출렁다리도 함께 보면 좋습니다.",농다리 전시관 / 공원 / 인공폭포 / 농암정 / 천년정 / 수변데크 등,,충청북도 유형문화유산 진천 농다리 (1976.12.21. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구병산,"구병산은 호서의 소금강인 속리산에서 뚝 떨어져 나와 마로면 적암리와 경북과의 도계에 웅장하고 수려한 아홉 개의 봉우리로 이루어진 산이다. 일명 구봉산이라고도 한다. 특히 가을단풍이 멋들어진 곳으로 단풍이 기암절벽과 어우러져 장관을 이루며 가을 산행지로 적격이다. 정상에서는 평평하며 넓은 보은평야가 내려다보인다. 구병산은 속리산의 남단에 위치하여 속리산의 명성에 가려져 잘 알려지지 않았으나, 최근 많은 등산객이 찾고 있다. 예로부터 보은 지방에서는 속리산 천왕봉을 지아비 산, 구병산을 지어미 산, 금적산을 아들 산이라 하고 이들을 묶어 삼산이라고 불렀다. 속리산의 명성에 가려 일반인에게는 잘 알려지지 않아 산 전체가 깨끗하고 조용하며 보존이 잘 되어 있는 편이다. 보은군청에서는 속리산과 구병산을 잇는 구간을 1999년 5월 17일 ‘충북알프스’로 출원 등록하여 관광상품으로 널리 홍보하고 있다. 인근에 아름다운 자연과 시설물이 조화를 이룬 서당골청소년수련원이 있으며, 구병산에는 서원계곡, 만수계곡, 삼가저수지 등이 자리 잡고 있다.",,,충청북도 보은군 속리산면 구병리,상시 개방,연중무휴,불가능,,,,,,,,,,," 적암리에서 신선대까지 오르막을 계속 오르면 신선대->853봉->백운대를오르면서 기암절벽과 기막힌 산세를 파노라마 처럼 볼수 있다, 밧줄과 암벽을 오르내리는 재미도 있고, 진달레와 산새,도마뱀도 맞아준다, 아름다운 충북의 알프스를 다녀왔다, 참고로 계곡길로 하산하면 길이 좋지는 않아 주의해야 한다",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
증평민속체험박물관,"둔덕마을에는 우리의 고유한 전통문화를 보고 느끼고 체험할 수 있는 증평민속체험박물관이 있다. 증평의 역사와 전통문화를 한곳에서 보고 체험할 수 있는 증평민속체험박물관은 2010년 6월에 개관하였다. 향토자료전시관과 두레관, 체험관 등으로 구성되어 있으며, 증평의 역사·문화에 대한 각종 자료 전시는 물론 농경문화를 직접 체험함으로써 우리 전통문화에 대한 이해와 선조들의 지혜를 배워 계송할 수 있도록 하였다. 넓은 잔디를 중심으로 두레관이 먼저 보이고, 그 뒤로 문화체험관, 향토자료관, 공예체험장, 한옥체험장 등이 자리하고 있다. 두레관은 증평의 전래 민속놀이인 장뜰두레놀이(농사와 관련된 노동요를 풍장과 함께 구성한 놀이)를 주제로 꾸며졌다. 고된 농사일을 놀이로 승화해 낸 우리 선조들의 멋과 흥을 느껴볼 수 있는 흥미로운 공간이다. 문화체험관에서는 세계 각국의 인형과 대장간 전시가, 향토자료관에서는 농경문화와 증평의 역사에 관한 전시가 이뤄진다. 한옥체험관은 단순히 보는 데서 그치지 않고 실제 들어가 볼 수 있는 공간이 많아 제대로 된 체험이 가능하다. 대장간체험, 먹거리체험, 목공예체험, 도자기체험, 공예체험 등 아이들이 흥미를 느낄 만한 체험거리가 가득하다.",,http://www.jp.go.kr/museum.do,충청북도 증평군 증평읍 둔덕길 89,"[3월~10월]
- 09:00~18:00
- 입장마감 17:00
[11월~2월]
- 09:00~17:00
- 입장마감 16:00","매주 월요일 (단, 월요일이 공휴일인 경우에는 그 다음날 휴관) / 1월 1일 / 설·추석 당일",가능,무료,"무료
※ 체험료 별도",,,출입구까지 경사로가 설치되어 있음_무장애 편의시설,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),,,장애인 화장실 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,도자기 꾸미기 / 십이간지 손수건 / 전통놀이 삼총사 등
탄금호 피크닉공원,"충주 탄금호 피크닉공원은 유휴부지로 남아있던 캠핑장을 탄금호의 풍경을 만끽하며 바비큐와 불멍을 함께할 수 있도록 재조성 한 공간이다.
탁 트인 탄금호 수변에 자리한 이곳은 자연 속에서 여유로운 휴식을 즐길 수 있는 공간으로, 가족 단위 방문객뿐만 아니라 연인, 친구들까지 다양한 연령층이 찾고 있다.
바비큐 타임을 즐길 수 있는 바비큐 화로대와 타오르는 장작불을 멍하게 바라보며 스트레스를 해소할 수 있는 불멍 화로대가 피크닉장 내 설치되어 있다.",,https://www.cjro.kr,충청북도 충주시 중앙탑면 중앙탑길 150,"- 1회차 12:00~16:00
- 2회차 18:00~22:00
- 준비시간 16:00~18:00",매주 월요일 / 화요일 / 명절 당일,가능,,,,,,,,,,,,,,,,,,,"- 소형 10,000원
- 중형 15,000원
- 대형 20,000원
※할인 등 세부내역은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,바비큐 / 불멍
충주고구려비전시관,"충주고구려비전시관은 2012년에 개관한 곳으로 국내 유일의 고구려 석비인 충주 고구려비를 볼 수 있는 곳이다. 충주는 계립령과 죽령, 남한강 등이 있어 전략적 요충지였는데 고구려가 충주를 70여 년의 오랜 시간 동안 점령했던 흔적을 보여주는 것이 바로 충주 고구려비이다. 오래전부터 가금면 용전리 입석마을 앞에 서 있었던 충주 고구려비는 1979년에 이르러서야 그 가치가 세상에 알려졌고 그 후 장수왕이 남한강 유역을 공략한 후 세운 기념비로 추정되어 고구려비로 명명됐다. 이 밖에도 충주고구려비전시관은 충주 고구려비뿐만 아니라 고구려의 유산, 설화, 생활상 그리고 안악 3호 분, 광개토대왕 비, 충주 고구려비의 발견 과정 등도 소개하고 있다.",,https://www.chungju.go.kr,충청북도 충주시 중앙탑면 감노로 2319,09:00~18:00,매주 월요일 / 1월 1일 / 설·추석 당일,불가능,,무료,,,출입구까지 턱이 없어 휠체어 접근 가능함,단차없어 휠체어로 이동편리함,장애인 주차장 있음(4대)_무장애 편의시설,,장애인 화장실 있음,,우리나라 유일의 고구려 비석을 볼 수 있고 좋았고 그리 크지 않아 가볍게 둘러 볼 수 있는 장소입니다. 아이들과 충주가면 가볍게 들릴만한곳이다 체험도 할수있어 괜찮다 역사공부도 할수있고 좋다 한때 오래전부터 마을입구에 세워졌던 석비가 고구려 장수왕이 남한강 유역을 공략한 후 세운 기념비로 밝혀져 오늘날 고구려비로 명명되었다고 하는데.... 세상의 보물은 꼭꼭 숨겨져 있어 우리가 찾지 못하는 것이 아니라 세상에 드러나 있는 보물을 우리가 알아보지 못하기 때문에 찾지 못하는 것이 아닐까???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백악산,"백악산은 괴산군 청천면 사담리에 있는 산으로 백 개의 봉우리로 이루어진 산이라 전해온다. 산에 올라 작은 바위들을 넘다 보면 백 개는 충분히 되리라 생각이 들 정도로 크고 작은 바위들이 널려 있다. 백악산은 충북과 경북의 경계에 위치하면서도 교통편 때문에 경북 쪽에서 올라 옥양폭포 쪽으로 하산을 해왔으나 근래 충북 쪽의 사담리까지 지방도 포장과 대방리계곡 때문에 등산객들이 대방리 코스를 이용하기 시작했다. 백악산 정상은 세 개의 바위가 각각 독특한 모습으로 삼각형을 이루고 있는데, 20여 미터 길이의 기차바위, 의자바위, 개구리바위가 그것이다. 백악산 자체가 자연미를 그대로 간직하고 있을 뿐 아니라 인근의 낙영산, 공림사, 청소, 천연기념물 망개나무 자생지 등 볼거리와 피서 장소가 많이 있어 등산객들이 즐겨 찾는 산이다. 인근에는 우암 송시열이 중국의 무이구곡을 본떠 이름을 지었다는 화양구곡과 선유동계곡이 있고, 괴산군 칠성면에는 절경의 쌍곡계곡도 있다.",,http://www.goesan.go.kr/tour,충청북도 괴산군 청천면 괴산로대방래길 158,"상시 개방
※ 자세한 사항은 전화문의 요망",연중무휴,가능,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신선봉,"괴산군 연풍면 원풍리와 충주시 수안보면 사문리에 걸쳐 있는 산으로 높고 산세가 아름다운 산이지만 주위의 월악산·주흘산·조령산 같은 유명한 산들에 가려 잘 알려지지 않았다. 산행코스는 여러 가지가 있지만 조령산 자연휴양림 매표소를 기점으로 안부를 지나 정상에 오른 뒤 마패봉과 폭포 위를 지나고, 치마바위를 거쳐 휴양림 매표소로 내려오는 코스가 경치가 좋고 길이 편한 탓에 흔히 이용된다. 산행 기점이 해발 450m 지점이기 때문에 어렵지 않게 등반할 수 있으며 조령 3관문으로 오르는 길목에는 잘 가꾸어진 휴양림과 편의시설이 있어 쉬어갈 수 있다. 신선봉은 산행 기점이 조령 3관문인 문경관문(사적)이 시작되는 조령산 자연휴양림에 있어 꾸준히 사람들이 찾는 곳으로 인근에 수옥정 국민관광지, 수안보온천, 월악산, 미륵사지, 문경새재도립공원, 송계계곡 등이 있어 가족 단위로 여행하기 좋다.",,http://www.goesan.go.kr/tour,충청북도 괴산군 연풍면 원풍리,상시 개방,연중무휴,가능,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청주 상당산성,"* 삼국시대 포곡식 석축산성, 상당산성 *
상당산성이란 명칭은 삼국시대 백제의 상당현에서 유래된 듯하다. 둘레가 4km를 넘는 거대한 포곡식 석축산성이다. 상당산성이 처음 축성된 것은 백제시대 때 토성으로 만들어진 것으로 추정되며 김유신의 셋째 아들 김서현(원정공)이 서원술성을 쌓았다는 기록이 전하기도 한다. 이후 조선시대 선조 29년 임진왜란 당시 개축되었다가 숙종 때 석성으로 개축하였다. 읍지(邑誌)에 따르면 이 산성은 1716년(숙종 42) 고지(古址)에 의거하여 석축으로 개수하였다고 하며, 남문 등의 성문·성벽에 당시의 공사관계자들의 이름과 관직명 등이 새겨져 있다. 남문의 문루는 1977년 복원되었다.

* 상당산성의 구조 및 축조법 *
산성의 면적은 12.6ha, 성 둘레 4,400m이며 크기가 일정하지 않은 석재로 수직에 가까운 성벽을 구축하고 그 안쪽은 토사(土砂)로 쌓아 올리는 내탁공법(內托工法)으로 축조하였으며 높이는 4.7m이다. 동·서·남방 3개소에 성문을 두었는데, 남문은 무사석(武砂石)으로 홍예문을 만들고 그 위에 목조 문루(門樓)를 세웠다. 지금은 석축 부분만 남아 있고, 성문의 높이는 3.5m, 너비는 4.2m이다. 동문과 서문도 역시 문루가 있었으며 성문은 무사석으로 네모지게 축조하였는데 높이 2.7m, 너비 2.8m이다. 동문과 남문 부근에 1개소씩의 암문(暗門)이 있고 동남방에 수구(水口)가 있었으나 지금은 여기에 저수지가 만들어져 있다. 성내에는 동장대(東將臺)와 서장대(西將臺)의 터가 남아 있다.

상당산성은 청주를 상징하는 가장 대표적인 건축물이다. 멀리서 보아도 상당산이 머리에 띠를 두른 듯 또렷하게 보이는 성벽은 위기 때마다 청주 사람들의 울타리가 되어준 파수꾼이다. 상당산 능성 따라 이어진 성벽은 산을 돌아가며 둘레 4.2km, 높이 4~5m의 성곽이다. 임진왜란 때에 일부 고쳤으며 숙종 42년(1716)에 네모나게 다듬은 화강암으로 석성을 쌓았다. 성 안에는 5개의 연못과 3개의 사찰, 관청건물, 창고 등이 있었다. 현재 상당산성에는 공남문(남문)과 미호문(서문), 진동문(동문) 3개의 문과 2개의 암문, 치성 3곳과 수구 3개소가 있다. 조선군이 훈련하던 동장대는 1992년에 복원해 옛 모습을 재현하고 있다. 성을 한바퀴 돌고 내려오면 성안에는 전통한옥마을이 조성되어 있는데 전통마을에서 맛보는 전통주와 빈대떡은 산성을 돌고난 고단함을 풀어준다.

※ 문화관광해설사가 상주하여 언제든지 해설을 들을 수가 있다.

◎ 한류의 매력을 만나는 여행 정보 - 드라마 <연인>
‘상당산성’은 <연인>에서 청나라의 침공으로 인해 임금 인조가 피신했던 장소로 남한산성의 배경이 되었던 장소이기도 하다.",,https://www.cheongju.go.kr/,충청북도 청주시 상당구 성내로 70,상시 개방,연중무휴,가능,,,,,출입구까지 경사로가 설치되어 있음(휴양관),숙박 현관 단차 제거됨,장애인 전용 주차구역 있음_무장애 편의시설,,장애인 전용 화장실 있음,,4월 벚꽃이 질 즈음 다녀왔는데 산성 뷰도 참 멋지고 벚꽃도 예뻤어요 인스타 인생샷 나올만한 곳이었어요 낮은 산 건너편으로는 습지 비슷한게 있었는데 올챙이가 수백마리 떼지어 다녀서 놀랐네요 가을이나 겨울에 가도 예쁠것 같아요 청주 근교에서 드라이브 가기좋은 곳입니다. 잔디도 넓게 깔려있고 맛집도 주변에 많아서 점심먹구 산책하기 좋은 코스도 있구요~ 추천합니다. 다만 주말에는 사람이 많아서 주차하기가 힘들때도 있는데 평일에는 한가하고 너무좋아요 가볍게 산책할 생각이었는데 거의 등산급이었어요! 군데군데 내리막은 자갈들이 좀 있어서 일반 운동화는 좀 미끄러웠어요~상당산성 한바퀴 다돌아볼 생각이라면 등산화 꼭 신고가세요! 요즘같은날씨에 상당산성에서 산책하기 너무좋아요 주차장도 여러군데라 편하고 맛집도많아서 밥먹구 성곽들러보면 너무조하요 강추 입장료없어서 가볍게 가기 좋아요 잔디도 넓고 높지않은 등산아닌 산책할수있어서 좋아요 주차장이랑 가깝고 돗자리나 작은텐트갖고가서 쉴수있어서 좋습니다 배드민턴이나 축구하는 가족들도 많더라구요 저도 다음에는 배드민턴해야겠어요ㅋ 도시락 싸온 가족팀들도 많던데 저도 다음에는 도시락싸서 소풍 기분내봐야겠어요ㅋ 청주하면 상당산성!! 귀로 듣기만 하다가 직접 가본 그곳은 크진 않지만 맑은 날씨 덕분인지 너무 예뻤다 엄청 큰 벛꽃이 아직도 예쁘게 흩날리고 있었고 산성앞 넓은들판은 봄놀이하기 좋은곳이였다 저마다 돗자리를 깔고 삼삼오오 즐거운시간을 보내는 모습을 보고있자니 절로 기분이 좋아졌다 쉬엄쉬엄 성곽을 따라 올라가보니 상쾌해서 절로 웃음이 나왔다 참 멋진곳이였다 비온 다음날 날씨가 맑아서 혼자 드라이브겸 산책하러 갔다왔어요 혼자가니 안보이던 경치와 안들리던 새소리도 들어서 좋았어요 야경잘해놨다고 하던데 다음에는 해떨어지고 가봐야겠어요 별도 보고요ㅎㅎ,,무료,사적 청주 상당산성 (1970.10.01 지정),,,,,,,,,,장애인 전용 객실 있음(햐양관-6인실 둥글레),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
