place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용요금,review,체험가능 연령,화장실,이용가능시설,입장료,시설이용료,주차 요금,할인 정보,접근로,출입통로,엘리베이터,장애인 주차 안내,수유실,주차요금,관람석,지체장애 기타 상세,지정현황,휠체어,대중 교통,유모차,오디오 가이드,시각장애 기타상세,판매 품목,점자 홍보물,개장기간,수용인원,주요시설,강습안내,청각 장애 기타상세,규모,입점브랜드,영업시간,대표메뉴,취급메뉴,큰활자 홍보물,점자 블록,안내 요원,유도안내 설비,보조견 동반,대여안내,보유장비,매표소,부대시설,자막 비디오 가이드,홍보물,수화 안내,코스안내,영유아가족 기타상세,체험
조형갤러리,"1990년 관훈동에서 개관 이후 2002년 인사동 태화빌딩에 더 넓은 공간으로 확장 이전하여 회화제 및 인사포험과 역량 있는 작가의 기획전시와 대관 전시를 통해 여러 분야의 미술을 소개하고 있다. 갤러리 전시 공간의 주요 부분은 좌우 15m 정사각형 형태이고, 나머지 부분은 좌우 4m, 6m이며, 천장 높이는 3m로 구성되어 있다. 정사각형 구조와 높은 천장으로 이루어진 전시공간은 전시된 모든 작품이 한눈에 들어오는 시원한 구도이다. 또한 자신만의 독특한 전시 형태를 연출할 수 있는 대형 전시공간이다.",,http://www.chohyunggallery.com,서울특별시 종로구 인사동5길 29 (인사동) 지하 1층,10:30~18:30,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
짚풀생활사박물관,"짚과 풀은 석기시대나 철기시대처럼 시대를 구분 짓는 명칭은 없지만, 인류와 가장 오랜 시간 함께해 온 보편적인 재료로서 식생활과 주생활 전반에 널리 사용되어 왔다. 이렇게 수천 년간 이어져 내려온 짚풀 문화는 1970년대 새마을운동과 산업화 정책의 영향으로 급격히 사라지게 되었다.
짚풀생활사박물관은 조상들의 지혜가 담긴 짚풀 문화를 보존하고 그 활용 방안을 연구하며, 후손들에게 전승하기 위해 1993년에 설립된 사립박물관이다. 현재 박물관에는 짚풀 생활도구, 농기구, 조선시대 한옥문, 세계의 팽이, 민속자료뿐만 아니라 사진, 영상, 음성기록물 등 아카이브 자료를 포함하여 총 6만 3천여 점 이상의 유물이 소장되어 있다. 또한 매년 1회 이상의 기획전시를 통해 짚풀 문화를 현대적인 시각으로 재해석하며 관람객과의 지속적인 소통을 이어가고 있다.",,http://www.jipul.com/,서울특별시 종로구 성균관로4길 45 (명륜2가),10:00~17:00 (입장마감 16:00),매주 일요일~월요일 / 1월 1일 / 설·추석 연휴,불가능,"- 성인(20세 이상) 5,000원
- 아동·청소년(8세~19세) 4,000원
- 유아(36개월~7세) 3,000원",,,,,,,,"- 단체(20인 이상) / 장애인 / 만 65세 이상 1,000원 할인
※ 중복 할인 불가
- 매월 마지막 주 수요일(문화가 있는 날) 50% 할인",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,짚풀체험 프로그램 / 전시해설
목인박물관 목석원,"2006년 종로구 인사동에서 개관한 목인박물관은 2019년 부암동으로 이전하여 목인박물관 목석원으로 재개관하였다. 목인이란, 전통 인물 및 각종 동물의 모습을 조각한 목 조각상을 말한다.
목인박물관 목석원에는 조선시대를 중심으로 근·현대에 이르기까지 상여장식용 조각 및 신당, 사찰을 포함한 각종 민속 목조각상들이 약 12,000여 점이 있으며, 이러한 자료들은 당시의 시대 및 생활상을 고증하고 연구하는데 중요한 기초 자료로 활용될 수 있다.
7개의 실내전시장에서는 세계 각국의 목인(木人)이 전시되어 있으며, 약 3,000여 평 규모의 야외전시장에서는 한국의 문인석(文人石), 무인석(武人石), 동자석(童子石)과 일본, 중국 등 아시아의 다채로운 석인(石人)들도 만나볼 수 있다.",,http://www.mokinmuseum.com,서울특별시 종로구 창의문로5길 46-1 (부암동),"- 하절기 10:30~19:00 (입장마감 18:00)
- 동절기 10:30~18:00 (입장마감 17:00)",매주 월요일 / 설·추석 연휴,가능,"- 일반 10,000원
- 19세 미만(13~18세) 7,000원
- 36개월 이상~초등학생(3~12세) 5,000원
※ 모든 관람객에게 음료 1잔을 제공",작은 실내공간들 마다 다양한 전시물들을 구경할 수 있고 야외에는 철쭉들이 피어있고 조경들이 잘 꾸며져 있는데 곳곳에 쉴 공간이 많아 앉아서 구경하기 좋습니다. ,,,,,,,"- 회원가입시 2회차 방문부터 2,000원 할인
- 단체(20인 이상) / 장애인 / 임산부 / 만 65세 이상 2,000원 할인",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
컬러풀뮤지엄(COLORPOOL MUSEUM),"컬러풀뮤지엄은 오감을 통해 컬러를 만나는 아트플레이스이다. 컬러를 주제로 한 플레이그라운드이다. 모든 연령과 계층이 함께 교감하며 창의력을 키우는 크리에이티브팩토리다. 컬러풀뮤지엄에서 관람자는 아티스트가 된다. 컬러를 활용한 다양한 작품 속에 직접 들어가 자신이 주인공이 되는 저마다의 새로운 작품을 완성하게 된다. 컬러와 플레이하며 컬러의 색을 보고, 향을 느끼고, 듣는 퍼포먼스가 컬러풀뮤지엄이 지향하는 참여형 예술활동의 가치이다. 우리가 각각의 개성을 가지고 있듯, 컬러도 각각 고유의 에너지와 성격을 가지고 있다. 컬러풀뮤지엄에서 작품을 완성하는 동안 갖가지 컬러들은 당신에게 엄청난 에너지와 비타민을 전달할 것이다.
컬러풀뮤지엄에서 창작활동이 당신의 삶에 건강한 활력과 새로운 영감을 주길 바란다. 어린 자녀와 부모가, 할아버지 할머니와 손주가, 동성의 친구들이, 사랑하는 연인들이, 직장동료들이, 윌리웡카 초콜릿 왕국을 그리워하는 모든 이들이 함께 교감하고 소통하며 친밀함을 증진시키는 매직플레이스로 컬러풀뮤지엄이 기억되기를 소망한다. 2년에 걸쳐 우리가 살고 있는 도시 곳곳에서, 생활환경 곳곳에서 마주하는 생명력 있는 색(Color)과 향(Scent)을 모았다. 컬러의 호기심과 즐거움을 찾고자 놀라운 탤런트를 가진 아티스트, 플래너, 일러스트레이터, 디자이너, 메이커, 봉사활동가들이 탐험의 여정을 함께 했다.",,"공식 홈페이지 http://www.colorpoolmuseum.com
공식 인스타그램 https://www.instagram.com/colorpoolmuseum",서울특별시 종로구 인사동길 49 (관훈동) 6층,10:00~20:00 (입장마감 19:00),연중무휴,가능 (소형 약 100대 / 대형 20대),"- 성인(19~64세) 15,000원
- 청소년(13세 이상) 15,000원
- 어린이(24개월~12세) 12,000원",,,,,,,"30분 무료 / 이후 10분당 1,000원",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),엘리베이터 있음,장애인 주차장 있음_무장애 편의시설,수유실 있음(3층),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다이나믹 메이즈 인사동,"다이나믹 메이즈는 차원을 넘나들며 역동적인 체험을 즐길 수 있는 실내 익사이팅 프로그램이다. 서로 협동하여 장애물을 뛰어넘고 순발력과 집중력을 필요로 하는 다양한 신체 활동을 보다 건강하고 색다른 재미를 선사한다. 커다란 미로 공간 속에서 벽을 타고 올라가고, 촘촘한 밴드를 탈출하는 등 다양한 장애물을 넘어 탈출해야 한다.",,http://www.dynamicmaze.com,서울특별시 종로구 인사동길 12 (인사동) 지하 1층,10:00~18:00 (입장마감 17:00),연중무휴,가능,,초등 아이들이 정말 좋아했어요. 2번 하고 왔다는ㅇㅅ,모든 어린이 보호자 동반 필수,,,"16,000원
※ 무료 : 36개월 미만
※ 30% 할인 : 65세 이상 / 장애인(동반 1인 가능) / 군인·경찰·소방관(동반 3인 가능)
※ 50% 할인 : 국가유공자",,,,주차장에서 출입구까지 턱이 없어 휠체어 접근 가능함(수동문),,엘리베이터 있음,장애인 주차장 있음(B3~B5)_무장애 편의시설,,"최초 30분 2,000원 / 이후 10분당 1,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서리풀공원,"서래마을 주민들이 즐겨 찾는 서리풀공원은 휴식과 건강을 위한 공간이다. 1970년대 군부대가 주둔하여 주민들이 접근할 수 없었던 공간이 2015년 군부대이전과 함께 2019년 조성되었다.
서리풀공원의 산책로는 반포동부터 방배동까지 서초구의 중심부를 가로지르는 두 가지로, 빠른 길과 여유롭게 가는 길이 있다. 약 4㎞의 산책로는 몽마르트르 공원까지 이어져 도로로 단절된 산책로를 누에다리와 서리풀다리가 연결하여 북쪽으로는 한강을 남쪽으로는 우면산을 조망할 수 있다.",,,서울특별시 서초구 서초동 산 160-24,상시 개방,연중무휴,불가능,,,,있음,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양재근린공원,"양재근린공원은 도심 속의 근린공원으로, 숲 속처럼 느껴지고 잘 가꾸어져 있어 많은 사람이 찾는 공원이다. 도심 공원이 언남중·고등학교와 매헌초등학교 사이에 있어서 방과 후 학생들의 휴식처가 되어주는 동시에 인근 주민들의 체육 시설이 되어준다. 공원 내에는 놀이터, 분수대, 벤치, 산책로 등이 조성되어 있으며, 운동시설로는 농구장, 놀이터, 축구장, 운동장이 있다. 축구장에서는 서울시민리그(풋살경기)가 개최되기도 한다.
양재근린공원은 봄에는 벚꽃이 만개하고, 가을에는 단풍이 아름다워 사계절 내내 많은 사람들이 찾는 명소이다. 이곳은 서울의 중심에서 자연을 만끽할 수 있는 중요한 공간이다.",,,서울특별시 서초구 동산로 35 (양재동),상시 개방,연중무휴,가능,,스마트도서관 이용하러 방문했다가 다양한 연령대의 마을 주민분들이 이용하는 모습을 보고 저도 자주 방문하고 있습니다. 식사 후 잠깐 산책하기도 좋고 아이들이 축구나 농구를 하기도 좋은 공원입니다. 운동기구도 관리가 잘 되어있었습니다 분수대가 있어서 날 더워지면 자주 산책가서 좋아요 한강 만큼이나 사람들도 많고 주변 까페거리랑 맛집들도 있어서 산책하고 가깝게 마실 나가기 좋아요 집앞이라 양재천 산책하면서 같이 산책하는 곳이에요. 깔끔하고 가을엔 단풍도 이쁘게 물들어서 산책하기 좋아요! 집근처라 종종 산책하러 나가는데 관리가 잘 되어있어서 좋습니다. 깔끔해서 벌레도 적고 걷기 좋아요,,있음,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
우면산자연생태공원,"우면산은 높이 293m로 서초구 우면동과 서초동, 양재동 등지의 도심에서 쉽게 오를 수 있는 산이다. 산모양이 소가 졸고 있는 모양이라 하여 우면산이라 이름이 붙여졌다. 우면산의 남쪽 기슭은 청동기시대 유적인 지석묘가 있어 이 지역이 오래전부터 우리 조상들의 삶의 터전이었음을 알 수 있다.
우면산은 서울시 도시자연공원으로 지정, 관리되고 있다. 산책로 및 등산로가 태극, 유점사, 서초약수터 등 약수터와 대성사, 정도전의 묘, 이존오의 사당, 예술의 전당 등 문화유적과 사찰, 문화공간이 부합되어 있어 도시주민의 아늑한 휴식처를 제공하고 있다. 깔끔하게 정돈된 학습장이라기보다 자연 그대로를 즐길 수 있게 되어 있다.",,https://www.seocho.go.kr,서울특별시 서초구 우면동 산 34-1,상시 개방,연중무휴,가능,,예술의전당 가기전 주변 갈 곳을 찾다가 우면산 무장애 숲길 산책했는데 너무 좋았어요 나무 데크길로 되어있고 경사가 높은곳이 없어서 편했고 앉아서 쉴 수 있게 벤치도 잘 되어 있어서 좋았어요 근처 대니구가 가던 커피숍도 가봤는데 커피도 맛있고 산책하고 힐링하기 좋았어요 집근처여서 자주가는데 초보자도 올라가기 쉽고 상쾌하고 너무 좋아요! 예술의 전당 뒷쪽으로 해서 올라가면 됩니다! 길도 잘되어있고 사람들도 많아요,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양재천 근린공원,양재천 근린공원은 양재시민의숲역 근처에 자리한 도심 속 자연공원이다. 꽃과 나무들이 어우러져 자연친화적인 환경을 제공한다. 양재천을 따라 길게 조성된 산책로는 가볍게 걷거나 자전거를 타기 좋다. 보행자길과 자전거길이 나뉘어 이어 안전하게 이용할 수 있다. 일상 속에서 편안하게 휴식하고 활력을 얻을 수 있는 공간이다.,,,서울특별시 서초구 양재동 261-23,상시 개방,연중무휴,가능,,"양재천길따라 자전거길에서 자전거타니 초록초록 자연을 느낄 수 있어 좋았습니다. 자전거타다 도중에 세워두고 꽃구경도 하고 흐르는 하천을 보며 힐링할 수 있어 좋아요 양재천은 봄 여름 가을 겨울 사계절 모두 매력이 있는 공간입니다. 아이들, 반려동물과 함께 산책하기 너무 훌륭합니다. 생태공원 또한 관리가 잘되어 있어서 계절마다 방문하시기를 추천합니다! 올 봄 벚꽃은 양재천에서 다 봤어요. 양재천 벚꽃도 이렇게 예쁜줄 몰랐네요. 다른 유명 명소보다 사람도 좀 더 적어서 편안하게 구경하고 걷고 그랬습니다. 날 좋은 날 양재천 따라 벚꽃비 보면서 걷는 행복을 내년에도 느껴보고싶네요. 양재천 벚꽃 보고 왔어요 만개한 벚꽃도 보고 사람도 그렇게 많지 않아서 산책하기 좋았습니다 서울에서 흐르는 양재천을 따라 과천에서 잠실까지 벚꽃이 아름답게 피는 산책하기가 너무 좋은 곳입니다. 양쪽으로 꽃들이 가득하고 길 가운데는 양재천이 흘러 가는데... 점심 식사후 잠시 커피를 테이크 아웃해서 마시면서 산책하기 좋은 그런 곳이네요. 저녁때도 좋고 점심때도 방문하기 참 좋습니다. 시내에 이런 곳이 있는 것은 참 좋고 한 번쯤은 가족과 함께 방문해도 좋은 것 같습니다. 지금은 벚꽃이 이뻐요
닫기 양재천을 가운데 두고 양쪽으로 풍경이 너무 예쁨니다 특히 꽃피는 계절 최고의 멋짐을 보여주는 곳이에요 최근에 날이 따뜻할때 방문했는데 산책로 따라 단풍이 울끗불끗 물이 들어있으니 어디 여행온 기분이 드니 멀리 단풍보러 갈필묘가 없겠더라고요 서울, 강남에 이런 시골 같은 운치있는 곳이라니... 산책하며 사색에 잠기기 좋은 곳입니다.",,장애인 화장실 있음,,무료,,,,장애인리프트 설치되어 있어 접근 가능함,,,장애인 주차장 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여의천,"여의천은 서초구 신원동 청계산에서 발원하여 양재천으로 합류하는 지방하천이다. 한강수계에 속하는 지방 2급 하천으로서 양재천의 제1지류이다. 여의천의 옛 지명은 ‘염곡천’이었으며, 이 지역에서 살던 주민들이 ‘안개가 자주 끼는 하천’이라 하여 ‘연내천’이라고도 불렀다. 하천연장 4.85㎞, 유로연장은 6.87㎞, 유역면적은 12.98㎢이다.
여의천은 숨은 벚꽃 명소 중 하나이다. 봄이 되면 여의천 옆 길을 따라 식재된 벚나무들이 분홍빛으로 물이 든다. 만개할 시기가 되면 사진 찍는 사람들과 산책하는 사람들로 붐빈다.",,,서울특별시 서초구 양재동,상시 개방,연중무휴,가능,,"40년 운영하던 개인 병원 이전한 덕에 여의천을 알게 되었어요. 매일 아침 맨발로 20분정도 산책하며 기적을 맞고 있습니다. 여의천이 한강 물을 끓어 와서 흐르게 한다는 이야기를 들었습니다. 각종 신기한 새와 오리들 백로까지 매일 아침 만나고 있습니다. 여의천의 시작은 만났어요. 청계산역 길이 보이더군요. 한 달 동안 병원 이전 준비를 여의천 물 흐르듯이 실행했습니다. 여의천에 핀 여러 종류의 들꽃들과 함께 출발합니다. 청계산 자락의 물부터 시작이군요! 멋지고 멋집니다. 여의천에서 소풍 끝나는 날까지!
닫기",,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전기박물관,"한국전력은 1887년 경복궁에 처음으로 전기불이 켜진 이후 일제의 강점과 남북분단, 그리고 한국전쟁이라는 민족상잔의 아픔을 국민들과 함께 이겨내면서 오늘날 우리 사회의 중추적인 기간산업으로 자리하게 되었다. 20세기 격변하는 역사의 소용돌이 속에서도 꾸준히 성장을 거듭하여 국가경제 발전의 원동력이 되어온 한국전력은 국가경제와 고객에 대한 무한 책임과 전력문화 창달을 위하여 끊임없이 노력하고 있다.
한국전력은 지난 세기의 전기역사를 체계적으로 정리하여 보존하고 사람들에게 전기의 소중함과 근대 과학의 발전과정을 알려주기 위해 전기박물관을 건립했다. 전기박물관은 전력인의 혼이 담긴 소중한 전력문화유산을 후손에게 물려주고자 하는 전력인의 바람이다.",,https://www.kepco.co.kr/art,서울특별시 서초구 효령로72길 60 (서초동),화요일~토요일 10:00~17:30,매주 일요일~월요일 / 법정공휴일,가능,무료,,,장애인 전용 화장실 있음,,,,관람객에게 한하여 2시간 무료 주차,,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,엘리베이터 있음,장애인 전용 주차구역 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분재박물관,"분재박물관은 한국분재연구소에서 분재 문화를 널리 보급하기 위해 1988년 9월에 개관한 분재전문박물관이다. 한국분재연구소에서 20년 이상 가꾸고 수집한 분재 5,000여 점이 전시되어 있고, 고문헌과 사진 등 분재 관련 자료 1,000여 점을 소장하고 있다. 소장 분재 중에는 수령 300년의 단풍나무와 500년 이상 된 노간주나무 분재를 비롯하여 곰솔, 각종 과수, 매화나무, 배롱나무 등의 예술적 가치가 높은 분재 작품이 200여 점 이상 있다.
작은 자연을 담아놓은 분재의 모습과 시간과 계절이 흐르며 변화하는 아름다움에 큰 매력을 느낄 수 있으며, 수목디자인대학이 있어서 분재에 대한 교육도 받을 수 있고 나무병원이 있어서 병든 나무를 치료할 수도 있다. 박물관 활동은 공무원과 일반인을 위한 분재 교육에 중점을 두고 있다. 일반인을 대상으로 주 1회의 분재 기초반과 기술반 강습이 있으며, 관련 공무원을 위해서 연 6회의 수탁교육을 실시하고 있다.",,www.ktreedesign.com,서울특별시 서초구 신흥안길 40-10 (내곡동),"- 월요일~토요일 09:00~19:00
- 일요일 12:00~19:00",1월 1일 / 설·추석 연휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국립국악원,"국립국악원은 한국 전통 공연 예술을 계승하는 대한민국 대표 국립 예술 기관이다. 각종 공연을 비롯한 학술 연구, 국악 교육, 해외 교류 등으로 국민과 함께하는 국악, 세계 속의 우리 국악을 추구한다.
국립국악원은 신라시대 이후 전승되어 온 궁중음악기관에 그 기원을 두며, 8·15 해방 후 궁중음악기관이 해체된 후 구왕궁아악부로 존속하다가 1951년 이후 국립국악원으로 이어졌다. 국립국악원의 직제는 1950년에 공표되었으나, 전쟁으로 인하여 1951년 부산에서 개원하였으며, 수복 후 운니동과 장충동 청사를 거쳐 1987년 현 서초동 청사로 이전하였다.
2010년 현재 문화체육관광부 소속기관으로 국악연구실, 기획관리과, 장악과, 국악진흥과, 무대과를 두고, 정악단, 민속악단, 무용단, 창작악단 등 네 개의 연주단을 운영하고 있다.",,https://www.gugak.go.kr,서울특별시 서초구 남부순환로 2364,공연 별로 상이함,공연 별로 상이함,가능,공연 별로 상이함,매주마다 공연을 하십니다. 어린 친구들이 보기에는 지루할 수 있으나 전통음악에 대한 정보를 잔뜩 얻어갈 수 있어 좋았어요. 시간 되실 때 우리 음악에 대해 들으러 가보는 거 추천드립니다.,,장애인 전용 화장실 있음(각 건물),,,,"무료 (단, 만차 시 인근 유료주차장 등에 본인 부담 주차)",,출입구까지 단차 없이 연결 됨,주출입구는 무단차로 휠체어 접근 가능함,엘리베이터 있음,장애인 전용 주차구역 있음(20대)_무장애 편의시설,"수유실 있음(예악당 유아누리방 내에 위치)
-4세 미만인 경우 입장 가능",,"장애인 전용 관람석 있음
-예악당: 휠체어석 8개 1층 맨 앞줄
장애인석 8개 2층 출입구 앞
-우면당: 휠체어석 4개 맨 앞줄
-풍류사랑방: 휠체어석 10개 나열 맨 뒷줄
-연희마당: 엘리베이터 이용 가능",'장애인청소년가족국악체험'프로그램을 운영중임,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,유아누리놀이방 프로그램을 운영중임,"어린이 국악기 제작 아카데미(개인) / 가족국악강좌(개인) / 유아 국악꾸러미 프로그램(단체) 등
※ 자세한 사항은 홈페이지 참조"
외교사료관,"외교사료관은 외교기록 관리정책을 수립하고 외교 분야 기록물을 보존·관리하는 외교부 특수기록관으로, 공개 외교기록물 열람 및 대국민 외교활동 홍보를 위해 외교문서열람실, 외교사전시실, 외교체험실, 기획전시실을 운영하고 있다. 외교사전시실에서는 1876년 개항 이후 현재까지의 외교 관련 주요 조약·문서·사진·기념품 등을 시대별로 전시하고 있으며, 외교체험실에서는 어린이·청소년들이 외교활동에 조금 더 친근하게 다가갈 수 있도록 국제회의 연설장 모형, 외교퀴즈, 외교장관 사진촬영 등 다양한 체험코너를 제공하고 있다. 또한 기획전시실에서는 외교를 주제로 한 특별전시를 정기적으로 개최한다. 평일 오전과 오후 각 2회 비영리 학급단체를 대상으로 한 견학 프로그램을 운영 중이며, 토요일에는 어린이와 청소년을 위한 외교관학교도 운영한다.",,http://diplomaticarchives.mofa.go.kr,서울특별시 서초구 남부순환로 2572 (서초동),"[외교사전시실 / 외교체험실 / 기획전시실]
- 월요일~금요일 09:30~17:00
- 점심시간 12:00~13:00
- 오전 입장마감 11:00
- 오후 입장마감 16:00
※ 외교사료관 입장 시 본인 확인을 위해 신분증 제시 필수(성인만 해당)
※ 부처일정 및 여건에 따라 변동될 수 있음
[외교문서열람실]
월요일~금요일 09:30~17:00 (점심시간 12:00~13:00)","[외교사전시실 / 외교체험실 / 기획전시실]
프로그램이 없는 토요일~일요일 / 법정공휴일
[외교문서열람실]
매주 토요일~일요일 / 법정공휴일",가능,무료,,,장애인 전용 화장실 있음,,,,,,주출입구는 계단이 많아 뒷편 보조출입구를 이용해야함(뒷문은 상시개방이 아니므로 방문 전 사전예약으로 개방가능을 확인해야 함),,엘레베이터 있음,장애인 전용 주차구역 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,평일 견학프로그램(비영리 학급단체) / 토요 외교관학교
대성사(서울),"기록상 마라난타가 백제로 오는 동안 풍토병으로 고생을 하였는데, 우면산 물을 마시고 완쾌하였다고 한다. 이에 우면산에 대성초당을 짓게 되는데 이것이 바로 대성사의 전신이라 전해진다. 또한 3.1독립운동 민족대표 33명 중 한분이신 백용성 스님께서 주석하시며 불교 대표로 참가하시어 대승적 독립운동을 전개하셨다. 현재 대성사에는 백용성 스님이 조성하신 목불좌상(서울특별시 유형문화유산)이 모셔져 있다.",,http://www.daeseongsa.org,서울특별시 서초구 남부순환로328길 49 (서초동),09:00~18:00,연중무휴,가능,,,,장애인전용화장실 있음_무장애 편의시설,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
심산기념문화센터,"심산기념문화센터는 시민의 문화예술 활동을 도모하고 지역사회의 문화예술 사업을 지원하는 비영리 단체인 서초문화재단이 운영하는 곳이다. 서초구립여성합창단, 상주예술단체 등의 문화예술 사업에 아낌없는 지원을 하고 있다. 현재 반포심산아트홀을 비롯한 공연장 및 교육실 등을 갖추고 있다.
심산기념문화센터 2층에 위치한 반포심산아트홀은 각종 연주회 및 음악회, 연극, 무용 등 공연을 비롯한 대관을 진행할 수 있는 전문 공연장이다. 1층과 3층에 위치한 교육실은 자체 문화강좌 아카데미를 비롯한 각종 교육 및 회의, 세미나 등을 진행할 수 있는 공간이다.",,https://seochocf.or.kr,서울특별시 서초구 사평대로 55 (반포동),"09:00~18:00
※ 시설 별로 상이함",연중무휴,가능,시설 별로 상이함,,,장애인 전용 화장실 있음(지하1층),,,,,,출입구까지 휠체어 진입 가능,휠체어 통과 가능함,엘리베이터 있음,"장애인 전용 주차가능(내부3대,외부1대 주차가능)_무장애 편의시설",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국립국악박물관,"국립국악박물관은 다양한 국악유물과 악기를 전시한 국내 유일한 국악 전문 박물관으로, 1995년에 개관하였다. 한국 전통음악의 역사와 갈래를 소개하는 상설전시와 더불어 해외 음악 유물 초청 전시, 국립국악원 악기연구 성과 전시, 국악아카이브 10주년 기념 전시 등 다채로운 특별전시와 행사가 열리고 있다. 2019년 새롭게 문을 연 상시전시실에서는 듣는 기능을 강화하여 음악박물관으로서의 특화된 기획과 자부심을 선보이고 있다. 국악박물관에서는 소장된 악기, 악보, 악서, 복식 유물 및 그 안에 담긴 음악의 아름다움을 오감으로 느끼고 체험해볼 수 있다.",,http://www.gugak.go.kr,서울특별시 서초구 남부순환로 2364 (서초동),10:00~18:00 (입장마감 17:30),"매주 월요일 (단, 월요일이 공휴일인 경우 정상 운영 후 익일 화요일 휴관) / 1월 1일",가능,무료,,,장애인 전용 화장실 있음,,,,무료,,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,엘리베이터 있음,"장애인 전용 주차구역 있음(20대,국립국악원 공용)_무장애 편의시설","수유실 있음(예악당 유아누리방,4세미만 가능)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,※ 일정 별로 진행하는 프로그램이 상이하므로 자세한 사항은 홈페이지 참조
