place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,화장실,주차요금,review,이용요금,접근로,출입통로,장애인 주차 안내,엘리베이터,대중 교통,이용가능시설,입장료,시설이용료,유모차,수유실,휠체어,유아용보조의자,판매 품목,체험가능 연령,시각장애 기타상세,규모,개장기간,부대시설,주요시설,객실,입점브랜드,관람석,점자 홍보물,수용인원,오디오 가이드,지체장애 기타 상세,주차 요금,점자 블록,대여안내,보조견 동반,안내 요원,코스안내,보유장비,강습안내,이용 시기,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,영유아가족 기타상세,체험
선바위공원,"울주군 범서읍 입암리에 있는 선바위공원은 울산 12경 중 하나인 선바위를 가까이서 볼 수 있는 공원이다. 선바위도 보고 공원에서 산책도 하며 휴식을 즐길 수 있다. 앞으로는 강이 흐르고 한여름에도 시원한 나무 그늘이 있어서 울산 근교 나들이를 하기에도 좋다. 선바위 공원은 넓게 조성되어 있어, 경치를 보며 산책이나 운동도 하고, 피크닉도 즐길 수 있다. 선바위 공원은 나무들이 많아 햇살을 가려주는 그늘도 가득하다. 선바위 바로 옆에 태화강 생태관이 있어서 함께 둘러보기 좋다.
※ 반려동물 동반 가능(목줄 착용 및 배변봉투 지참)",,,울산광역시 울주군 범서읍 입암리 129-1,상시 개방,연중무휴,가능,,장애인 화장실 있음,무료,애기들과 오면 더 좋을거 같아요 주차장도 넓어서 걱정없이 오심되겠습니다 여긴 항상 차들이 많내요 ㅋ 봄에는 주위에 벚나무가 많아서 더 경치가 좋을듯 합니다,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구영공원,"구영리 중심지에 위치한 범서지역 주민들을 위한 여가 선용과 휴식 공간으로 조성된 공원이다. 구영 저수지를 메워 주민들이 쉴 수 있는 편의 공간으로 조성했으며 목재 데크 계단을 활용해 옛 구영지구에서 쉽게 접근할 수 있도록 조성되었다. 구영 저수지였던 곳의 특징을 살려 작은 연못은 유지하고 있다. 범서 구영공원에는 2층 규모의 주차장 1개 동과 도시계획도로, 데크 로드, 전망 데크 등이 조성돼 있다. 또 지역 청소년들을 위해 X-게임장과 어린이 놀이터, 파고라 등이 설치돼 있으며 주민들의 체력단련을 위한 야외 헬스기구도 배치해 두고 있다. 선바위가 인접해 있어 함께 둘러보기 좋다.
※ 반려동물 동반 가능(목줄 착용 및 배변봉투 지참)",,,울산광역시 울주군 범서읍 점촌4길 62,상시 개방,연중무휴,가능,,있음,무료,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,체력 단련장 / 놀이터 / 야외 무대 등,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간절곶소망우체통,"울산에서 가볼 만한 곳으로 꼽히는 곳이다. 5m 높이를 자랑하는 소망 우체통은 1970년대에 사용된 옛 우체통을 본떠 2006년에 제작된 것으로 실제로 우편물 수거가 이루어지는 진짜 우체통이다. 근처 매점이나 카페에 무료 엽서가 비치되어 있어 친구나 가족에게 기념엽서를 보낼 수 있다. 우체통은 전국적인 해맞이 명소인 간절곶을 찾는 사람들의 애절한 사연을 담고, 꿈과 희망을 배달하기 위해 제작됐다. 이후 우체통에는 지금까지 15만여 장의 엽서가 담겼다. 엽서는 소망 엽서와 우편엽서 두 가지로 나뉜다. 배달되지 않는 소망 엽서는 울산시청으로 접수되고, 우편엽서는 수취 희망인에게 배달된다. 소망 엽서의 내용은 지역방송을 통해 소개되기도 한다.
※ 반려동물 동반 가능(목줄 착용 및 배변봉투 지참)",,,울산광역시 울주군 서생면 대송리 산110-22,상시 개방,연중무휴,가능,,있음,무료,간절곶에 오면 필수 코스죠 날씨 정말 멋집니다~ 바람이 심하게 불어요 ㅎㅎ 간절곶에서 일출보러갔다가 오는길에우체통에 편지 적어서 넣어 놓고 왔는데 언제쯤 도착할지 기다리는 중입니다 주차장이 여러곳인 줄 몰랐지만 구경을 잘하고 왔어요 우체통이 크게 바다뷰로 잘 자리잡고 있더라구요 넘 좋았어요 아이들도 신나게 사진 촬영하구요 새해 보러 놀러오세요~오늘은 바람도 안불고 너무 좋네욤 우체통 오시면 편지 한장 적어보세요~ 간절곶에 빨간우체통 눈에 확띄네요. 생각했던것보다 훨씬 크네요. 단조로운 바다위에 이런 상징물 하나로 명소가 되니 아이디어가 좋은듯합니다 산타할아버지께 카드라도 한장 쓰고싶어집니다~,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대왕암공원,"대왕암 공원은 우리나라에서 울주군 간절곶과 함께 해가 가장 빨리 뜨는 대왕암이 있는 곳이다. 우리나라 동남단에서 동해 쪽으로 가장 뾰족하게 나온 부분의 끝 지점에 해당하는 대왕암공원은 동해의 길잡이를 하는 울기항로표지소로도 유명하다. 공원입구에서 등대까지 가는 길은 600m 송림이 우거진 길로, 1백여 년 아름드리 자란 키 큰 소나무 그늘이 시원함과 아늑함을 선사한다. 송림을 벗어나면 탁 트인 해안절벽으로 마치 선사시대의 공룡화석들이 푸른 바닷물에 엎드려 있는 듯한 착각을 불러일으킬 정도로 거대한 바위덩어리들의 집합소이다. 대왕암공원에는 신라시대 삼국통일을 이룩했던 문무대왕의 왕비가 죽은 후 문무대왕을 따라 호국룡이 되어 울산 동해의 대암 밑으로 잠겼다는 신비한 전설이 내려오고 있다. 대왕암 외에도 괴이하게 생겼다 하여 쓰러뜨리려다 변을 당할 뻔했다는 남근바위, 그리고 탕건바위와 자살바위, 해변 가까이 떠 있는 바위섬, 처녀봉 등이 시야를 꽉 채운다. 기암 해변의 오른쪽으로는 고 이종산 선생이 세웠다는 구 방어진 수산중학교가 있고 그 아래에 500m가량의 몽돌 밭이 펼쳐져 바위해안의 운치를 더해 준다.",,https://daewangam.donggu.ulsan.kr/,울산광역시 동구 등대로 95 (일산동),상시 개방,연중무휴,"가능
요금 (최초 30분 500원 / 이후 10분 당 200원씩 추가 요금 발생)",,장애인용 화장실 있음,,"작년에 가족들과 다녀왔었어요. 바위 위에 설치된 출렁다리가 무섭지만 경치가 좋아서 즐거움을 느낄 수 있었어요. 그리고 공원 입구의 숲길 걷는게 너무 좋은 힐링이었어요. 사계절 모두 산책하기 좋고 자연경관이 아주 좋아요~ 동해 바다를 배경으로해서 자연 경치가 너무 좋아요. 사진도 많이 찍고 걸으면서 해풍을 맞으면서 기분을 만끽하는것도 너무 좋았습니다. 일산해수욕장과 더불어 울산 동해안지역 대표관광명소인 대왕암공원. 무장애 공원길로 가족 산책 가기도 좋고 출렁다리와 화단조경이 너무 잘 되어 있습니다 언제봐도 멋진 푸른 바다와 기개 높은 바위입니다. 바람이 항상 많이 불어요. 다리 건너 끝까지 가셔서 탁트인 바다 배경으로 꼭 사진 찍고 오세요. 그 다음에 송림도 가세요 몇 년 만에 다시 와본 대왕암 공원 둘레길도 잘 다듬어져 있고. 꽃들도 다양하게 심어져 있네요. 바닷가에 내려가서 몽돌 해변을 걸어봤는데 상쾌하고 즐거웠습니다. 바다,파도,멋진 바위들 보며 힐링하고 왔습니다. 출렁다리는 무서워서 안 지나갔지만 옆에 소나무숲길도 너무 좋았습니다. 가족 모두 즐거운 추억 만들었어요~ 가끔와서보면 정말 이쁘고 아름답습니다 바닷가를 따라 걷다보면 힐링이 되는 곳이에요. 흔들다리도 있어서 즐거운 시간을 보낼 수 있을거에요. 지금까지 본 풍경 중에 가장 절경이었던곳이에요. 산책로를 따라 바다도 보고, 출렁다리에 서서 탁트인 바다를 아래로 볼수도 있어요. 형성된 바위도 아름답고 산책로의 나무도 아름다웠어요. 그리고 운영시간이 있어서 저처럼 관광객들은 시간 계산하고 가셔야해요. 아무튼 대왕암공원 추천해요.",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인전용 주차구역 있음_무장애 편의시설,,,출렁다리 / 울기등대 / 미르놀이터 / 미로원 등,,,대여가능,,대여가능,,,,시각장애인용 안전바 설치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기저귀교환대 있음 (화장실 내부),
맨발의 청춘길,"울산 중구의 문화 관광의 대표적 거리인 맨발의 청춘길은 70~80년대 울산의 근로자들과 학생들이 분주히 오가던 골목길의 향수를 간직하고자 2016년부터 중앙동 도시재생 사업의 일환으로 추진되었다. 음악존, 영화존, 패션존으로 구역을 나누었고 당시 인기 있던 영화 포스터와, 이소룡 등을 넣은 벽화를 칠해 구간별 특색을 나타냈다. 특히 음악존은 동작 감지 센서가 설치되어 사람이 지나가면 자동으로 7080 세대의 음악이 흘러나와 그 시절 추억을 떠오르게 한다. 노후된 바닥을 정비하고 경사로 인근에 쉼터와 화단을 조성했다. 걷다가 다리가 아프면 쉬어갈 수 있도록 방문객을 위한 휴게용 계단도 마련되어 있다. 밤이 되면 화려한 네온사인들이 번쩍여 낮과는 다른 풍경을 볼 수 있다. 골목길 곳곳에 오래된 식당들과 옷집, 노래방, 이색 주점들이 있는 맨발의 청춘길은 울산의 역사와 문화를 엿볼 수 있는 곳이다.",,,울산광역시 중구 성남동 225-2,상시 개방,연중무휴,불가능,,,,어두운 골목길이 아닌 꾸며진 곳이라 좀 더 안전하게 골목길을 이용할수있어서 좋아요:),,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산 중앙전통시장,"1922년 옥교(玉橋) 시장으로 잉태한 이래, 80년이 넘게, 한자리에서 여러 가지 애환을 함께 해 온 울산 중앙시장은 오로지 고객의 만족을 위해 심혈을 기울여 오고 있다. 세계적인 경기 불황 속에서도 혼수 업체 및 커튼, 그릇, 제기, 의류 등을 책임지고 있는 시장이다. 전국에서 가장 긴 아케이드 시설을 가진 울산 중앙시장은 월요일을 제외하고 저녁 7시부터 자정까지 야시장이 열린다. 약 30여 가지의 먹거리가 있으며 패밀리 레스토랑 출신 셰프, 요리학원 선생님, 장래의 셰프 등이 요리한다.",,,울산광역시 중구 옥교동 98-8,점포별로 상이함,"매월 둘째, 넷째 월요일",가능,,장애인 화장실 있음(옥교 공영주차장),,"8월에 울산을 처음으로 가보는데, 역시 새로운 도시를 갈 때는 시장이 필수죠! 야시장도 시작되었다니 안가볼 수가 없네요. 축구 보는 것 말고는 일정이 없었는데 대한민국 구석구석에서 울산의 좋은 여행지 찾아갑니다~! 울산 중앙시장에는 먹거리 볼거리가 많아요. 그리고 야시장도 최근에 다시 시작되어 야시장의 특별함이 느껴져요 ㅎㅎ 시장 상인의 인심도 넘치고 즐거운 시장이였어요 중앙시장 늘 가는 곳입니다 풍성한 먹거리가 가득하고 밤에는 야시장이 열리는데 좀 더 활성화 되기를 바랍니다! 울산중아시장은 낮에는 전통시장, 밤에는 야시장으로도 변신했었는데.. 볼거리, 먹을거리 많은 울산중앙시장 또 가 보고 싶네요! 전통시장을 응원합니다:) 자주 가는 시장인데 요즘은 코로나로 인해 발길이 조금 뜸해졌네요 중앙시장에 앞으로도 많은 분들이 찾아와서 시장이 북적 되기를 바라겠습니다",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(옥교 공영주차장)_무장애 편의시설,,,,,,,,,,,,,"대지면적 3,972㎡ / 연면적 16,663.35㎡",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동오토캠핑장,"울산 강동 오토캠핑장은 일반 데크 13면, 필로티 데크 6면으로 구성되어 있으며, 바다 조망이 가능한 캠핑장이다. 카라반은 아이들을 위해 거북이, 게, 문어 등으로 꾸며져 있으며, 내부는 펜션과 비교해도 손색이 없을 만큼 넓고 쾌적하다. 침실, 주방, 거실, 욕실, 테이블, 그늘막, 주차장이 각각 마련되어 있어 프라이빗 한 공간에서 캠핑을 즐길 수 있다. 단, 카라반 일반데크는 등록 차량 1대만 주차할 수 있으며, 2대부터는 추가 요금을 내고 주차할 수 있다. 관리동에는 관리사무실, 식기세척실, 샤워장, 화장실 등이 마련되어 있다. 가까이에 편의점이나 마트도 있어 장보는 일도 수월하다. 그 외에도 잔디광장, 흔들 그네 등이 마련되어 있어 아이들이 뛰어놀기 좋으며, 산책로도 잘 가꿔 놓았다, 주변에 강동 사랑길과 누리길이 있고 편백 산림욕장, 화동 못 수변공원, 당사 해양낚시공원, 우가 어촌체험휴양마을, 송정 박상진 호수공원 등 둘러 볼 관광지가 많다.",,https://camping.ubimc.or.kr,울산광역시 북구 당사동 87,14:00~익일 11:00,연중무휴,,,있음,,시설도깨끗하고 사이트도 넓고 산책할수있는 바다아래 데크도 있어서..굿 파도소리 너무좋아요 바다뷰 일출뷰가있는 동해바다를 느낄수있는 조용한캠핑장 사랑하는연인이랑 힐링 바다뷰 캠핑 다녀옴 🏕 ⛺️ 은 힐링 기쁨 그것도좋은사람과,"30,000원~160,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",휠체어 접근이 가능함,,관리사무실 옆에 장애인 주차구역 1면 보유,,,,,,,,,,,,,,"봄,여름,가을,겨울","전기,온수,산책로",소화기 구비,무장애 카라반 2대,,,,,,,,,,,,,,,,,,,,,,,,,
슬도등대,"아치형의 슬도교를 건너가면 랜드마크처럼 서 있는 슬도등대를 만날 수 있는데, 등대 난간 위 계단 위에 올라가서 보는 시원한 바다 풍경이 아름답다. 주변의 다산과 풍요를 상징하는 '새끼 업은 고래'를 입체적으로 재현한 동상도 감상하고, 입구에 있는 소리체험관에서 고래와 바다의 소리도 들을 수 있다. 동해에선 보기 드문 노을 명소이기도 한 슬도에서 시시각각 변하는 바다를 배경으로 등대 사진을 찍으면, 눈으로 보는 것 이상의 환상적인 사진을 만날 수 있어서 사진가들에게는 출사지로도 유명하다.",,www.donggu.ulsan.kr:443/tour,울산광역시 동구 성끝길 122,상시 개방,연중무휴,"가능
요금 (무료)",,장애인 화장실 있음(공영주차장),,"주차도 평일 2시간 무료!! 걷기 너무 좋은곳 이에요 바로옆 한강라면 먹을수있는곳도 있고 사진찍기도 너무 좋아요 요즘 유채꽃이 한창이라 산책하며 사진찍기 너무 좋아요^^ 넓은 바다와 방파제 그리고 등대가 3박자가 잘 어울려져 사진찍기도 넘 좋고 조용하니 나 만의 산책으로도 넘 좋았어요~~방문추천 꾹입니다 등대가 예술적이며 아름답게 설치되어 있습니다. 방어진항으로 오가는 어선들의 항로 안내를 톡톡히 하는 것 같습니다. 흰색등대에서 사진찍기 정말 멋져요 !! 안으로 더 걸어들어가면 빨간등대도 있는데 가는길에 낚시도 많이 하시네요. 슬도는 아이들이 발 담그고 게 잡고 하기에도 너무 괜찮은곳이에요 ^^ 아이들과 바다구경을 하려고 가보았습니다.인근 소리박물관에서 울산의 다양한곳들의 소리와 이야기를 접하고 다른곳보다 많은 작은게?잡는 재미와 슬도 등도 뒷쪽 바위의 멋진 정경 아이와 다양한 체험과 이야기를 쌓을수 있습니다 슬도 등대에서 대왕암공원까지 연결되어 있는 길이 있어 좋았어요. 울산 한달살기 다녀왔는데 가장 좋았던 곳이에요. 전혀 정보 없이 갔는데 걷기도 좋고, 해녀 어머님들도 볼 수 있어서 신기했습니다. 바로 딴 성게 한 접시를 먹었던 그 날이 떠오르네요:)",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(1대/공영주차장)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남목전통시장,"남목전통시장은 울산광역시 동구에 위치한 전통적인 재래시장이다. 다양한 지역 특산물과 신선한 식자재를 저렴한 가격에 구매할 수 있어 많은 사람들이 찾는 명소이다. 시장 내에는 각종 먹거리가 풍성하게 마련되어 있어, 길거리 음식부터 전통적인 한식까지 다양하게 즐길 수 있다. 특히, 정겨운 상인들과 활기찬 분위기 속에서 쇼핑을 즐길 수 있으며, 지역 주민들에게는 중요한 생활의 중심지 역할을 한다. 남목전통시장은 전통과 현대가 어우러진 장소로, 울산의 문화와 맛을 체험할 수 있는 곳이다.",,,울산광역시 동구 남목17길 9,점포별로 상이함,점포별로 상이함,불가능,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,과일류 / 채소류 / 의류 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산 문화의거리,"울산 동헌, 객사, 시립미술관을 중심으로 다양한 갤러리, 소극장, 카페와 맛집이 들어선 1,000m에 이르는 예술 거리이다. 울산 경제 발전의 중심지였던 원도심에 문화를 입혀 지역 예술가들의 구심점이자 예술 거리로 탈바꿈한 이곳은 파리의 몽마르트르 언덕처럼 화가들이 자유롭게 창작활동을 하고 작품을 전시, 판매하는 곳이다. 꿈의 정원, 태화서원, 울산큰애기집, 울산중구생활문화센터, 고복수 음악관 등 예술 관련 볼거리가 가득해 관광객들의 필수 여행경로이기도 하다.
주말마다 5색(色) 아트 페어, 버스킹 공연, 거리전시회와 음악회가 열리며 예술가와 시민이 직접 소통할 수 있는 다양한 문화행사가 이루어진다. 5월 마두희와 12월 눈꽃 축제 등 중구의 대표 축제가 열리며 젊음의 거리, 울산큰애기야시장 등에 인접하여 볼거리, 즐길 거리, 먹을거리가 풍부하다.

(출처: 울산 중구청 문화관광 홈페이지)",,https://www2.junggu.ulsan.kr/,울산광역시 중구 성남동 329-5,상시 개방,연중무휴,가능,,,,울산의 시내인 장소여서 갈때마다 놀거리 먹을거리가 참 많은곳입니다! 앞으로 더 발전했으면 좋겠어용 예전 어릴적 성남동은 울산의 대표적인 번화가였습니다! 지금 삼산동과 다른 곳들이 좀 더 번화하면서 성남동은 예전의 명성을 잃었다고 생각했는데 다양한 문화공간이 생겨서 개인적으로도 매우 기쁩니다! 울산시립미술관은 이미 오픈을 했는데 소장품들도 좋은 작품들이 많아서 꼭 들러보시면 좋겠네요. 입장료도 매우 저렴하고 미리 예약하실 수 있어요!,,출입구까지 턱이 없어 휠체어 접근 가능함,출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두현저수지,"울산광역시 울주군 청량읍 문죽리 외황강에 위치한 저수지다. 두현 저수지는 오르막길이 아닌 평지로 되어있어서 부담 없이 산책할 수 있다. 산책로는 총 5코스로 이루어져 있으며 곳곳에 정자, 체육시설 등 편의시설도 갖추어져 있어서 산책뿐만 아니라 가벼운 운동을 하기에도 좋다. 산책 코스가 길지 않기 때문에 천천히 주변을 둘러보며 걸으며 자연과 하나가 되는 것을 느낄 수 있다. 산책로를 따라 걷다 보면 문수산도 볼 수 있으며 저수지를 배경으로 사진을 찍어도 멋진 풍경이 나온다. 주변에 유명 맛집과 예쁜 카페들이 즐비하다.",,,울산광역시 울주군 청량읍 문죽리 1186,상시 개방,연중무휴,가능,,있음,,"운치있고, 주차장도 좋고, 음식점 카페까지 넘 좋아요^^ 농업용 저수지에 산책데크 설치해 산책하기 좋음.",,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강동사랑길,"2011년 지역공동체일자리사업 일환으로 시작된 강동사랑길은 바다와 산을 연결한 역사와 문화가 숨 쉬는 명품녹색길로 울산뿐만 아니라 타 시도에서도 전화문의와 탐방객들의 발길이 이어지고 있다. 2014년에는 당사해양낚시공원에 용조형물을 설치하였으며, 2015년에는 우가항이 내려다보이는 해안가에 사진 찍기 좋은 녹색명소 포토존 전망대를 설치하여 강동사랑길을 찾는 관광객들에게 좋은 추억거리를 제공하고 있다.",,https://tour.ulsan.go.kr,울산광역시 북구 구유동 구유동 654-1번지 외 7개소,상시 개방,연중무휴,불가능,,있음,,"강동사랑길 코스가 괜찮게 되어있어서 파도소리 느끼며 걷기 좋은곳 ""강동사랑길""은 울산광역시 북구 당사항에서 정자항으로 가는 산책 코스로 7개의 코스가 있습니다. 특징은 해안길을 따라 걷다가 산길로 올라 전망대에서 바라보는 동해의 푸른 바다를 감상하도록 잘 꾸며져 있습니다. 좋은 산책길 입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
