place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,review,주차 요금,이용요금,접근로,출입통로,장애인 주차 안내,수유실,입장료,지정현황,이용가능시설,주차요금,엘리베이터,유모차,휠체어,점자 홍보물,체험가능 연령,오디오 가이드,시설이용료,지체장애 기타 상세,수용인원,판매 품목,주요시설,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,캠프파이어 여부,대중 교통,관람석,규모,부대시설,이용 시기,객실,개장기간,시각장애 기타상세,할인 정보,유아용보조의자,보유장비,강습안내,점자 블록,대여안내,보조견 동반,매표소,안내 요원,코스안내,예약안내,예약안내 홈페이지,입점브랜드,식음료장,뷰티시설여부,노래방 여부,사우나실 여부,스포츠 시설 여부,세미나실 여부,유도안내 설비,영유아가족 기타상세,체험
타루각,"1678년(선조 숙종 4년) 장수현감 조종면이 말을 타고 전주 감영을 가는 길에 천천면 장판리 장척의 비탈길을 지날 무렵 말이 꿩 소리에 놀라는 바람에 현감이 말과 함께 소[沼]에 떨어져 죽었다. 이에 수행하였던 통인[通引] 백씨[白氏]는 손가락을 깨물어 벼랑 위의 바위에다 피로 말과 꿩을 그린 다음, 타루[墮淚]라는 글자를 써 놓고, 현감을 따라 투신 순절하였다. 이러한 통인의 의리에 감동하여, 장수 현감 최수형이 1802년에 그 자리에 비석과 비각을 세워 타루비[墮淚碑]라 하였다.",,https://www.jangsu.go.kr/tour,전북특별자치도 장수군 천천면 장자울로 4,상시 개방,연중무휴,,,"현감을 따라 순절한 통인을 기리는 석비 타루각 추천합니다.지방기념물로 지정, 관리하고 있어 가족들과 같이가기 좋습니다.",,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정인승유허비,"정인승선생은 본관은 동래(東萊), 호는 건재(健齋)이다. 1897년 계북면 양악에서 출생하여, 1925부터 1935년까지 고창 고보에서 조선어와 영어를 가르쳤다. 일제의 문화말살정책에 대항하여 우리 고유문화를 보호하는 방법으로 한글 연구를 택하고 이에 관심을 가지게 된 선생은 이후 연희전문학교에서 위당 정인보 선생에게 영향을 받으며 본격적인 한글 연구에 힘을 쏟았다. 졸업 후 조선어학회에서 활동하며 ‘한글지’의 발행을 주관하고 한글 맞춤법 통일안, 외래어 표기법 통일안 등 우리말 체계화를 위한 핵심적인 연구들에 참여하였으며, 1942년 10월부터 해방 때까지 옥고를 치르기도 했다. 8.15 해방 후에는 대학의 교수를 역임했다. 해방 후에는 우리말 ‘큰사전’ 편찬 작업을 완수하고 평생을 한글 연구와 후진 양성을 위해 노력하였다. 1962년 건국훈장 독립장을 받았고, 1970년 국민훈장 모란장을 수상했으며, 1997년 유허비가 건립되었다. 전라북도 장수군 계북면에 건재 정희승기념관이 있으며, 기념관은 전시관과 선생의 동상, 정자, 유허비, 건재사라는 이름의 사당으로 구성되어 있다. 기념관에 인접한 토옥동 계곡과 노목, 산죽의 밀림을 간직한 덕유산의 등산길에는 1년 4계절 수많은 등산객이 내원하는 곳으로 아이들과 청소년의 교육의장으로 활용되고 있다.",,https://www.jangsu.go.kr/tour/index.jangsu,전북특별자치도 장수군 계북면 양악길 119,상시 개방,매주 월요일 / 화요일 / 국경일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의사전해산 추모비,"의사전해산추모비는 전해산 호남의병장의 애국정신을 고양하기 위하여 장수군 향교유림들이 1972년 11월 17일 번암초등학교 앞에 건립하였다. 이후 2014년 6월 16일에 전해산기념관이 준공되면서 의사전해산 추모비는 이전되었다.
전해산은 1905년 을사조약이 체결되자 이에 분기하여 해산한 군인과 포수들을 모아 의병부대인 대동 의병단을 조직했다. 이후 심남일, 김영엽, 오성술 등과 호남 의병의 연합조직을 결성하였으며 1908년 겨울 호남동의단을 탄생시켰고 대장으로 추대됐다. 당시 전라도에서 활동하던 11개 의병부대가 참여한 큰 규모의 부대였다. 순창, 고창, 정읍 함평, 영광 등 전남 서부지역을 중심으로 항일투쟁을 하였고 71회 전투에서 수 백 명의 일본군을 살상하였다. 일시 귀향 중 왜병에 체포되어 대구형무소에서 1910년 7월 19일 31세의 나이로 옥사하였으며, 그 해 9월 8일 시신이 번암면 원촌마을 생가로 운구되자 부인 김해김씨도 자결했다.
전해산기념관에는 추모비는 물론 전해상 의병장의 영정을 모시는 산해재도 함께 둘러볼 수 있다.",,http://tour.jb.go.kr/index.do,전북특별자치도 장수군 번암면 성암길 92,09:00~18:00,매주 월요일,불가능,,,,,,,,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김남택신도비,"신도비란 임금이나 고관의 평생 업적을 기록하여 무덤가에 세워두는 것으로, 이 비는 조선 전기의 문신인 김남택의 공적을 기리고 있다. 김남택은 조선 전기의 문신으로 호는 손재, 성수이며, 본관은 함창이다. 고려말 공민왕 19년(1370) 현 계남면 침령마을에서 태중대부 원비의 아들로 태어났다. 그는 목은 이색의 문하에서 성리학을 공부하였으며, 성격이 준엄하여 위언으로 항소하기를 좋아 하였다.
그는 조선조에 들어와 세종 조에 예조판서를 역임하다 만년에는 동생 형조판서 김남중과 함께 경상남도 하동에서, 다시 전라북도 장수 화산 북쪽 침령 아래로 퇴거하여 유학 진흥을 위해 진력하며 여생을 보내다 세종 18년(1436) 죽었다. 1828년(순조 28) 지방 유림의 공의로 월강서원을 창건하여 배향하였는데, 1868년(고종 5) 훼철되었다가 1948년 복설 되었다. 이 신도비는 최근에 이르러 후손들에 의해 세워진 것이다. 주위에 둘러볼 곳은 논개사당, 뜬봉샘생태공원 등이 있다.",,https://www.jangsu.go.kr,전북특별자치도 장수군 계남면 호덕리 757-3,,,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백용성조사유허비,"장수의 5의 ‘五義’로 추앙받고 있는 백용성 조사의 유허비는 조사가 태어난 장수군 번암면 죽림리 생가 입구에 있다. 이곳은 백용성 조사의 탄생 성지로 현재는 죽림정사가 자리하고 있으며, 죽림정사는 백용성 조사의 유훈 실현과 가르침을 펼치는 국가 현충 시설이자 불법을 전하는 사찰이다. 유허비 옆의 죽림정사 경내에는 용성기념관과 용성교육관이 있다.
죽림정사 주변에는 장수물빛공원과 동화댐, 지지계곡, 봉화산 철쭉단지, 방화동 가족휴가촌, 뜬봉샘 생태공원과 같은 둘러 볼만한 곳도 많아 학생들의 수학여행이나 불자들의 성지 순례 코스로도 권장하는 지역이다.
백용성 조사는 일제강점기의 승려이자 독립운동가이다. 본명은 백상규이며 용성은 법호이다. 법명은 진종이다. 대각회를 조직하고 대각사를 창건하여 실천 도장으로 삼았으며, 함양에 화과원을 만들어 선농일치 사상을 실천하면서 독립자금을 조성했다. 또한 기미 3·1운동 민족 대표 33인 중 불교계를 대표로 참가했다.",,,전북특별자치도 장수군 번암면 죽림2길 31,,,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수열비,"수열비는 수열평 마을에 있으며 조선시대 중기 양사무의 부인 해주 오씨의 절개를 기리는 석비이다. 선조 30년(1597) 정유재란이 일어났을 때 장수지방에 침입하였던 왜적들이 집집마다 약탈을 하며 불을 지르고 부녀자들을 겁탈하는 일이 잦았다. 화평 마을에 살고 있는 양사무의 부인 해주오씨는 아침에 들이닥친 왜적들에게 가슴을 잡히는 등 모욕을 당하게 되자, 자기 가슴을 칼로 베어 그들의 얼굴에 뿌리면서 ‘짐승만도 못한 오랑캐들아! 젖이 욕심나거든 이것을 들고 네 나라로 돌아가라’며 크게 외쳤다. 부인의 위엄에 눌린 왜적들은 곧 달아나고, 피를 많이 흘린 부인은 그 자리에 쓰러져 운명하였다. 훗날 이러한 사연을 나라에 올려 아뢰니, 조정에서는 부인을 위한 비를 세우도록 명하였다.
비각 안에 서 있는 비는 낮은 사각 받침돌 위로 비몸을 세운 구조로, 비몸의 윗변이 둥글게 다듬어져 있다. 앞면에는 비의 이름을 길게 새기고, 뒷면에는 ‘수열평 樹烈坪’이라 썼는데, 수열은 부인의 열녀(烈女)의 기상을 심은 것이라는 뜻이다. 이때부터 화평이라는 마을 이름도 수열평으로 고쳐 부르게 되었다. 비문은 선조의 손자인 낭선군 우의 글씨이다.",,https://www.jangsu.go.kr/index.jangsu,전북특별자치도 장수군 계남면 화음리 935-4,상시 개방,연중무휴,,,,,,,,,,,전북특별자치도 문화유산자료 수열비 (1984.04.01. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영월암(장수),"영월암은 산서면 봉서리 성산에 자리한 대한불교조계종 제17교구 본사 금산사의 말사이다. 달을 맞이하고 보낸다는 문학적인 이름을 가진 사찰로 영월암의 경내에 서면 주변의 경치를 조망할 수 있다. 전각들은 산세를 거스르지 않고 좁은 공간에 위를 향해 하나씩 배치하여 일찍 떠 오른 달을 가까이서 보고 늦게까지 머물게 하는 풍광이 아름다운 곳이다. 그다지 높지 않은 나지막한 산이 병풍처럼 두르고 있으며, 산의 모습과 어우러지게 전각을 배치하여 전각들 또한 어느새 자연과 하나가 되어 산의 일부인 양 여겨진다.
1910년 창건되었으며 1950년 한국전쟁 때 불타 없어졌다가 1952년 석주, 석정 스님이 중창했다. 1987년 예전의 인법당은 헐고 새로 조성한 극락전을 비롯하여 조성된 지 오래되지 않은 칠성각, 2채의 요사채, 범종각 등으로 구성되어 있다.",,,전북특별자치도 장수군 산서면 봉서로 182-135,18:00 이후 경내 제한적 이용,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원흥석불입상,"장수군 산서면 마하리 팔공산 기슭에 있는 원흥사 법당 안에 있는 높이 4m의 거대한 석불 입상이다. 원래 노천에 방치되어 있었는데, 1904년 이 마을에 살던 이처사 부부가 꿈을 꾼 뒤 불상을 만들어 모셨으며, 그 뒤 딸 청신과 손자 김귀수가 현재의 원흥사를 세웠다고 한다. 얼굴은 살찐 모습이며 눈과 입이 작은 편이나 코는 큰 편이다. 목은 매우 짧게 표현되었으며 3개의 주름인 삼도는 분명하지 않다. 신체는 어깨와 하부의 너비가 같아 둔한 느낌을 준다.
양어깨를 감싼 옷을 입고 있는데 가슴이 거의 노출되었고, 양 소매와 배 아래로는 형식적인 옷 주름을 표현하였다. 손은 양 소매에 넣어 감추고 있으며, 무릎 이하는 땅속에 묻혀 있다. 머리 위에 모자가 얹혀 있었다 하는 이 불상은 손 모양이 특이하며 전체적인 조각 기법으로 보아 삼국시대에 만들어진 것으로 추정된다.",,,전북특별자치도 장수군 산서면 원흥길 102-6,,,가능,,,,,,,,,,전북특별자치도 문화유산자료 원흥석불입상 (1985.08.16. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
죽림정사,"백용성 조사의 호국·호법 정신을 기리고자 조성한 국가 현충 시설이다. 백용성 조사는 1919년 3월 1일 독립운동 선언 민족 대표 33인 중 한 분이며 불교계 대표로서 1864년 5월 8일 장수군 번암면 죽림리 252번지에서 출생하였다. 용성 조사는 선종 교당 대각사를 세우고 불교의 대중화를 꾀하였으며, 화과원을 조성, 선봉불교를 일으켰다. 또한, 독립운동 민족 대표로서 평생을 독립운동과 전통불교 전승에 앞장섰다. 백용성 조사 탄생 성지 죽림정사는 백용성 조사 생가지로서 생가, 대웅보전, 용성 교육관, 용성기념관, 요사채, 누각, 유물전시관 등이 있다.

죽림정사 내에는 대웅보전이 자리 잡고 있으며 가장 큰 건물인 용성교육관에는 7여래 탱화와 삼처전심, 69조사, 7대사 탱화를 비롯 내외포벽 104존자, 조사, 법사, 국사, 율사도 그리고 외벽에는 용성조사 일대기가 그려져 있다. 용성기념관은 용성조사의 저술도서 등 유품을 전시하고 있으며 죽림정사 가장 안쪽에 용성 조사의 생가가 복원되어 있다.",,https://www.juklim.com,전북특별자치도 장수군 죽림2길 31 죽림정사,,연중무휴,가능,있음,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북 전주 한옥마을 [슬로시티],"전주 한옥마을은 전주 풍남동 일대에 700여 채의 한옥이 군락을 이루고 있는 국내 최대 규모의 전통 한옥촌으로, 전국 유일의 도심 한옥군이다. 1910년 조성되기 시작한 우리나라 근대 주거문화 발달과정의 중요한 공간으로, 경기전, 오목대, 향교 등 중요 문화재와 20여 개의 문화시설이 산재되어 있다. 향교길, 최명희길, 경기전길 등을 거닐면 한옥마을의 아름다운 골목길 모습과 한옥의 정취를 느낄 수 있다. 전주 한옥마을에 밤이 찾아오면 태조로를 밝히는 천사초롱과 한옥담장을 더욱 돋보이게 만드는 조명들로 감미로운 야경을 감상할 수 있다. 또 전주난장과 자만벽화마을, 야시장, 청년몰 등 이색 여행공간도 만날 수 있다. 한옥은 아름다움은 지붕선에 있다. 지붕자락이 살짝 하늘로 향해 있는 것이 한옥의 특징이고 멋이다. 한옥의 구조는 크게 안채와 사랑채로 나누어져 있다. 한옥의 또 하나의 특징은 온돌방이다. 한국은 주로 앉아서 생활하기 때문에 바닥에 온돌을 깐다. 온돌의 구조는 방 밖에 아궁이(함실)를 만들고 구들(아궁이 안쪽) 밑으로 불을 때면 온돌이 따뜻하게 데워지는 것이다. 여름에는 시원하고 겨울에는 따뜻하다는 것이 온돌의 가장 큰 특징이다. 한옥마을에 가면 한옥생활체험관이 따로 마련되어 있다. 한옥생활체험관 안에 있는 선비방과 규수방에서 직접 온돌방 체험을 할 수도 있다. 한옥생활체험 중 이곳에서 제공되는 전통한식은 납청유기［納淸鍮器］에 담아 맛과 멋을 더한다. 전주한옥마을에서 직접생활도 해보고 맛있기로 유명한 전주비빔밥도 맛보는 두 가지 체험을 할 수 있는 곳이다.",,http://hanok.jeonju.go.kr,전북특별자치도 전주시 완산구 기린대로 99 (남노송동),,,가능(공영주차장),"장애인 화장실 있음(경기전, 최명희문학관, 전통술박물관, 공예품전시관 등)","볼거리, 먹거리, 즐길게 많은 곳이네요. 외국인, 가족단위 여행객들이 많이 보이더군요. 골목을 걸어다니면서 여기저기 구경할 만 하네요. 아이랑 방문해서 맛있는 것도 먹고 캐리커쳐도 그리고 소소한 추억들을 쌓고 와서 좋았어요. 전주 한옥마을은 전주 가면 무조건 가야하는 여행지입니다. 먹거리도 많고 한복 체험도 한번쯤 해보는 것도 추천합니다. 밤에 가도 너무 예쁘기 때문에 숙소를 한옥마을에서 잡는것도 좋을 것 같아요! 전주 한옥마을 하면 유명한 풍년제과 초코파이, 냄비에 끓여주는 물갈비, 오징어가 한마리 통째로 튀겨진 오징어튀김까지 먹을것 만 충분한게 아니라 우리나라 전통의 단아한 한복을 입고 1960년대의 마을도 체험할 수 있어서 대표 관광지의 위엄을 보고 즐길 수 있는 곳입니다 가족과 함께 유명관광지라 방문했습니다 한국 고유의 멋과 아름다운 미가 깃든 한옥 구경도 하고 맛난 먹거리도 먹으면서 힐링도 하고 소중한 추억을 남길수 있어서 좋았습니다 야경도 예쁘니 밤에 보시는것도 추천드려요 도심 속 정갈한 전주 한옥마을에 방문하면서 먹거리도 즐기고 거리마다 야경도 너무 아름다웠어요 조경도 잘 어울러진편이라 다른계절에 또 방문해보고싶어요:)",,,출입구까지 경사로가 설치되어 있음(완만함),,장애인 주차장 있음_무장애 편의시설,"수유실 있음(전주공예품전시관, 한옥마을 관광안내소, 오목대 관광안내소)",무료,국제슬로시티 전주 한옥마을 (2010.11.27 지정),"[문화시설] 전주전통문화연수원, 강암서예관, 한옥마을선비문화관, 전주전통술박물관, 어진박물관 등
[문화유적지] 전주 경기전, 전주 전동성당, 전주향교, 학인당, 전주 풍남문 등
그외 전주한옥마을 야경 거리, 향교길, 은행로, 오목대 둘레길, 경기전길 등","- 한옥마을 제1, 2공영주차장 : 30분 1,000원(추가 15분 500원)
- 전주한옥마을 대성공영주차장 : 무료
※ 자세한 주차요금은 홈페이지 참조",엘리베이터 있음(어진박물관),대여 가능(3대/전주한옥마을 관광안내소),대여 가능(1대/전주한옥마을 관광안내소),촉지·음성 안내판 있음(관광안내소),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,장애인 화장실 내 유아용 보호의자 있음,"전통공예, 생활공예, 예술공예, 예절체험, 전통놀이체험, 한복체험 등
※ 자세한 사항은 홈페이지 참조"
사곡리남근석,"사곡리 남근석은 자경마을 입구에 있었던 것으로 경지 정리 시 도로변에 옮겨 세운 것이다. 강동로를 따라 고개를 넘으면 왼편으로 안내판과 함께 볼 수 있으나, 주의하지 않고 보면 지나칠 수 있다. 사곡리 남근석은 화강암을 돌기둥처럼 다듬어 만들어졌으며, 제작 연대는 확실하지 않다. 높이 200㎝이고 사각기둥 꼴의 몸통이며, 상부의 귀두 부분의 높이는 37㎝이고 약간 퍼져 있는 형국이다.",,https://www.imsil.go.kr/tour/index,전북특별자치도 임실군 덕치면 사곡리 1019 (덕치면),상시 개방,연중무휴,불가능,,,,,,,,,무료,전북특별자치도 민속문화유산 사곡리남근석 (1998.01.09 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수청저수지,"1986년에 저수지로 준공되어 저수지 바닥이 깨끗하고 상류에는 산림으로 조성되어 오염원이 전혀 없다. 깨끗한 공기, 물이 항상 풍부하게 있으며 짙푸른 아름다운 색깔의 저수지라 경치가 좋으며 길이 평탄하여 다니기가 좋은 곳이다. 이곳에서는 오염 없는 민물고기를 낚을 수 있다. 별도로 입장료는 없으며 자리를 잡아 편안하게 낚시를 즐길 수 있는 곳이다.",,https://www.jeongeup.go.kr/,전북특별자치도 정읍시 칠보면 수청리 907-4,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일제강점기 군산역사관,"시립 ‘일제강점기 군산역사관’은 인권과 평화, 화합의 장이며, 과거 일제의 수탈사를 바로 익혀 미래의 대한민국 역사를 창조하는 기억창고이다. 일제강점기 군산역사관은 사람, 유물, 시설이 교감해야 한다고 생각한다. 또한 관람객과의 소통과 군산 개항에서 해방까지의 자료와 유물을 통한 소통은 그 무엇보다 중요하므로 이를 바탕으로 현대의 박물관이 지향하는 화합과 교감의 가치를 발현하는 데 노력하고자 한다. 일제에 의한 강제수탈의 아픔은 마땅히 기억되어야 할 준엄한 역사이며, 이를 새롭게 인식하고 치유해가는 미래와의 소통 역시 우리들의 중요한 과제이다. 일제강점기 군산역사관은 수탈의 아픔을 인권과 평화의 가치로 치환하고 아픔의 기억을 지속적으로 수집하고 연구·전시와 교육을 통해 이를 증명하여 미래를 담아낼 수 있도록 노력하고있다.",,,전북특별자치도 군산시 동국사길 21,"[하절기(3~10월)] 09:00~18:00
[동절기(11~2월)] 09:00~17:00
※ 입장마감은 마감시간 30분 전","매주 월요일 / 설, 추석 연휴당일 / 1월 1일",가능,장애인 화장실 있음(3층),주변에 동국사랑 관람할 관굉지들이 많아요 일본의 잔재가 느껴지는 군산의 지역느낌을 느낄수 있는 공간이라 아이들과 교육적으로도 좋은 장소인거 같아요 먹고 노는 일정속에 지역의 과거와현재를 체험하고 이해하는 과정도 중요한거 같이요,,,출입구까지 경사로가 설치되어 있음(완만함),주 출입구는 턱이 없어 휠체어 접근 가능함(수동문),장애인 주차장 있음(2대)_무장애 편의시설,수유실 있음(2층),"[개인]
-성인 1,000원
- 청소년, 군인 700원
- 어린이 500원

[군산시 거주자]
-성인 500원
- 청소년, 군인 300원
- 어린이 200원

[개인 단체]
-성인 700원
- 청소년, 군인 400원
- 어린이 300원

[군산시 거주자 단체]
-성인 300원
- 청소년, 군인 200원
- 어린이 100원

※ 무료 : 6세 이하, 65세 이상, 문화가 있는 날(매월 마지막 수요일)
※ 단체 20인 이상",,,,엘리베이터 있음,,,"점자, 음성 안내판 있음(입구)",전연령,음성안내기 있음(일부 전시물),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"장애인 화장실 내 유아용 보호의자 있음 수유실 내 소파, 아기침대 있음 화장실 내 기저귀 교환대 있음",
전북에어포스 스쿨,"전북에어포스스쿨은 전북특별자치도 완주군에 위치하고 있으며, 전국 생활체육연합협회에 공인 등록되어 있다. 2002년 대한패러글라이딩협회 우수 스쿨로 선정되었으며 오랜 비행 경력을 갖춘 전문 조종사 5명이 상시 대기하여 체험자들의 안전과 즐거움을 책임지고 있다. 기본 체험형부터 실습·탐험형까지 다양한 코스의 프로그램이 준비되어 있다.",,,전북특별자치도 완주군 구이면 덕천리 420-14,일출~일몰,기상 상황에 따라 변동될 수 있으므로 전화 문의,가능 (소형 30대),있음,완주에서 액티비티한 체험 해보고 싶어요!!! 액티비티 체험하고 싶어요 액티비티 체험하고 싶어요 우리나라에도 이런 액티비티가 많아져서 좋아요! 꼭 한번은 해보고 싶어요 완주 BTS성지투어 스팸프팝 6경에도 포함되어 있어서 함께 다녀보면 좋아요^^ 가고싶어요!! 너무 춥지도 덥지도 않은 지금 같은 계절에 딱 좋겠어요. 버킷입니다 언젠가 꼭 해보고 싶은 버킷리스트 지인이 가족들과 갔는데 직원분이 인생샷도 찍어주고 신나고 기억에 남는 체험이라며 강추하네요,,,,,가능,있음,,,,,,,휠체어 대여가능,,5세~99세,,"[다이나믹(기본)]
- 평일 70,000원
- 주말·공휴일 80,000원
[익스트림]
- 평일 110,000원
- 주말·공휴일 120,000원
[VIP(상승형)]
- 150,000원
[VVIP(실습·탐험형)]
- 180,000원",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,다이나믹(기본) / 익스트림 / VIP(상승형) / VVIP(실습·탐험형)
화산서원(완주),"화산서원은 1624년(인조 2년) 전주시 중화산동에 창건되었고, 1662년(현종 3년)에 사액되어 송시열이 묘정비를 찬하고 송준길이 글씨를 썼다. 1869년(고종 6년)에 훼철되었다가 1988년에 전라북도 유림들과 옥천 경암공파 자손들의 협조로 완주군 소양면 신원리에 중건이 추진되었다. 사우는 전면 3칸, 측면 1칸이며, 강당은 전면 4칸, 측면 3칸의 구조를 갖추고 있다. 전주시 중화산동에 위치한 묘정비는 전북 문화유산 제4호로 지정되어 있다. 화산서원에서는 예조참판과 의정부 우좌찬성 등을 역임한 인물과, 전라감사로 좌천된 뒤에도 학문 진흥에 힘쓴 송인수를 제향하고 있다.",,https://www.wanju.go.kr/tour/,전북특별자치도 완주군 소양면 소양신원길 186,상시 개방,연중무휴,가능,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국립무형유산원,"국립무형유산원은 인류의 무형유산을 체계적으로 보호하고, 후손들에게 온전히 전승하기 위해 설립된 세계 최초의 무형유산 복합행정기관이다. 무형유산 전시, 공연, 교육 등 보존과 전승에 앞장서는 한편, 국내·외 교류협력 등 무형유산의 활용 및 지원기능을 담당하고 있다.
우리나라 무형유산의 의미와 가치에 대해 알아볼 수 있는 상설전시실, 다양한 주제들로 꾸며진 기획전시실, 전통의 멋과 흥을 느낄 수 있는 공연장, 해외 무형유산과의 활발한 교류가 이루어지는 국제회의장, 무형유산의 즐거움을 온몸으로 체험할 수 있는 교육 공간 등 분야별 특성에 맞는 시설들을 갖추고 있다.",,https://www.nihc.go.kr,전북특별자치도 전주시 완산구 서학로 95 (동서학동),화요일~일요일 09:30~17:30,매주 월요일 / 1월 1일,가능 (163대),,"방문자여권 투어 때문에 방문 하였는데 아주 좋았습니다. 따로 예약 한건 없어서 상설관만 보았지만 아주 보기좋게 잘되어있고 설명도 이해하기 좋게 되어있어 한옥마을 구경하실때 한번 들러보면 좋을거 같습니다 전주 이런 공연장이 잏ㅅ어 좋네요 세계의 무형유산을 볼 수 있는 기회가 있어요 사전에 예약을 못해서 특별관이나 공연은 보지 못했습니다만, 상설관만으로도 매우 만족되는 곳이었습니다. 장인분들의 모습들이 아주 멋집니다.",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,무형유산 디지털 체험관
완주 고산 놀토피아,완주군 고산면 소향리에 위치한 놀토피아는 국내 최대규모(34종류)를 자랑하는 어린이 모험 놀이시설로써 이용대상은 어린이를 중심으로 유아부터 성인까지 다양한 계층이 함께 즐길 수 있다. 이용연령은 7세부터 성인까지 가능하며 7세 이하 및 허리높이 70cm 이하는 보호자 동반하여 가능하다. 이용시간 내에 안전교육 및 장비 착용 시간이 포함되어 있어 안전하게 이용할 수 있다. 수직낙하 체험은 놀토피아에서 유일하게 스피드를 즐길 수 있는 놀이로 이용권과 별도로 유료로 진행되고 있다. 예약 정보는 홈페이지에서 미리 확인하는 것을 추천한다.,,http://www.noltopia.com/main,전북특별자치도 완주군 고산면 대아저수로 416,10:00~17:00,매주 월요일 / 명절 연휴,"가능
요금 (무료)",있음,"6살미만 아이는 옆에서 부모님이랑 노는 유아존이 따로 있고요 그건 부모랑해서 2천원이고 그 이상아이들이 노는 공간은 축구,농구,암벽타기체험 등 있는데 저희 8살아이는 안한대서 못탔어요 입장료가 좀 아까웠지만 저랑 10살아이는 잘 놀았어요 성인도 요금내는거라서 같이 체험도 가능해요 아이가 무서워해서 같이 했는데 좋아하네요 미취학 아이들보단 초등학생 아이들이 정말 재미있게 할 수 있을꺼같아요 선생님도 친절하고 가격도 저렴하니 한번 추천 드려요 밖에 나오면 귀여운 고양이가 있어요 고양이보고싶어서 한번 더 가고 싶어요 어른들도 신나게 잘 놀다 왔어요 회사 워크숍으로 갔는데 꿀잼입니다 아이들하고 암벽 운동하고 왔어요. 저보다 아이들이 더 잘 올라가고, 더 좋아하네요. 어른과 아이과 함께 즐길수 있는 놀이 공간입니다. 아이들이 정말 좋아하는 장소입니다 어른단위도 어울리기 좋이요 무엇보다 아이들이 너무 좋아합니다~^^ 어른&아동 모두 이용가능해요. 아이들하고 누가 먼저 올라가나 시합도하고, 정말 즐겁게 운동하고 왔습니다. 안전장치 되어있어서 떨어져도 걱정안하셔도 됩니다~!!!",,,,,,수유실 있음,"[주중 (1시간)]
- 일반 7,000원
- 청소년, 어린이 6,000원
[주말 (1시간)]
- 일반 9,000원
- 청소년, 어린이 8,000원
※ 자세한 사항은 홈페이지 참고",,"체험시설 - 클라이밍 존, 스포츠 존, 키즈 존, 트램펄린 위생시설 - 화장실, 정수시설 등 편의시설 - 모정, 평상, 피크닉테이블, 2층 휴게실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
