place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,review,입장료,화장실,체험가능 연령,이용가능시설,이용요금,출입통로,장애인 주차 안내,휠체어,접근로,시설이용료,엘리베이터,유모차,관람석,주차요금,수유실,대중 교통,판매 품목,주요시설,시각장애 기타상세,규모,지체장애 기타 상세,입실시간,퇴실시간,객실수,예약안내 홈페이지,객실유형,부대시설,객실,점자 홍보물,주차 요금,수용인원,영업시간,이용 시기,청각 장애 기타상세,개장기간,보유장비,오디오 가이드,할인 정보,큰활자 홍보물,대여안내,매표소,보조견 동반,점자 블록,안내 요원,유도안내 설비,코스안내,예약안내,객실내 취사 여부,식음료장,사우나실 여부,홍보물,자막 비디오 가이드,강습안내,영유아가족 기타상세,체험
보천사(구미),"보천사는 구미시 매봉산을 병풍처럼 두르고 있으면서 앞으로는 낙동강이 흐른다. 대한불교조계종 제8교구 본사 직지사의 말사로 임진왜란 때 소실되어 이름만 전해오다가 불상이 발견되어 1595년 평동 거주 최재기 등 신도들이 보호각을 지어 보호하였다. 이 석불의 발견으로 보천사가 통일신라시대부터 있었던 절임을 알 수 있다. 전해 오는 이야기로는 고려 25대 충렬왕자 왕소군이 병을 얻어 이곳에서 보천이라는 샘물을 먹고 완쾌하였다고 하는 보천샘이 있어 절의 이름을 보천사(寶泉寺)라 하였다. 또한 낙동강의 나루를 보천탄, 이 꼴짜기를 보천골이라고 불렀으나 지금은 보천샘이 어디 있었는지 알 수가 없다. 보천사 대웅전에는 통일 신라 시대의 불상인구미 해평리 석조여래좌상이 있다. 불상의 눈,코, 입 일부가 손상되었지만 불상의 몸에서 나오는 빛을 표현한 광배, 불상, 불상을 받치고 있는 좌대는 거의 안전한 모습으로 남아 있어서 매우 귀중한 사례로 9세기 중엽의 작품으로 추정된다.",,,경상북도 구미시 해평면 해평4길 86,상시 개방,연중무휴,가능,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상주 양진당,"조선시대 문신 검간 조정이 1626년 지은 가옥인 상주 양진당은 종도리(용마루 밑 서까래를 거는 도리)기록에 의하면 1807년(순조 7)에 중수한 사실을 확인할 수 있으며 1966년 대홍수 때 사랑채가 훼손되고 안채 23칸만 남았으나 1981년 전면 해체, 복원하였다.
원래 정면 9칸, 측면 7칸의 규모의 ‘ㅁ’자형 맞배지붕 건물인데 지금은 퇴락하여 좌우가 약간 다른 ‘ㄷ’ 자형으로 남아 있다. 특이한 것은 대지가 약간 경사져 있기 때문에 건물 바닥을 지면에서 1미터 이상 높게 마련한 고상형 구조로 이 구조는 남방식 가옥의 특징 중 하나이다. 뜨거운 여름 지열의 영향을 덜 받을 수 있다는 장점과 낙동강과 가까운 저지대에 위치하여 하천이 범람할 경우를 대비한 것으로 보인다. 또한 고상형 구조 중 보기 드물게 구들을 설치한 점은 한겨울 외부의 차가운 공기의 영향을 덜 받기 위한 북방식 구조이다.
이처럼 남방식, 북방식의 특징을 고루 갖추었다는 점에서 조선 중기 주거유형의 다양성을 보여주는 귀중한 사례로 볼 수 있고 방이 두 줄로 나열되는 겹집의 형식을 취하고 있는 점과 기둥은 굵은 부재를 사용하면서도 모서리를 접어서 투박하게 보이지 않게 하는 기술적 성숙도에서도 역사적, 학술적, 예술적 가치가 높은 건물로 평가된다. 툇마루에 매달려 있는 종은 이곳이 일제 강점기 학교 역할을 했음과, 한국전쟁 후 현 낙동초등학교 분교 역할을 했음을 알려 준다.",,https://www.heritage.go.kr/,경상북도 상주시 낙동면 양진당길 27-4,상시 개방,연중무휴,가능,보물 상주 양진당 (2008.07.10. 지정),,무료,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영주 금성대군 신단,"영주 금성대군 신단은 사적 제491호로 지정되어 있으며, 조선 세조 때 단종임금의 복위(復位)를 도모하다가 무참히 화를 입은 금성대군(錦城大君:이름 瑜, 세종임금의 여섯째 아들, 단종의 숙부, 수양대군의 넷째 동생)과 순흥부사 이보흠(李甫欽) 및 그 일에 연루되어 순절한 의사들을 제사드리는 곳이다. 조선 세조 원년(1455) 단종임금으로부터 왕위를 빼앗은 수양대군 일파는 금성대군에게 모반의 누명을 씌워 삭령(朔寧)으로 유배시켰다가 다시 광주(廣州)로 이배(移配)시켰었다. 이듬해 성삼문 (成三問), 박팽년(朴彭年) 등 사육신이 상왕 복위운동에 실패하여 참혹하게 희생되자 그 일에 연루되었다 하여, 금성 대군은 다시 이곳 순흥으로 유배, 위리안치(圍籬安置)되었다. 금성 대군은 당시 순흥부사 이보흠과 의기가 통하여 단종복위를 위한 격문을 짓게 하여 은밀히 순흥고을로 모여들게 하였다.

군비를 모으고, 무기를 장만하고, 군사를 조련하여 영월에 유배되어 있던 단종임금 복위를 꾀하는 거사가 무르익어가던 세조 3년(1457) 가을 어느 날 밀의를 엿들은 순흥부의 한 관노의 밀고에 의하여, 관군의 습격을 받은 순흥 고을은 온통 불더미에 피바다를 이루는 도륙을 당하면서 폐부 (廢府)되고 말았다. 그로부터 200여 년이 지난 숙종 9년(1683)에 순흥은 명예가 회복되고, 이어 숙종 45년(1719) 고을사람 이 기륭(李基隆)이 부사 이명희(李命熙)에게 알려, 단소(壇所)를 설치하게 된 것이다. 금성대군 신단이 지금의 모습을 갖추게 된 것은, 영조 18년(1742) 경상감사 심성희(沈聖熙)의 소청에 의하였으며, 단소를 정비하고 중앙에 금성대군 위(位), 오른쪽 편에 부사 이보흠 위(位), 왼편에 무명 의사 위(位)를 모시고 순의비(殉義碑)를 세웠다.

* 금성대군 신단(사적 제491호)
이 곳은 조선 세조2년 (1456)에 성삼문 등 사육신의 단종복위운동에 연루되어 순흥에 위리안치되어 있던 세종 여섯째아들 금성대군이 순흥부 이보흠 및 향중 유림과 더불어 단종의 복위를 도모하다 실패하여 순절하자 그들의 넋을 기리기 위하여 마련된 제단이다.단종복위운동이 실패되자 순흥부는 폐부되었다. 그 후 숙종 9년(1683) 순흥부가 복원되고 순절 의사들이 신원 되자 동와 45년(1719)에 부사 이명희(이명희)가 단소를 설치하였으며, 영조18년(1742) 경상감사 심성희가 단소를 정비하고 위를 모시고 순의비를 세워 매년 봄·가을로 향사를 지내오고 있다.",,"영주시 문화관광 https://www.yeongju.go.kr/
국가유산청 https://www.heritage.go.kr",경상북도 영주시 순흥면 소백로2767번길 5,상시 개방,연중무휴,불가능,사적 영주 금성대군 신단 (2007.12.31. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안동시립박물관,"안동시립박물관은 본관 지하 1층, 지상 2층 규모로 안동시 성곡동 안동댐 민속 경관지 안에 자리하고 있다. 안동댐 수몰로 인해 자칫 묻혀버렸을 수도 있는 전통 가옥 등을 이전하여 독특한 선조들의 생활양식을 보존하기 위해 조성되었다. 또한 민속문화, 불교문화, 유교문화가 공존하여 서로 유기적으로 작용하면서 전통성과 다양성을 보여주고 있는 안동 문화의 중심에 서서 그 역할을 다하고 있다. 전통공예체험, 전통놀이 체험, 전통문화체험 등 시민 대상 프로그램을 운영하며 상반기, 하반기로 나누어 연 2회 모집하고 전통문화 보급을 위해 모든 수업은 무료로 진행된다.",,http://www.andong.go.kr/fm/main.do,경상북도 안동시 민속촌길 13,09:00~18:00 (입장 마감 17:30),1월 1일 / 설·추석 당일,있음,,"폭염의 무더위 속에서 시원한 피난처 민속박물관 생각보다 너무 잘 되어있더군요~ 선비의 역사와 안동의 생활, 문화를 배울수 있던 귀한 장소 그저 그런 대충이 아닌 구성과 관리도 참 잘되어있는 안갔으면 후회할뻔했다는.. ^^ 그리고 2층에서 청남 권영한 선생님의 서예 재능 기부까지 정말 기분좋게 관람하였습니다. 조상들의 옛 생활상을 보여주는 안동의 민속 문화들이 잘 전시되어 있었고요, 고려 공민왕의 친필 현판도 인상적이었습니다.특히 안동의 자랑이라는 전통 가옥들을 그대로 재현해 놓아 보다 생생한 모습으로 관람할 수 있었습니다. 안동뿐만 아니라 우리나라 전통문화에 대해 자세하게 알 수 있어 좋았습니다. 안동은 주변에 구경포인트들이 많아요. 여기도 그중하나인데, 볼것도 많고 재밌어요",,장애인 화장실 있음,,,무료,경사로가 설치되어 있음,장애인 전용 주차구역 있음_무장애 편의시설,대여가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분황사 청보리밭,"경주의 분황사 주변에는 매년 봄 싱그러운 청보리밭이 펼쳐진다. 추석 직후에 파종한 보리가 이듬해 봄부터 초여름까지 색다른 볼거리를 제공하는 것으로 분황사 주차장에서 황룡사지 방향을 바라보면 황룡사 역사문화관을 배경으로 짙푸른 청보리밭이 끝도 없이 펼쳐진다. 파란 하늘과 따스한 햇살, 봄바람에 일렁이는 청보리가 보는 이들의 마음을 설레게 한다. 해 질 무렵에는 노을에 물든 청보리가 황금빛으로 반짝이며 천년 경주의 매력을 더한다.",,,경상북도 경주시 분황로 94-11,상시 개방,연중무휴,가능,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안동민속촌,"안동댐의 보조댐 부근에서 강 건너편을 바라보면 언덕배기에 초가집이 드문드문 들어앉아 있다. 이곳이 바로 안동댐을 조성하면서 수몰된 지역의 가옥 몇 채를 옮겨와 야외박물관으로 만든 민속 경관지이다. 안동민속촌의 야외박물관입구에는 두 개의 장승이 반기고 있고 이어서 이 고장이 낳은 문인 이육사 선생의 시비 앞으로 발걸음이 옮겨진다. 시비에는 그의 대표작 ‘광야’가 새겨져 있다. 육사시비 앞에는 그의 일생을 간략히 기술한 안내문이 세워져 있다. 안동댐 주변에는 안동 민속촌과 안동 민속박물관, 이육사 시비, 드라마 태조 왕건 촬영장, 안동호 등이 있어 함께 둘러보기 좋다.",,,경상북도 안동시 성곡동 753,상시 개방,연중무휴,가능,,"안동의 민속문화재를 가까이서, 한자리에 모두 만나볼 수 있는 안동민속촌 너무 특별한 추억을 만들 수 있을 것 같아요. 가족이나 친구, 연인 모두와 함께하기 좋을 것 같네요! 사진도 잘나오고 이뻐요~ 나들이 가기 좋아요! 생각했던 것보다 작은 민속촌이에요. 주변이 다 산이라서 공기가 참 좋고 집이나 물레방아가 있는 연못은 진귀한 풍경이었어요. 정자를 유유히 걸으면서 공기가 좋으니까 산책하는 기분도 들더라구요. 기와집이랑 초가집이 같이 있은 전통 가옥들도 볼 수 있고 특히 안동의 전통 가옥구조라는 까치구멍집이 인상적이에요 걸어다니면서 이것저것 보기 좋았습니다. 언덕에 있어서 운동하며 돌아봅니다 깔끔하게 단장되어서.안에 돌아보기도 좋고, 초가집 구조/ 기와집 구조. 비교하기도 좋죠 낙동강 바라보이는 풍경, 멋져요",무료,장애인 화장실 있음,,,,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,출입구까지 평지로 되어 있으나 흙(돌) 구간 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
칠곡 가산산성,"칠곡 가산산성은 산골짜기를 이용하여 쌓은 조선시대 석성이다. 내성은 1640년, 외성은 1700년 그리고 중성은 1741년 각각 완성하였고 칠곡도호부를 설치하였다. 성 안에 객사, 인화관을 비롯한 관아와 군관청, 보루, 장대 등이 설치된 점으로 보아 행정적 목적보다는 군사적 목적으로 축성된 것으로 추정된다. 칠곡 가산바위는 가산산성 서북쪽에 있는 바위이다. 가암 또는 개산암이라고 불리기도 한다. 사면이 깎아지듯이 우뚝 솟아 있는 바위로, 바위 정상부에는 넓은 평지가 조성되어 있으며 사방이 트여 있어 바위 위에 오르면 대구광역시 전경을 한눈에 바라볼 수 있다. 바위의 정상면에는 깊이 파인 구멍이 있는데, 통일신라시대의 고승 도선이 땅의 기운을 잡으려고 바위 위 구멍 안에 쇠로 만든 소와 말의 형상을 묻었으나, 조선시대 관찰사 이명웅이 성을 쌓으면서 없애버렸다는 전설이 전해진다. 칠곡 가산산성 등산 코스는 가산봉과 가산바위를 오르는 코스이다. 팔공산 가산산성지구 탐방지원센터에서 출발해 동문과 가산봉을 지나 중문을 거쳐 가산바위에 다다를 수 있다.",,국가유산청 https://www.heritage.go.kr/heri/,경상북도 칠곡군 가산면 가산리 산 98-1,상시 개방,연중무휴,가능,사적 칠곡 가산산성 (1971.03.26 지정),"가족들과 함께 자주 가는 장소입니다. 운동을 평소 즐기지 않는 저는 올라가기까지 등산코스로 은근히 힘든데 도착하고 나서 기분이 좋아요. 팔공산에서 좋아하는 코스입니다. 우연찮게 방문했고 부실한 다리 핑계삼아 낮은 곳만 잠깐 돌고 내려왔습니다. 2024년 여름은 매우 더워서 칠곡의 이모저모를 느낄수있는 관광지! 고요한 관광지를 원한다면 이곳이 딱이더라고요, 교통편도좋고 경치도좋고 다좋음!! 주변에 먹을거리가없다는것이 살짝쿵한 단점ㅜ",무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박열의사기념관,문경에 위치한 박열의사기념관은 박열 의사의 위대한 애국정신을 선양하고 기리고자 모임을 갖기 시작한 후 생가를 보존하고 기념비를 세우며 사당과 기념관을 지어 박열 의사의 높은 사상과 덕을 후세에 영원히 물려주고자 노력한 결과 3년만에 첫발을 내딛게 되었다. 박열 의사의 항일독립정신을 잊지 않고 애국 정신을 계승 발전시키려 노력하고 있다. 문경이화령 터널을 지나면 문경으로 들어오면 박열의사 기념관으로 가는 이정표가 있어 이정표를 따라 가면 쉽게 박열의사 기념관을 찾을 수 있다.,,http://www.parkyeol.com/,경상북도 문경시 마성면 샘골길 44,"[하절기(3월~10월)]
- 09:00~18:00
[동절기(11월~2월)]
- 09:00~17:00
※ 자세한 사항은 전화문의 요망",매주 월요일 / 일요일을 제외한 공휴일,가능,,"박열의사의 생애 및 그의 발자취와 빼놓을 수 없는 여인 가네코 후미코의 사랑이야기, 그녀의 인생이야기, 그녀의 묘소까지 볼 수 있는 곳입니다. 그와 더불어 관동대지진 때, 일본이 벌인 만행을 확인할 수 있는 곳입니다.",,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나정고운모래해변,"넓은 백사장의 잔잔한 모래와 동해의 청정해역 바다를 자랑하는 나정고운모래해변은 여유 있는 주변 공간과 인근의 갖은 편의시설이 있고 동해의 바닷물을 이용하여 온천을 즐길 수 있는 해수탕이 있어 새로운 체험을 할 수 있다. 해수탕 옆은 주차 공간과 송림이 개방되어 있으며, 모터보트, 바나나보트 등 수상 레저를 즐길 수 있어 가족과 친구와 함께 여름 피서지로 방문하기에도 좋다. 해변을 따라 산책로도 잘 조성되어 있어 바다를 보며 걷기에도 좋다.",,http://gyeongju.go.kr/tour,경상북도 경주시 감포읍 동해안로 1915,상시 개방,연중무휴,가능,,며칠전 가족들과 함께 나정고운모래해변으로 바람쐬러 다녀왔어요 주위 환경도 깨끗하고 모래도 부드러워 아이들 모래놀이 실컷 하고 왔네요 바다가 보고 싶다면 나정고운모래해변 추천합니다^^ 여기 학교다닐때 추억이 많은 바닷가에요 수상레저즐기기 정말 딱이네요 동해 바다의 파도도 느끼고 경주여행도 함께 즐길 수 있는 곳,무료,,,,,,"장애인 전용 주차구역 있음(테니스장 근처 3대,마을회관 근처1대,도로쪽 주차장 4대)_무장애 편의시설",,해변가까지 무단차로 연결 된 구간 있음(모래재질),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단호샌드파크캠핑장,"단호샌드파크 캠핑장은 경북 안동시 남후면에 자리하고 있다. 안동 시청을 기점으로 14㎞가량 떨어져 있다. 자동차에 몸을 싣고 강남로, 남순환로, 남일로, 풍산 단호로를 번갈아 달리면 닿는다. 도착까지 걸리는 시간은 25분 안팎이다. 수려한 경관을 자랑하는 낙동강에 터를 잡고 있어 사계절을 달리해 변신하는 낙동강의 풍광을 벗 삼아 캠핑을 즐기려는 이들의 발길이 끊이지 않는다. 캠핑장은 일반 야영장 8면, 자동차 야영장 2면, 글램핑 2개 동, 카라반 15대로 구성돼 있다. 일반 야영장 바닥은 모두 데크로 이뤄졌으며, 사이트 크기는 가로 3.6m , 세로 5m이다. 자동차 야영장은 파쇄석으로 되어 있는데 이 구역만 개인 트레일러와 카라반 동반 입장이 가능하다. 카라반 객실 내부는 일상생활이 가능할 정도의 물품과 시설을 갖췄다. 캠핑장은 연중 문을 연다. 캠핑장 인근에 안동 하회마을, 안동 병산서원 등의 관광지가 있어 연계 여행이 순조롭다. 또한 주변에 음식점도 다양하여 식도락의 즐거움도 누릴 수 있다.",,https://www.danhosand.or.kr:1002/coding/main.asp,경상북도 안동시 남후면 풍산단호로 835-35,"- 입실 14:00
- 퇴실 11:00",연중무휴,가능,,유튜브에서 보고 처음 방문하였는데 정말 좋았습니다 시설도 깨끗하고 가격도 저렴한편이라 아주 만족합니다 재방문할예정입니다 ^^,,있음,,,"[성수기]
- 카라반 100,000원
- 글램핑 80,000원~100,000원
- 텐트야영장 35,000원
[비수기]
- 카라반 60,000원~80,000원
- 글램핑 60,000원~80,000원
- 텐트야영장 25,000원~30,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉길대왕암해변,"경주 시내에서 동쪽으로 떨어진 대종 하구에 자리한 봉길해수욕장은 백사장 길이 500m, 폭 40m이다. 동해안의 다른 해수욕장에 비해 피서객이 적어 여유로운 휴가를 보내고 싶은 사람에게 추천한다. 여름이면 비치 방갈로와 튜브 대여소, 간이음식점들이 자리해 피서객에게 편의를 제공한다. 모래사장에서 조금 떨어진 바다에는 문무대왕의 바다 위 무덤인 대왕암이 있다. 문무왕은 죽은 뒤에도 바다의 용이 되어 나라를 지키고자 하니 화장하여 동해에 장사를 지내라고 유언했다. 인근에는 용을 보았다는 이견대와 용이 된 왕이 밤에 쉬어갈 수 있도록 수로를 연결했다는 감은사지와 감은사 탑, 기림사, 선무도의 본산 골굴사, 고유섭 시비, 용연 등 유적지가 있다.",,https://www.gyeongju.go.kr,경상북도 경주시 양북면 봉길해안길,상시 개방,연중무휴,가능,,,무료,"장애인 전용 화장실 있음(주차장화장실은 장애인 화장실이 아니며 1단 단차가 있고, 대피로 쪽 공중화장실은 경사로가 설치되어 있으며 장애인화장실임)",,,,,장애인 전용 주차구역 있음(해변가주차장 3대)_무장애 편의시설,,해변가까지 무단차구간 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전촌항,"전촌항은 지난 2004년 정부의 어촌관광단지 조성 사업지구로 선정되어 관광어항으로 거듭나기 시작했다. 2009년에는 리모델링 사업을 진행하여 주차장, 광장, 바닥분수, 파고라, 정자, 나무데크산책로, 전망대 등을 갖췄다. 특히, 전촌항 전망대에서 내려다보는 평화로운 항구의 풍경이 인상적이다. 방파제에 야간경관조명도 설치해 밤에도 아름답게 빛난다. 전촌항 입구의 말 조형물, 일명 거마상도 볼거리이다. 전촌항 일대는 말과 관련된 이야기가 많다. 전촌항 인근에 거마장이라는 마을이 있는데, 전촌항 북쪽 산세가 마치 말이 누워 있는 형국이라 하여 거마산이라 칭했다 전한다. 또, 신라 시대에는 왜군의 침임을 막기 위해 병마가 주둔해 있던 곳이라 하여 이 일대를 거마장이라 불렀다는 데에서 전촌항 인근의 거마장 마을 지명이 유래했다.",,https://www.gyeongju.go.kr/tour/,경상북도 경주시 감포읍 전촌리 1245-11,상시 개방,연중무휴,가능,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경주축구공원,"황성공원에 위치한 ‘경주축구공원’은 유소년 축구 경기부터 프로 축구 경기까지 크고 작은 축구 경기가 열릴 수 있도록 6면의 축구 경기장과 1면의 풋살경기장을 지닌 축구 공원이다. 축구 경기장 6면(천연잔디 3면, 인조잔디 3면), 풋살장 1면(인조잔디)으로 구성되어 있다. 경주공공서비스예약 사이트를 통해 예약 완료 후 사용 가능하다. 넉넉하고 넓은 시설로 이루어져 있어 운동하기에 안성맞춤인 곳이다.",,https://www.gjfmc.or.kr/,경상북도 경주시 황성공원로 30 시민운동장,06:00~22:00,설·추석 당일,가능,,,,있음,,,,,,,,※ 시설마다 상이하므로 홈페이지 참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경주 비단벌레 전동차,"경주 비단벌레 전동차는 천연기념물로 지정된 비단벌레를 형상화한 친환경 전기자동차다. 비단벌레 전동차를 타고 문화해설을 들으며 첨성대를 비롯한 동부사적지대 일원을 투어한다. 남녀노소 다양한 연령대가 이용하고 있으며 특히 아이들에게 인기 만점이다. 운행코스는 매표소에서 출발하여 계림과 향교, 최부자집, 교촌마을, 월정교, 월성, 꽃단지, 월성홍보관, 첨성대를 들러 출발지 도착하는 코스로 경주의 유명 관광지들을 한번에 둘러 볼 수 있다.",,https://www.gjfmc.or.kr,경상북도 경주시 첨성로 149 (황남동),"09:15~17:25
※ 자세한 사항은 전화문의 요망","연중무휴
※ 동절기 미운행으로 전화문의 요망",불가능,,,,,,,,,,,,"- 어른 4,000원
- 군인, 청소년 3,000원
- 어린이 2,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
코라드 청정누리 공원 코라디움,"코라드 청정누리 공원 코라디움은 경북 경주시에 자리 잡고 있다. 코라디움은 방폐장과 방폐물 관리사업에 대해 올바른 정보와 지식을 얻을 수 있는 홍보 전시실이 조성되어 있으며, 실내에서 쉴 수 있는 휴식공간도 마련되어 있다. 동해와 문무대왕릉을 한눈에 볼 수 있는 전망대도 조성되었다. 자연과 과학이 어우러진 테마파크는 방문객의 휴식 및 소규모 이벤트를 위한 레저문화 공간을 제공하고 온 가족이 즐길 수 있는 산책로와 체험 학습장으로 사용된다. 주차장에는 친환경 태양광 시설을 설치해 조명으로 활용되며 학습과 공연 등 지역주민들을 위한 야외무대도 마련되었다.",,https://www.korad.or.kr/,경상북도 경주시 문무대왕면 동해안로 1249,09:30~17:30,"매주 토요일, 일요일 / 법정공휴일",가능,,,무료,있음,,,,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,코라디움(홍보관) / 청정누리공원 / 지상지원시설 등
감포항,"감포항은 2025년 개항 100주년을 맞이하는 경주 최대의 항구이다. 항구 주변에는 항상 고깃배들이 드나들고, 활어 위판장에서는 매일 신선한 생선이 경매로 오간다. 감포항 방파제가 있는 곳에 조성된 감포 해상공원의 경우 2018년 조성된 곳으로 해안데크, 바람개비 동산, 감포항 조형물 등을 갖추고 있다. 또한 감포항 방파제에는 감은사지 3층 석탑을 음각화한 아름다운 등대가 우뚝 솟아있고, 바다낚시 포인트로 유명해 낚시를 즐기기에 좋은 곳이다. 주변 관광지로는 전촌 용굴, 오류고아라 해변, 전촌항 등이 있어 함께 둘러볼 수 있다.",,https://www.gyeongju.go.kr,경상북도 경주시 감포읍 감포로 감포리,상시 개방,연중무휴,가능,,정감 넘치는 어촌의 모습유 고스란히 간직하고 있는 너무나 아름답고 예쁜 항구였다 볼거리도 많고 분위기가 너무 좋았다. 아기자기한 골목구경과 벽화들을 볼수 있었다. 화려하진 않지만 도시에서 보기어려운 아름다운 곳이었다. 근처 펜션 놀러왔다 횟집에서 식사도하고 바람쐴겸 감포항 산책도 했습니다. 인심좋고 정감가는 경주 시골의 바다마을~~ 조립식가족 경주 촬영지 구경차 한바퀴돌다 들렀어영~~^^ 드라마 나올만 합니동. 이뻐이뻐. 근데 바람이 너무 거셈. 날아갈뻔. 날을 잘못잡았음. 감포공설시장 입구에 미역 많이 파시든데 추버서 손님은 없고 ㅠㅠ 생미역 겁나 저렴함 ㅋㅋ 시장안에 분식집 1곳있어서먹었눈뎅. 90년대 국민학교앞 떡볶이 맛나고 좋음~~^^ 대구에서 가까워 바다도 보고 회먹으러 자주 가요. 경치도 좋고.. 사람들이 많지 않아서 더 좋은 곳입니다~ 30년전 추억의장소 어찌변했을지 궁금합니다 경치 너무 예쁘고 여유로운 곳입니다. 드라이브하기 너무 좋고 조용해서 좋은곳! 감포항에서의 여유로움♡ 조용하고 경치 좋아요,무료,장애인 화장실 있음,,,,,"장애인 주차장 있음(2대,활어직판장 주차장)_무장애 편의시설",,방파제는 턱이 없어 휠체어 접근 가능함,,장애인 엘리베이터 있음(활어직판장),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경주엑스포대공원,"경주엑스포대공원은 1998년 세계 최초로 문화예술을 주제로 한 국제문화박람회로 출범하였다. 지난 2019년까지 10회의 글로벌 행사를 개최한 곳으로 그동안 한국인의 문화 자긍심을 높이고 인류문화 발전에 기여하였으며 현재는 다양한 전시·영상·공연·체험 문화콘텐츠를 바탕으로 연인과 친구, 가족이 함께 찾고 즐기는 경주의 명소이다. 경주엑스포대공원에는 수많은 볼거리와 다채로운 행사, 편의 시설들이 마련되어 있다. 소중한 날, 소중한 이들과 함께 경주엑스포대공원을 찾아 잊지 못할 아름다운 추억을 만드는 시간을 가져보자.",,https://www.cultureexpo.or.kr/,경상북도 경주시 경감로 614 (천군동),"10:00~18:00
※ 계절별 상이하므로 전화문의 요망",연중무휴,가능,,"볼것 놀것 가족 전부 즐거운 시간 보냈어요 경주엑스포대공원은 경주의 의미를 잘 담은 공간인 것 같아요. 또한 빛 전시도 멋지고 아이들이 놀 수 있는 공간도 있어 가족여행코스로 딱이랍니다 ! 인생샷은 경주엑스포대공원에서!! 가족끼리 갔던 경주여행 너무 조용하고 고즈넉해서 좋았습니다 경주 갈때마다 좋은거 같아요! 또 가고 싶습니다. 주차는 서쪽과 동쪽 두 군데에 가능했는데 공간이 넓어서 여유 있게 주차할 수 있었습니다.30개월 이상은 유모차 대여가 불가능하니 참고하시고요,첨성대 영상관에서 생동감 있는 3D 애니메이션도 감상하고 황룡사 모양으로 만들어진 멋진 경주 타워 앞에서 기념사진도 찍고 자연사 박물관의 공룡들과 하나하나 사진도 찍으며 알차게 하루를 보내고 왔습니다. 밤에 산책 겸 구경하기 좋았어요 겨울이라 장갑도 챙겨주셔서 감동이였어요 경주엑스포대공원에 다녀왔어요~^^ 일단 반겨주는 전망대가 넘 멋졌어요~ 안에는 볼거리가 다양해서 여기에서 하루일정을 잡아도 되겠더라구요. 저희는 저녁에는 불빛을 못보고 돌아와서 아쉬웠지만 알차게 보고왔어요:) 아이들이랑 방문하시면 좋아요♡ 경주는 5년에 한번씩은 방문하는거 같은데 경주엑스포공원은 처음 가봅니다. 차로 지나다니면서 본 전망대타워가 멋지다 생각했는데 직접 가까이 가서 보니 더 근사하네요. 좋아하는 건축가 유동룡의 작품이라 더 좋았습니다. 전망대 위에 올라가보니 엑스포공원과 보문단지 전경 한눈이 보이네요.","- 성인 12,000원
- 소인 10,000원
※ 자세한 사항은 전화문의 요망","장애인 전용 화장실 있음(전시장 내, 공원에 각각 1개씩)",,,,단차가 없고 경사가 매우 완만함,장애인 전용 주차구역 있음_무장애 편의시설,휠체어 무료 대여 (종합안내센터),"휠체어리프트 설치됨
공원 보행로는 평지이거나 경사로로 되어 있음_무장애편의시설",,,유모차 무료 대여 (종합안내센터),장애인용 관람석 있음 (공연장),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,루미나이트 / 실감스튜디오 / 새마을열차 등
